"Time (s)","X (hPa)"
-5.184849167E-1,1.003756485E3
5.131890833E-1,1.003761292E3
1.544895083E0,1.003766174E3
2.576563083E0,1.003774261E3
3.608236083E0,1.003777618E3
3.802069083E0,1.003779907E3
4.867132083E0,1.003780670E3
5.932170083E0,1.003780212E3
6.997153083E0,1.003780212E3
8.062170083E0,1.003778839E3
9.127140083E0,1.003778839E3
1.019214408E1,1.003779449E3
1.125717408E1,1.003781815E3
1.232220508E1,1.003783264E3
1.338717908E1,1.003787384E3
1.445218008E1,1.003790131E3
1.551720608E1,1.003792038E3
1.658217608E1,1.003793793E3
1.764721108E1,1.003793793E3
1.871227108E1,1.003792572E3
1.977726108E1,1.003790817E3
2.084230908E1,1.003788910E3
2.190734108E1,1.003782959E3
2.297232408E1,1.003776932E3
2.403732408E1,1.003774261E3
2.510231408E1,1.003768616E3
2.616731108E1,1.003762436E3
2.723225508E1,1.003760910E3
2.829723008E1,1.003757935E3
2.936220708E1,1.003753204E3
3.042721008E1,1.003751984E3
3.149221908E1,1.003748779E3
3.376232233E1,1.003742905E3
3.479394133E1,1.003747940E3
3.582562533E1,1.003752975E3
3.685727433E1,1.003769760E3
3.788889033E1,1.003781052E3
3.808266733E1,1.003782654E3
3.914754533E1,1.003783264E3
4.021242033E1,1.003788452E3
4.127731433E1,1.003788452E3
4.234225833E1,1.003788452E3
4.340721733E1,1.003789597E3
4.447217633E1,1.003789597E3
4.553716433E1,1.003789749E3
4.660211733E1,1.003791504E3
4.766714433E1,1.003791504E3
4.873211033E1,1.003788528E3
4.979706133E1,1.003787384E3
5.086199933E1,1.003782883E3
5.192694933E1,1.003778076E3
5.299187633E1,1.003775482E3
5.405680233E1,1.003772354E3
5.512177133E1,1.003772354E3
5.618677233E1,1.003771362E3
5.725172033E1,1.003771362E3
5.831667833E1,1.003771362E3
5.938164133E1,1.003771667E3
6.044662633E1,1.003771667E3
6.151159633E1,1.003771515E3
6.257659433E1,1.003771515E3
6.364157633E1,1.003771744E3
6.470655833E1,1.003773193E3
6.577155633E1,1.003775330E3
6.683651033E1,1.003778229E3
6.790146133E1,1.003782272E3
6.896642433E1,1.003786545E3
7.003137333E1,1.003793106E3
7.109631333E1,1.003797607E3
7.216127233E1,1.003797607E3
7.322624033E1,1.003797379E3
7.429123133E1,1.003792725E3
7.651558942E1,1.003810501E3
7.754725042E1,1.003810730E3
7.857896442E1,1.003810883E3
7.961065642E1,1.003815918E3
8.064237842E1,1.003821487E3
8.083616042E1,1.003821487E3
8.190112842E1,1.003820343E3
8.296607942E1,1.003820038E3
8.403101342E1,1.003820343E3
8.509594342E1,1.003821335E3
8.616086842E1,1.003825073E3
8.722577642E1,1.003829803E3
8.829070642E1,1.003834000E3
8.935558742E1,1.003838348E3
9.042050742E1,1.003838348E3
9.148541942E1,1.003835449E3
9.255039342E1,1.003833771E3
9.361537342E1,1.003831024E3
9.468035342E1,1.003830032E3
9.574533042E1,1.003830032E3
9.681030342E1,1.003830566E3
9.787530942E1,1.003830566E3
9.894023742E1,1.003830566E3
1.000051994E2,1.003831635E3
1.010701664E2,1.003832932E3
1.021351474E2,1.003833771E3
1.032001234E2,1.003832932E3
1.042651064E2,1.003832321E3
1.053300744E2,1.003827057E3
1.063950484E2,1.003824692E3
1.074600274E2,1.003824539E3
1.085250224E2,1.003824539E3
1.095900664E2,1.003824692E3
1.106550404E2,1.003828278E3
1.117200094E2,1.003829193E3
1.127849824E2,1.003830795E3
1.138499844E2,1.003832550E3
1.149149844E2,1.003834991E3
1.159799564E2,1.003838577E3
1.170449684E2,1.003842239E3
1.181099434E2,1.003844986E3
1.191749044E2,1.003849792E3
1.202399054E2,1.003852692E3
1.213048974E2,1.003853378E3
1.223698914E2,1.003853378E3
1.234348934E2,1.003850403E3
1.244999364E2,1.003846664E3
1.255649824E2,1.003840942E3
1.266299394E2,1.003835220E3
1.276949274E2,1.003835220E3
1.287599044E2,1.003837509E3
1.298249284E2,1.003838425E3
1.308899124E2,1.003843613E3
