"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.148066667E-2,4.334788196E-1,3.785759178E-1,3.832189282E-1,7.224401418E-1,1.286229235E2,6.455319903E1,-1.240158247E1,1.102194932E2
2.142966667E-2,4.342491481E-1,3.788662990E-1,3.833721004E-1,7.217436546E-1,1.285249487E2,6.460210929E1,-1.235280013E1,1.101045304E2
3.137866667E-2,4.350463242E-1,3.792932909E-1,3.835410649E-1,7.209490074E-1,1.284235168E2,6.466547903E1,-1.230912459E1,1.099740915E2
4.132766667E-2,4.360350576E-1,3.798490986E-1,3.836951787E-1,7.199765427E-1,1.282976510E2,6.474056245E1,-1.226044297E1,1.098102354E2
5.127666667E-2,4.371504318E-1,3.805497074E-1,3.838203110E-1,7.188625172E-1,1.281555833E2,6.482686996E1,-1.221328444E1,1.096188862E2
6.122666667E-2,4.384215597E-1,3.814010710E-1,3.838563072E-1,7.176169303E-1,1.279935725E2,6.491880493E1,-1.217029166E1,1.093964916E2
7.117566667E-2,4.398841396E-1,3.824003886E-1,3.837726720E-1,7.162335021E-1,1.278070219E2,6.501321278E1,-1.213084481E1,1.091392363E2
8.112466667E-2,4.414725174E-1,3.835816955E-1,3.835491101E-1,7.147426522E-1,1.276042573E2,6.511076343E1,-1.210310871E1,1.088514896E2
9.107366667E-2,4.430406857E-1,3.849037709E-1,3.832487585E-1,7.132211826E-1,1.274038992E2,6.521349696E1,-1.209032552E1,1.085532527E2
1.010226667E-1,4.445658853E-1,3.863306052E-1,3.828991135E-1,7.116868792E-1,1.272088648E2,6.532096707E1,-1.208983443E1,1.082501162E2
1.109716667E-1,4.459206115E-1,3.877586853E-1,3.825700546E-1,7.102381656E-1,1.270354914E2,6.543005642E1,-1.209951519E1,1.079657450E2
1.209206667E-1,4.469517447E-1,3.890208665E-1,3.823026233E-1,7.090428283E-1,1.269034428E2,6.552820947E1,-1.211785524E1,1.077329405E2
1.308696667E-1,4.475115918E-1,3.899915222E-1,3.821475090E-1,7.082396253E-1,1.268317160E2,6.560765186E1,-1.214485768E1,1.075801803E2
1.408186667E-1,4.475935569E-1,3.906213529E-1,3.822450487E-1,7.077879480E-1,1.268212129E2,6.567828272E1,-1.216767518E1,1.075122700E2
1.507676667E-1,4.473353126E-1,3.908960334E-1,3.826992557E-1,7.075540857E-1,1.268543031E2,6.575059022E1,-1.216750280E1,1.075142799E2
1.607176667E-1,4.468960371E-1,3.908540341E-1,3.834646636E-1,7.074403946E-1,1.269105788E2,6.582455560E1,-1.213842079E1,1.075646179E2
1.706666667E-1,4.464777717E-1,3.906448142E-1,3.843560724E-1,7.073363761E-1,1.269641500E2,6.589626761E1,-1.208846390E1,1.076272755E2
1.806156667E-1,4.462031956E-1,3.903714133E-1,3.852323417E-1,7.071837519E-1,1.269993108E2,6.596142707E1,-1.202537311E1,1.076793684E2
1.905646667E-1,4.461510599E-1,3.900889057E-1,3.859807407E-1,7.069645461E-1,1.270059864E2,6.601381417E1,-1.195518903E1,1.077074632E2
2.005136667E-1,4.462981840E-1,3.898114348E-1,3.865676537E-1,7.067039627E-1,1.269871477E2,6.605096628E1,-1.188299068E1,1.077130531E2
2.104626667E-1,4.465474616E-1,3.895090226E-1,3.870278637E-1,7.064613443E-1,1.269552250E2,6.607303531E1,-1.181155832E1,1.077098836E2
2.204116667E-1,4.467761082E-1,3.891574214E-1,3.874431066E-1,7.062828524E-1,1.269259405E2,6.608556371E1,-1.174227692E1,1.077138044E2
2.303606667E-1,4.468394760E-1,3.887352400E-1,3.879199947E-1,7.062134998E-1,1.269178238E2,6.609690866E1,-1.167641614E1,1.077428341E2
2.403096667E-1,4.466767259E-1,3.882641835E-1,3.884952382E-1,7.062594188E-1,1.269386696E2,6.611266068E1,-1.161690366E1,1.078017441E2
2.502586667E-1,4.463358317E-1,3.877170900E-1,3.891479517E-1,7.064160470E-1,1.269823268E2,6.612842812E1,-1.156022219E1,1.078875713E2
2.602086667E-1,4.459337613E-1,3.870705046E-1,3.898262315E-1,7.066505416E-1,1.270338079E2,6.613733646E1,-1.150034343E1,1.079893000E2
2.701576667E-1,4.455386662E-1,3.864019328E-1,3.904439742E-1,7.069245066E-1,1.270843848E2,6.613796597E1,-1.144330669E1,1.080924293E2
2.801066667E-1,4.451316752E-1,3.857970871E-1,3.909714383E-1,7.072197242E-1,1.271364728E2,6.613502018E1,-1.139776353E1,1.081914775E2
2.900556667E-1,4.447130516E-1,3.852568730E-1,3.914088984E-1,7.075355938E-1,1.271900373E2,6.612855980E1,-1.136372128E1,1.082863387E2
3.000046667E-1,4.443039743E-1,3.847701075E-1,3.917505101E-1,7.078682167E-1,1.272423683E2,6.611700542E1,-1.133940091E1,1.083756332E2
3.099536667E-1,4.438527080E-1,3.843417033E-1,3.919932996E-1,7.082495192E-1,1.273000826E2,6.610012097E1,-1.132915340E1,1.084649043E2
3.199026667E-1,4.433595582E-1,3.838978993E-1,3.921542140E-1,7.087099630E-1,1.273631371E2,6.607282858E1,-1.132733118E1,1.085607393E2
3.298516667E-1,4.428920443E-1,3.833526675E-1,3.922758699E-1,7.092299076E-1,1.274228979E2,6.603213738E1,-1.132059593E1,1.086629673E2
3.398006667E-1,4.424880562E-1,3.825788428E-1,3.923867247E-1,7.098383079E-1,1.274745260E2,6.596959653E1,-1.129644842E1,1.087785933E2
3.497496667E-1,4.421255933E-1,3.814815911E-1,3.924909123E-1,7.105967826E-1,1.275208376E2,6.587686367E1,-1.125048520E1,1.089185773E2
3.596986667E-1,4.417047781E-1,3.801852802E-1,3.926275949E-1,7.114769984E-1,1.275745933E2,6.576917572E1,-1.119420850E1,1.090826589E2
3.696486667E-1,4.411934842E-1,3.790516735E-1,3.927817931E-1,7.123135818E-1,1.276398901E2,6.567812427E1,-1.115254280E1,1.092420619E2
3.795976667E-1,4.406646677E-1,3.784321741E-1,3.928802732E-1,7.129158181E-1,1.277074055E2,6.562839788E1,-1.114681285E1,1.093574568E2
3.895466667E-1,4.402145499E-1,3.785157651E-1,3.928118550E-1,7.131870647E-1,1.277648579E2,6.562575840E1,-1.118993971E1,1.094016965E2
4.001166667E-1,4.400476273E-1,3.793232085E-1,3.923577708E-1,7.131110528E-1,1.277861600E2,6.564997215E1,-1.128485510E1,1.093507459E2
4.100666667E-1,4.403627592E-1,3.804405946E-1,3.914926758E-1,7.127967638E-1,1.277459422E2,6.566198001E1,-1.139408030E1,1.092189525E2
4.200156667E-1,4.409640894E-1,3.815930412E-1,3.903520302E-1,7.124343220E-1,1.276691800E2,6.565004493E1,-1.150523715E1,1.090524744E2
4.299646667E-1,4.417542901E-1,3.827028909E-1,3.890241971E-1,7.120757893E-1,1.275682692E2,6.561598968E1,-1.161420119E1,1.088689739E2
4.399136667E-1,4.424776249E-1,3.836600154E-1,3.877148092E-1,7.118256793E-1,1.274758590E2,6.556986873E1,-1.171758624E1,1.087065205E2
4.498626667E-1,4.428749116E-1,3.844147630E-1,3.866688269E-1,7.117403636E-1,1.274250876E2,6.553123919E1,-1.181282538E1,1.085981463E2
4.598116667E-1,4.428493917E-1,3.849271330E-1,3.860102073E-1,7.118367745E-1,1.274283493E2,6.550860970E1,-1.189517642E1,1.085580492E2
4.697606667E-1,4.424505982E-1,3.851333220E-1,3.857864852E-1,7.120944603E-1,1.274793124E2,6.550119928E1,-1.195361178E1,1.085861971E2
4.797096667E-1,4.417979227E-1,3.849683262E-1,3.860308014E-1,7.124564069E-1,1.275626959E2,6.550724211E1,-1.197302120E1,1.086746297E2
4.896586667E-1,4.410418398E-1,3.843768525E-1,3.867662487E-1,7.128453064E-1,1.276592530E2,6.552526468E1,-1.193736535E1,1.088109275E2
4.996076667E-1,4.402778755E-1,3.833342849E-1,3.879760550E-1,7.132215197E-1,1.277567759E2,6.555225560E1,-1.183944946E1,1.089862876E2
5.095576667E-1,4.395686810E-1,3.818412954E-1,3.895973395E-1,7.135759220E-1,1.278472709E2,6.558259202E1,-1.167944194E1,1.091935384E2
5.195066667E-1,4.389029610E-1,3.799354949E-1,3.915561608E-1,7.139306826E-1,1.279321867E2,6.561249121E1,-1.146591215E1,1.094306365E2
5.294556667E-1,4.382225950E-1,3.776644838E-1,3.937607485E-1,7.143408873E-1,1.280189388E2,6.563687581E1,-1.121275076E1,1.097000086E2
5.394046667E-1,4.374646893E-1,3.750314549E-1,3.961155239E-1,7.148905033E-1,1.281155402E2,6.564614703E1,-1.093176071E1,1.100085809E2
5.493536667E-1,4.366047566E-1,3.720533191E-1,3.985317579E-1,7.156290531E-1,1.282250979E2,6.563294403E1,-1.063213466E1,1.103575429E2
5.593026667E-1,4.356959546E-1,3.687717325E-1,4.009084516E-1,7.165535337E-1,1.283408264E2,6.559118685E1,-1.031972920E1,1.107371238E2
5.692516667E-1,4.348760298E-1,3.652641848E-1,4.031064124E-1,7.176142013E-1,1.284451885E2,6.551403336E1,-9.999227515E0,1.111250305E2
5.792006667E-1,4.342602854E-1,3.617072424E-1,4.049870061E-1,7.187289643E-1,1.285235319E2,6.540276327E1,-9.683144708E0,1.114932506E2
5.891496667E-1,4.338695525E-1,3.583294952E-1,4.064479146E-1,7.198314732E-1,1.285732329E2,6.526584774E1,-9.391694407E0,1.118202993E2
5.990986667E-1,4.336172194E-1,3.552944848E-1,4.074651025E-1,7.209120762E-1,1.286053240E2,6.511344200E1,-9.143309409E0,1.121025095E2
6.090476667E-1,4.333984878E-1,3.527185511E-1,4.080841580E-1,7.219575604E-1,1.286331383E2,6.495896906E1,-8.949828922E0,1.123422928E2
6.189976667E-1,4.331815895E-1,3.507000937E-1,4.083896832E-1,7.228976143E-1,1.286607162E2,6.481900767E1,-8.813967327E0,1.125352664E2
6.289466667E-1,4.330076916E-1,3.492902158E-1,4.084153743E-1,7.236695760E-1,1.286828244E2,6.470101097E1,-8.734001745E0,1.126730113E2
