"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.293849993E-2,-3.627763987E-1,4.565116167E-1,3.652010560E-1
3.294549999E-2,-4.720911682E-1,3.321742117E-1,4.801627994E-1
4.295349983E-2,-5.651738644E-1,1.738877296E-1,5.487757325E-1
7.296049989E-2,-6.431104541E-1,-1.563373581E-2,5.630723834E-1
9.296049989E-2,-7.042535543E-1,-3.655055463E-1,5.227124095E-1
1.129604999E-1,-5.962676406E-1,-5.272554159E-1,5.014069676E-1
1.329604999E-1,-5.362807512E-1,-5.346187949E-1,5.159605742E-1
1.529604999E-1,-4.888969064E-1,-4.933084548E-1,5.975744128E-1
1.729604999E-1,-4.535258412E-1,-5.070927739E-1,7.004926801E-1
1.929604999E-1,-7.126945257E-1,-4.410013556E-1,6.670713425E-1
2.129604999E-1,-1.122563958E0,-5.901174545E-1,6.496104598E-1
2.329604999E-1,-1.338617563E0,-1.226310015E0,7.444530725E-1
2.529604999E-1,-1.299575806E0,-5.237063169E-1,9.917373657E-1
2.729604999E-1,-1.617698908E0,1.676468968E0,1.243701935E0
2.929604999E-1,-2.288272142E0,2.118053913E0,1.074183345E0
3.129604999E-1,-2.115145683E0,1.921584249E0,1.208198518E-1
3.329604999E-1,-1.568115354E0,1.655207753E0,-5.611429214E-1
3.529604999E-1,-1.593739033E0,3.659825027E-1,-6.210418344E-1
3.729604999E-1,-2.250138283E0,-2.487150908E0,-3.912123740E-1
3.929604999E-1,-2.954607487E0,-2.631133556E0,5.435520411E-1
4.129604999E-1,-3.318886280E0,-2.126864910E0,9.808178544E-1
4.329604999E-1,-3.750586748E0,-1.639190078E0,7.703324556E-1
4.529604999E-1,-4.331397533E0,-8.856462240E-1,-1.917911023E-1
4.729604999E-1,-4.778411388E0,6.473444104E-1,-1.319822431E0
4.929604999E-1,-4.559758663E0,2.120378017E0,-1.834984183E0
5.129604999E-1,-4.415668011E0,2.811905622E0,-1.810156345E0
5.329604999E-1,-4.164567471E0,3.385299444E0,-1.792311072E0
5.529604999E-1,-3.153759718E0,4.183802128E0,-1.908854246E0
5.729604999E-1,-2.642452478E0,5.223405838E0,-1.625366449E0
5.929604999E-1,-2.539994717E0,5.346166134E0,-6.599630713E-1
6.129604999E-1,-2.161087990E0,4.183339596E0,8.220142722E-1
6.329604999E-1,-1.516976237E0,2.526728153E0,1.952712536E0
6.529604999E-1,-1.406172752E0,1.433435202E0,2.525218725E0
6.729604999E-1,-1.357445002E0,7.981385589E-1,3.053853035E0
6.929604999E-1,-8.101900220E-1,3.831777573E-1,3.304488420E0
