"Time (s)","X (hPa)"
-5.440900419E-1,1.012298203E3
4.870449582E-1,1.012304916E3
1.518151958E0,1.012311630E3
2.549295958E0,1.012313995E3
3.580443958E0,1.012313995E3
3.774963958E0,1.012302628E3
4.839357958E0,1.012297134E3
5.903787958E0,1.012297134E3
6.968189958E0,1.012290268E3
8.032582958E0,1.012290192E3
9.096912958E0,1.012288361E3
1.016126596E1,1.012290192E3
1.122560896E1,1.012290497E3
1.228995696E1,1.012291489E3
1.335433196E1,1.012294464E3
1.441873096E1,1.012299652E3
1.548314196E1,1.012304535E3
1.654752096E1,1.012304535E3
1.761186796E1,1.012310715E3
