"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.128858328E-2,8.170973907E-1,-2.513684934E-2,4.242818926E-2,5.743864606E-1,7.040944371E1,4.411284773E-1,5.636245095E0,7.023305163E1
2.129658335E-2,8.172118720E-1,-2.812378661E-2,4.330086544E-2,5.740197725E-1,7.038668490E1,2.157173353E-1,5.915359206E0,7.018050042E1
3.130458319E-2,8.172014512E-1,-3.131273307E-2,4.412941980E-2,5.738064778E-1,7.038875681E1,-3.078353508E-2,6.203503759E0,7.014835073E1
4.131258326E-2,8.170458135E-1,-3.453978819E-2,4.470153956E-2,5.737986701E-1,7.041969513E1,-2.964937831E-1,6.470070078E0,7.014279323E1
5.132058333E-2,8.167911517E-1,-3.758065137E-2,4.487791918E-2,5.739562256E-1,7.047029232E1,-5.696905189E-1,6.687327750E0,7.015786107E1
6.132858340E-2,8.164503733E-1,-4.029931951E-2,4.463500434E-2,5.742756776E-1,7.053795006E1,-8.390434130E-1,6.844224703E0,7.019348061E1
7.133658323E-2,8.160022786E-1,-4.281711359E-2,4.408523101E-2,5.747726627E-1,7.062682840E1,-1.108299301E0,6.959487717E0,7.025252968E1
8.134458330E-2,8.154500390E-1,-4.534760811E-2,4.333171084E-2,5.754191427E-1,7.073622990E1,-1.390906516E0,7.057043237E0,7.033134420E1
9.135258337E-2,8.149475537E-1,-4.802965261E-2,4.237239770E-2,5.759846796E-1,7.083564711E1,-1.702065744E0,7.145602713E0,7.039716645E1
1.013605832E-1,8.143928063E-1,-5.093627314E-2,4.113924940E-2,5.766086321E-1,7.094526374E1,-2.051970995E0,7.223931187E0,7.046918615E1
1.113685833E-1,8.137370751E-1,-5.401432697E-2,3.952575642E-2,5.773665273E-1,7.107464507E1,-2.442032173E0,7.278897406E0,7.055792883E1
1.213765834E-1,8.129596344E-1,-5.717341173E-2,3.764214066E-2,5.782827998E-1,7.122777625E1,-2.856192736E0,7.315208039E0,7.066817645E1
1.313845832E-1,8.121316174E-1,-6.015334538E-2,3.570168527E-2,5.792660857E-1,7.139055580E1,-3.256626624E0,7.335463416E0,7.078915330E1
1.413925833E-1,8.112033436E-1,-6.284154514E-2,3.394973560E-2,5.803855376E-1,7.157266301E1,-3.615794679E0,7.355475212E0,7.093209947E1
1.514005833E-1,8.100987484E-1,-6.538140379E-2,3.253369105E-2,5.817275038E-1,7.178883895E1,-3.936505263E0,7.399059962E0,7.110921606E1
1.614085834E-1,8.088008889E-1,-6.779593352E-2,3.143122433E-2,5.833155866E-1,7.204212015E1,-4.222068121E0,7.465897128E0,7.132348456E1
1.714165832E-1,8.073827001E-1,-6.983192397E-2,3.028837829E-2,5.850975869E-1,7.231800659E1,-4.472871906E0,7.505745161E0,7.156696239E1
1.814245833E-1,8.059018812E-1,-7.134888519E-2,2.900447860E-2,5.870179975E-1,7.260511011E1,-4.683211964E0,7.499392910E0,7.183199775E1
1.914325834E-1,8.044206934E-1,-7.231937170E-2,2.754195925E-2,5.889980354E-1,7.289130894E1,-4.854095826E0,7.440849250E0,7.210746143E1
2.014405832E-1,8.029976261E-1,-7.282026592E-2,2.580641524E-2,5.909535017E-1,7.316536881E1,-5.000227482E0,7.325830147E0,7.238095022E1
2.114485833E-1,8.016698950E-1,-7.309115162E-2,2.379764640E-2,5.928041909E-1,7.342027446E1,-5.144997208E0,7.169968181E0,7.264046051E1
2.214575834E-1,8.003962278E-1,-7.347848115E-2,2.161216371E-2,5.945584164E-1,7.366408801E1,-5.314116637E0,7.005873318E0,7.288662235E1
2.314655832E-1,7.990898546E-1,-7.425520279E-2,1.932633202E-2,5.962952775E-1,7.391344489E1,-5.526968585E0,6.859957928E0,7.313040788E1
2.414735833E-1,7.975906280E-1,-7.560007975E-2,1.701660833E-2,5.982007998E-1,7.419872735E1,-5.793155277E0,6.753186747E0,7.339841961E1
2.514815833E-1,7.957600429E-1,-7.753098757E-2,1.472650400E-2,6.004481330E-1,7.454579470E1,-6.109699723E0,6.692700180E0,7.371585222E1
2.614895834E-1,7.935079998E-1,-7.991652817E-2,1.246258866E-2,6.031610097E-1,7.497088251E1,-6.462746646E0,6.671886173E0,7.410125774E1
2.714975832E-1,7.908271230E-1,-8.260736210E-2,1.017554261E-2,6.063538021E-1,7.547425053E1,-6.841566686E0,6.677041702E0,7.455762520E1
