"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.513708338E-2,4.958526582E-1,-5.355037604E-1,-6.746423864E-1
4.514608323E-2,2.294808488E-1,-5.460882440E-1,-8.783237118E-1
5.515508330E-2,1.219498220E-1,-3.601254074E-1,-1.076196413E0
8.516408338E-2,2.394572219E-1,-1.576860489E-1,-1.082608470E0
1.051640834E-1,3.633276350E-1,-5.518368975E-1,-6.913929051E-1
1.251640834E-1,-3.568335711E-1,-7.766677480E-1,-4.636163735E-1
1.451640834E-1,-1.272755391E0,-1.817334651E0,-3.900677562E-1
1.651640834E-1,-2.823396783E0,-2.534553977E0,-3.635968262E-1
1.851640834E-1,-3.832342614E0,-3.229647585E0,-7.445926273E-1
2.051640834E-1,-3.847119990E0,-3.315703982E0,-1.117228079E0
2.251640834E-1,-3.198467015E0,-2.322077855E0,-1.684233166E0
2.451640834E-1,-2.080332325E0,-8.494738421E-1,-1.332628394E0
2.651640834E-1,-1.948215949E0,-2.979004347E-1,1.497688276E-1
2.851640834E-1,-9.381416050E-1,6.087856351E-1,2.717755430E0
3.051640834E-1,-1.496945679E-1,1.758658866E0,3.762763964E0
3.251640834E-1,3.088223904E0,3.334186153E0,3.751771199E0
3.451640834E-1,1.037632973E1,5.878702324E0,8.080625744E0
3.651640834E-1,4.725846575E0,1.894233285E0,9.943576133E-1
3.851640834E-1,7.464696420E0,1.184755673E0,-1.704738182E0
4.051640834E-1,7.291068614E0,5.577518093E0,1.746037651E0
4.251640834E-1,2.361666428E0,2.452605835E0,4.367232746E-1
4.451640834E-1,6.634449685E-1,-7.396721953E-1,1.037300735E0
4.651640834E-1,-2.873822293E0,-4.035991195E0,-3.912249202E-1
4.851640834E-1,-1.691665562E0,-3.744141752E0,-1.005797106E0
5.051640834E-1,1.382256637E0,-1.815999878E0,-1.717772210E0
5.251640834E-1,2.050730211E0,3.038634253E-1,4.982096708E-1
5.451640834E-1,2.668597303E0,4.558927864E-1,1.089468423E0
5.651640834E-1,1.397734802E0,-4.205887601E-1,8.931756395E-1
5.851640834E-1,4.202101529E-1,-1.755979379E0,6.688817096E-1
6.051640834E-1,4.765048063E-1,-2.463874296E0,1.102343992E0
6.251640834E-1,6.432399148E-1,-2.894108916E0,1.953086972E-1
6.451640834E-1,1.873319256E0,-7.341518390E-1,9.466759086E-2
6.651640834E-1,1.485914907E0,4.548057890E-1,-1.323689171E0
6.851640834E-1,-5.290268362E-2,3.192527121E-1,-3.568573254E0
7.051640834E-1,-6.721304226E-1,8.891656190E-1,-3.996998745E0
7.251640834E-1,5.129741827E-1,2.089503683E0,-5.185631268E0
7.451640834E-1,1.241187005E0,2.198333230E0,-3.266538253E0
7.651640834E-1,-9.965371630E-1,7.050543398E-1,1.225222059E0
7.851640834E-1,-4.632719725E-1,1.860952395E-1,6.385959392E0
8.051640834E-1,-2.069751496E0,1.462856412E0,6.323339220E0
8.251640834E-1,-2.951428878E0,1.737625262E0,2.197877732E0
8.451640834E-1,-4.390921863E0,2.054063709E0,2.425044984E-1
8.651640834E-1,-2.905626469E0,3.584784660E0,-9.798436546E-1
8.851640834E-1,-8.893705639E-1,4.926900746E0,-1.244594470E0
9.051640834E-1,5.964651132E-1,6.042047217E0,-1.376823989E0
9.251640834E-1,5.595064710E-1,6.903170759E0,-1.068997906E0
9.451640834E-1,7.335653633E-1,7.552450263E0,-8.420516789E-1
9.651640834E-1,8.004409189E-1,8.210725708E0,-3.135909263E-1
9.851640834E-1,-1.943751454E0,3.888052254E0,8.674321762E-1
1.005164083E0,-3.618395917E0,-1.091114531E1,-5.303075226E-1
1.025164083E0,-6.548971432E-1,-2.115066072E1,-4.771866209E0
1.045164083E0,1.218769657E0,-1.911346740E1,-7.399781216E0
1.065164083E0,-1.538408578E0,-8.965977225E0,-5.433687113E0
1.085164083E0,-2.630611451E0,-2.661128654E0,-3.436461849E0
1.105164083E0,-2.582077515E0,6.351801127E-1,-7.363344292E0
1.125164083E0,3.162391741E0,2.977652471E0,-1.644924674E0
1.145164083E0,9.232503254E0,3.631285812E0,6.677496886E0
1.165164083E0,8.515854471E0,2.049342667E0,1.258162466E1
1.185164083E0,2.700300322E0,2.297464585E-1,5.822967249E0
1.205164083E0,9.861957774E-1,-1.794475400E-1,7.593966079E-1
1.225164083E0,1.053082370E0,-4.156908399E-1,-1.596368226E0
1.245164083E0,-1.333108451E0,-1.208925285E0,-2.476378859E0
1.265164083E0,-2.112041483E0,-1.505377949E0,-1.969494259E0
1.285164083E0,-2.117153119E0,-1.300383339E0,-1.820642860E0
1.305164083E0,-3.566739568E0,-9.038795525E-1,-7.592773247E-1
1.325164083E0,-6.307359949E0,-1.043561348E0,5.021033317E0
1.345164083E0,-6.571725433E0,-2.448955418E0,4.000063856E0
1.365164083E0,-3.732310495E0,-3.673379917E0,2.102682284E0
1.385164083E0,-6.054224628E-1,-3.453377843E0,3.151172689E0
1.405164083E0,3.113242678E0,-1.769909493E0,2.696288839E0
1.425164083E0,5.815151276E0,-7.567992747E-1,3.088250801E-1
1.445164083E0,5.682819430E0,1.830003083E-1,-4.410523776E0
1.465164083E0,3.353111544E0,1.547022403E0,-6.252438807E0
1.485164083E0,1.722144612E0,2.545628604E0,-5.671269425E0
1.505164083E0,-2.402894269E-1,3.548443045E0,-4.269978639E0
1.525164083E0,-5.106276366E0,4.182853664E0,1.563462435E0
1.545164083E0,-6.161617514E0,4.215971709E0,1.950037942E0
1.565164083E0,-2.580366620E0,5.472345394E0,-1.159809843E0
1.585164083E0,-1.143253013E0,6.641974466E0,-2.506537336E0
1.605164083E0,9.321539830E-2,5.497153376E0,1.474500850E0
1.625164083E0,3.230218273E0,3.043974515E0,2.633686502E0
1.645164083E0,5.735329766E0,-2.474851567E-1,-1.056303308E0
1.665164083E0,6.022948456E0,-3.855179207E0,9.092069507E-1
1.685164083E0,3.205559103E0,-5.776559068E0,-3.234746357E0
1.705164083E0,-2.939797305E-2,-7.331279916E0,-3.238062313E-1
1.725164083E0,1.005073367E0,-6.522034040E0,-2.089137940E0
1.745164083E0,4.220843901E0,-6.107160641E0,-3.688686758E0
1.765164083E0,7.801217714E0,-1.052690138E1,1.443559431E0
1.785164083E0,1.306706284E1,-1.674398032E1,3.663359544E-1
1.805164083E0,1.798944544E1,-2.377634122E1,1.672102649E1
1.825164083E0,1.395986017E1,-1.888043715E1,4.992866110E0
1.845164083E0,6.422218561E0,-1.303501074E1,-1.090787847E-1
1.865164083E0,-9.443288362E-1,-9.334659959E0,-3.472562558E0
1.885164083E0,-4.903324480E0,-4.112638544E0,-4.545737130E0
1.905164083E0,-8.788474469E0,1.780680065E0,-4.041028864E0
1.925164083E0,-1.262534546E1,6.038323125E0,-1.383925433E0
1.945164083E0,-1.532524817E1,6.676994610E0,4.940545224E0
1.965164083E0,-1.293716578E1,7.833836991E0,8.615755320E0
1.985164083E0,-5.269825326E0,8.146163092E0,-3.243648743E0
2.005164083E0,-3.768918158E0,8.132898683E0,-3.008961387E0
2.025164083E0,-5.197897557E0,9.607307439E0,4.484795402E-1
2.045164083E0,-7.505169677E0,9.311613159E0,-3.061605624E0
2.065164083E0,-8.458797925E0,7.442075881E0,-3.631019179E0
2.085164083E0,-7.429100325E0,6.063827510E0,4.729593471E-2
2.105164083E0,-5.785010633E0,4.797825800E0,1.423968773E0
2.125164083E0,-3.005791027E0,2.506334730E0,-4.621054530E-3
2.145164083E0,-8.642529720E-1,-9.142753172E-1,6.633943900E-2
2.165164083E0,1.299402469E0,-4.975649568E0,2.204176645E-1
2.185164083E0,1.179985660E0,-4.785384094E0,1.070367908E-1
2.205164083E0,9.093434832E-1,1.936773241E-1,3.458556430E-1
2.225164083E0,1.273903346E0,2.942624726E0,1.134073177E0
2.245164083E0,1.312279792E0,2.657955371E0,1.228886217E0
