"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.655831631E-4,-1.300196228E0,-8.446934509E-1,1.005519012E1
1.975341677E-2,-1.787582703E0,-8.478369141E-1,9.290430450E0
3.977341671E-2,-2.515219574E0,-1.270108795E0,9.077423401E0
5.979241664E-2,-2.894231415E0,-1.545236664E0,9.027876434E0
7.981141680E-2,-3.633394318E0,-1.963317261E0,9.769134979E0
9.983141674E-2,-3.831731873E0,-2.454745331E0,1.036729111E1
1.198504167E-1,-4.055217133E0,-2.489622803E0,1.011401779E1
1.398694168E-1,-4.349056091E0,-2.122735748E0,9.479487305E0
1.598894168E-1,-4.310586090E0,-2.390828247E0,9.077423401E0
1.799084167E-1,-3.830534363E0,-2.138752441E0,8.930129700E0
1.999274166E-1,-3.272045746E0,-9.446855164E-1,9.020242310E0
2.199474168E-1,-3.244503021E0,-4.393363953E-1,8.358318787E0
2.399664167E-1,-2.583777008E0,-6.123765564E-1,8.089328156E0
2.599854167E-1,3.113974457E0,-1.131646729E0,1.471335342E1
2.800054168E-1,3.733236694E-1,-6.577322388E-1,1.234378098E1
3.000244168E-1,-1.754651184E0,-2.151475983E0,6.100114746E0
3.200434167E-1,-2.465073853E0,-3.446133728E0,5.177283783E0
3.400634166E-1,-3.727847900E0,-3.614683228E0,7.553741913E0
3.600824168E-1,-5.904471588E0,-5.323529663E0,8.596473541E0
3.801014167E-1,-7.405101013E0,-5.258415070E0,8.244705048E0
4.001214167E-1,-5.086871796E0,-3.115621033E0,7.175628204E0
4.201404168E-1,-3.911066895E0,-1.713337097E0,8.132887573E0
4.401594168E-1,-4.916226654E0,-2.813848572E0,7.882907410E0
4.601794167E-1,-5.828729095E0,-3.010389862E0,7.748337250E0
4.801984166E-1,-5.429958344E0,-3.205883331E0,8.374485168E0
5.002174168E-1,-5.850433960E0,-3.481310577E0,7.042255554E0
5.202374167E-1,-5.132975922E0,-2.929108887E0,6.863527222E0
5.402564167E-1,-5.115312653E0,-2.377356262E0,8.640931091E0
5.602754168E-1,-5.328768768E0,-3.093616791E0,7.889194336E0
5.802944168E-1,-6.172414398E0,-3.491639099E0,6.535559235E0
6.003144167E-1,-6.387816467E0,-3.240012360E0,7.176226959E0
6.203334166E-1,-6.687642975E0,-2.022144928E0,7.217391357E0
6.403534168E-1,-6.133195953E0,-2.589914246E0,5.708529053E0
6.603724167E-1,-6.017636261E0,-3.269950104E0,6.054759064E0
6.803914167E-1,-4.946314087E0,-2.235451355E0,7.343578949E0
7.004104168E-1,-5.232518921E0,-2.446512451E0,7.225624237E0
7.204304168E-1,-5.123994598E0,-2.304607544E0,6.516848145E0
7.404494167E-1,-5.673352203E0,-2.374362488E0,6.384673004E0
7.604684166E-1,-5.286706238E0,-2.102228394E0,6.519243164E0
7.804884168E-1,-4.481979675E0,-2.022593994E0,5.203179932E0
8.005074167E-1,-3.830085297E0,-1.754501495E0,6.074368286E0
8.205264166E-1,-4.361929321E0,-2.404599609E0,5.954018555E0
8.405464168E-1,-4.713398438E0,-3.412753143E0,4.697531433E0
8.605654167E-1,-4.562212830E0,-4.660857697E0,3.674708405E0
8.805844167E-1,-4.462819519E0,-5.238955536E0,2.449057159E0
9.006044166E-1,-4.490960999E0,-5.595514069E0,1.493743744E0
9.206234168E-1,-4.225113831E0,-5.607040100E0,1.394799500E0
9.406424167E-1,-4.120481415E0,-5.606141968E0,8.342152405E-1
9.606624166E-1,-3.486699371E0,-5.619314575E0,7.057823181E-1
9.806814168E-1,-2.617456970E0,-6.703959045E0,4.203708344E0
1.000700417E0,-2.073338470E0,-6.553821259E0,6.426885223E0
1.020720417E0,-1.572480011E0,-4.247567139E0,2.216141510E0
1.040739417E0,-1.047821045E0,-2.433040466E0,2.087109833E0
1.060758417E0,-3.924838257E-1,-1.845811615E0,1.059496765E0
1.080778417E0,-7.753875732E-2,-1.875000916E0,-1.713337097E0
