"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.250418231E-4,-4.349355469E0,-6.918462982E0,7.389832764E0
2.033904172E-2,-3.900738373E0,-6.284531250E0,6.145320740E0
4.035304184E-2,-4.622537384E0,-6.897207184E0,7.229366455E0
6.036704173E-2,-5.392386475E0,-7.107819214E0,7.785310364E0
8.038104186E-2,-4.612508240E0,-7.275470581E0,8.484805756E0
1.003950418E-1,-7.627837830E0,-6.514004059E0,7.044351196E0
1.204100417E-1,-9.561367035E0,-8.258476410E0,4.984933777E0
1.404240418E-1,-7.081024933E0,-6.886579285E0,4.756359100E0
1.604380417E-1,-5.416636047E0,-3.428171082E0,6.355184326E0
1.804520418E-1,-5.114713898E0,-3.230731659E0,5.707331543E0
2.004660417E-1,-6.037844238E0,-2.609972534E0,5.134023743E0
2.204800418E-1,-4.466262360E0,-2.098336487E0,7.516619110E0
2.404940417E-1,-3.830234985E0,-2.233804779E0,3.928131409E0
2.605090418E-1,-2.418370972E0,-2.748284912E0,3.657643890E0
2.805230417E-1,-1.772913208E0,-3.595972137E0,4.406985626E0
3.005370419E-1,-3.484753418E0,-2.744093628E0,5.246739349E0
3.205510417E-1,-5.824687500E0,-3.651057587E0,5.670657806E0
3.405650416E-1,-8.224946136E0,-5.732479248E0,5.733676758E0
3.605790418E-1,-8.348738708E0,-5.110522614E0,6.414161682E0
3.805940417E-1,-6.165828094E0,-6.640191650E0,2.721490631E0
4.006080418E-1,-6.285279694E0,-8.155041504E0,2.538720703E-1
4.206220417E-1,-4.440815277E0,-7.492219849E0,1.380130005E0
4.406360418E-1,-3.158881073E0,-6.768175507E0,2.136357422E0
4.606500417E-1,-2.011966095E0,-5.207969971E0,4.628225555E0
4.806640418E-1,-2.575993195E0,-4.604125671E0,5.876629486E0
5.006780417E-1,-1.310973816E0,-4.043092346E0,3.701352997E0
5.206930418E-1,-1.746867371E0,-4.856949921E0,2.185754700E0
5.407070417E-1,-1.774559784E0,-5.467829590E0,-1.742975464E0
5.607210419E-1,-3.818858643E0,-8.679101715E0,1.228390549E1
5.807350418E-1,-4.854854279E0,-1.358020981E1,1.384021912E1
6.007490417E-1,-3.874093781E0,-1.038959473E1,1.889071655E0
6.207630418E-1,-3.726051636E0,-7.646548920E0,-1.142124939E0
6.407770417E-1,-6.576723633E0,-8.330626373E0,1.559606781E0
6.607910418E-1,-4.994813232E0,-7.434739380E0,4.177812195E0
6.808060417E-1,-4.535867615E0,-6.443201294E0,3.443139954E0
7.008200418E-1,-3.318299561E0,-6.560407562E0,2.204765167E0
7.208339167E-1,-1.894460449E0,-4.922962646E0,1.707050171E0
7.408479168E-1,-2.111359406E0,-6.434968414E0,-9.472302246E-1
7.608619167E-1,-2.801125031E0,-1.729458572E1,-1.999392242E0
7.808759168E-1,-2.530038757E0,-2.616454056E1,3.773952026E0
8.008899167E-1,5.505850525E0,-2.461271759E1,1.146196472E1
8.209049169E-1,3.801195374E0,-1.319356384E1,1.117575989E0
8.409189167E-1,2.736010437E0,-6.889423370E0,-2.380200348E0
8.609329166E-1,3.760330353E0,-5.702840881E0,-7.318281555E-1
8.809469168E-1,4.093238068E0,-6.337970123E0,7.583230591E-1
9.009609167E-1,4.680466919E0,-8.176446991E0,3.160677338E0
9.209749168E-1,3.825894012E0,-9.922116852E0,3.689228210E0
