"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.283404185E-2,-8.878178358E-2,-3.308962727E-1,-5.115261197E-2
2.284104167E-2,2.012026906E-3,-1.022145921E-1,-3.955968833E-1
3.284804174E-2,-2.031369495E-1,-3.761198080E-1,4.325360835E-2
6.285504180E-2,-5.884889263E-1,-7.259949732E-1,7.579909372E-1
8.285504180E-2,-1.179141907E0,-9.921467811E-1,1.375691383E0
1.028550418E-1,-1.677899462E-1,-1.249158221E0,2.147287037E0
1.228550418E-1,-2.855498874E0,-6.268109930E-1,8.152392715E-1
1.428550418E-1,-4.317030891E0,-2.570820748E0,-1.046949225E0
1.628550418E-1,-1.300611965E0,-1.438746588E0,-1.000727570E0
1.828550418E-1,9.062295485E-1,1.738349147E0,9.178561521E-1
2.028550418E-1,1.656613258E0,1.667469783E0,5.699327874E-1
2.228550418E-1,1.062823831E0,2.050720271E0,2.254031467E-1
2.428550418E-1,2.904141276E0,2.309263682E0,2.774645914E0
2.628550418E-1,3.706960477E0,1.974557948E0,-7.319614720E-1
2.828550418E-1,5.167986125E0,1.354338521E0,-1.016943069E0
3.028550418E-1,5.780307133E0,5.026918539E-1,-3.243900758E-1
3.228550418E-1,3.963435143E0,1.438135846E0,4.228870082E-1
3.428550418E-1,1.426477375E0,6.848685819E-1,6.850323039E-1
3.628550418E-1,-1.295744158E0,-1.204411527E0,4.688063622E-1
3.828550418E-1,-1.729079556E0,-4.027044663E-1,9.139203912E-1
4.028550418E-1,2.327905190E-1,-1.794315187E0,-2.918657573E0
4.228550418E-1,-1.731664610E-1,-3.157370737E0,-5.568624478E0
4.428550418E-1,1.276074709E0,-2.250772814E0,-4.626574886E0
4.628550418E-1,2.056893761E0,-1.173386493E0,-4.006129172E0
4.828550418E-1,2.702220547E0,8.216133213E-1,-1.508277583E0
5.028550418E-1,1.837032898E0,1.857813610E0,-3.984351218E-2
5.228550418E-1,3.008575471E0,2.816672192E0,-1.823248379E0
5.428550418E-1,2.659615103E0,2.357248272E0,-2.791629737E0
5.628550418E-1,2.683970510E0,2.132321089E0,-6.055204622E0
5.828550418E-1,6.122429475E-1,-6.780548215E-1,8.736414369E0
6.028550418E-1,-5.502607074E-1,-5.260185022E0,1.092752687E1
6.228550418E-1,4.176198363E-2,-1.806021312E0,-7.987600636E-1
6.428550418E-1,-4.324226475E-1,1.193666975E0,-3.832608370E0
6.628550418E-1,-3.954824533E0,7.218165529E-1,-1.163448273E0
6.828550418E-1,-2.930078940E0,1.757042695E0,1.442100551E0
7.028550418E-1,-2.929391307E0,2.841775458E0,7.146695012E-1
7.228550418E-1,-2.153586828E0,2.812772099E0,-4.453388545E-1
7.428550418E-1,-1.130043349E0,4.541933516E0,-7.561835629E-1
7.628550418E-1,-1.694448544E0,3.112327296E0,-3.163406233E0
7.828550418E-1,-2.790134604E0,-7.680816527E0,-3.951679608E0
8.028550418E-1,-2.798326845E0,-1.652996872E1,1.946614835E0
8.228550418E-1,5.120668117E0,-1.505336434E1,9.292517906E0
8.428550418E-1,3.390094890E0,-3.722747374E0,-1.406456801E0
8.628550418E-1,2.293941784E0,2.577383078E0,-4.914022254E0
8.828550418E-1,3.226236027E0,3.785699667E0,-3.164613683E0
9.028550418E-1,3.406541061E0,3.166183076E0,-1.573118673E0
9.228550418E-1,3.805787777E0,1.319570977E0,8.592264131E-1
9.428550418E-1,2.810694584E0,-4.655395228E-1,1.285353656E0
9.628550418E-1,2.031812714E0,-4.785033846E-1,-7.054642296E-1
9.828550418E-1,2.037641804E0,3.762057620E-1,-6.510284060E-1
1.002855042E0,1.667427830E0,5.430092829E-1,6.170704088E-1
1.022855042E0,1.367030195E0,1.698019731E-1,-1.100072641E0
1.042855042E0,5.721884239E-3,7.450469559E-1,-2.249585245E0
1.062855042E0,-7.140406331E-1,1.331589344E0,-2.385459334E-1
1.082855042E0,-5.072825760E-1,7.713635194E-1,2.254957374E0
1.102855042E0,-2.744501946E-1,-1.131857228E-1,4.798882976E-1
1.122855042E0,-9.049637724E-1,-4.459735698E-1,-1.017944697E0
1.142855042E0,-2.364435377E0,2.184812129E-2,1.172538062E0
1.162855042E0,-2.109621613E0,5.166015029E-1,1.490609636E0
1.182855042E0,-1.486863910E0,5.322135687E-1,-4.751201856E-1
1.202855042E0,-1.482280716E0,3.647674388E-1,-1.950695461E-1
1.222855042E0,-1.332818575E0,-1.576269007E-1,1.160685756E0
1.242855042E0,-7.786737084E-1,-9.614582545E-1,1.319887896E0
1.262855042E0,-4.559278697E-1,-8.708614951E-1,4.112908101E-1
1.282855042E0,-6.559561470E-1,-7.116388893E-1,1.755790222E-1
1.302855042E0,-1.387127368E0,-3.679570949E-1,-3.875025827E-1
1.322855042E0,-1.618002631E0,-2.979764485E-1,-6.049558550E-2
1.342855042E0,-9.818013024E-1,-3.855876195E-1,3.012400720E-1
1.362855042E0,-8.325500266E-1,-1.584782553E-1,-3.891079357E-1
1.382855042E0,-8.944384919E-1,-2.397510445E-1,-6.146373823E-1
1.402855042E0,-7.982508443E-1,-4.990423143E-1,-2.200193229E-1
1.422855042E0,-3.875274333E-1,-6.024006218E-1,-4.347755671E-2
1.442855042E0,2.074525601E-1,-1.674601632E-1,-1.449706024E-1
1.462855042E0,1.938506209E-1,2.069855869E-2,-2.607723695E-1
1.482855042E0,-1.589146037E-1,5.219458580E-2,-2.950054783E-1
1.502855042E0,-5.147609821E-1,-2.745267749E-2,-7.940109551E-2
1.522855042E0,-6.726927055E-1,-1.035676378E-1,-1.738280734E-1
1.542855042E0,-5.384715512E-1,-1.821191329E-1,-2.085722288E-1
1.562855042E0,-5.219571139E-1,-2.819755429E-1,-2.117475593E-1
1.582855042E0,-3.532972116E-1,-2.839472240E-1,-2.415397078E-1
1.602855042E0,-1.762850917E-1,-2.580721253E-1,-5.944893390E-2
1.622855042E0,-1.182167768E-1,-2.364982384E-1,-9.545491844E-2
1.642855042E0,-5.691847824E-2,-3.429011911E-1,6.620042145E-2
1.662855042E0,7.922220726E-2,-5.176885003E-1,-3.173228386E-1
1.682855042E0,2.608932607E-2,-6.732489949E-1,-3.647382027E-1
1.702855042E0,-2.863372734E-1,-1.056591284E0,2.543614823E-1
1.722855042E0,3.588190663E-1,-8.275821590E-1,1.824103242E-1
1.742855042E0,1.116213953E0,4.422833920E-3,-1.378826953E0
1.762855042E0,1.629933436E0,4.249177462E-1,-1.812641530E0
1.782855042E0,2.354823724E0,6.171133858E-1,-2.655720565E-1
1.802855042E0,2.776952056E0,5.532857645E-1,-3.106935579E-1
