"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
7.978041889E-3,6.394425974E-1,6.130508836E-1,-3.508405455E-1,-3.036325875E-1,1.004994641E2,8.987593275E1,-4.381686033E0,-5.517264650E1
1.794804167E-2,6.393704631E-1,6.130263857E-1,-3.508732198E-1,-3.037961805E-1,1.005102150E2,8.987511768E1,-4.370507683E0,-5.519036235E1
2.791804168E-2,6.392623985E-1,6.130128777E-1,-3.509901562E-1,-3.039156246E-1,1.005263192E2,8.988264728E1,-4.366797775E0,-5.521220356E1
3.788804170E-2,6.390796287E-1,6.130150166E-1,-3.512437644E-1,-3.040028054E-1,1.005535522E2,8.990341534E1,-4.371835216E0,-5.524426929E1
4.785804171E-2,6.388846469E-1,6.129905609E-1,-3.515949424E-1,-3.040560053E-1,1.005825988E2,8.992833432E1,-4.386856156E0,-5.528251414E1
5.782704172E-2,6.387810078E-1,6.129217667E-1,-3.519055753E-1,-3.040529285E-1,1.005980355E2,8.994375549E1,-4.408094102E0,-5.531167002E1
6.779704173E-2,6.387687957E-1,6.128311826E-1,-3.521216727E-1,-3.040110240E-1,1.005998543E2,8.994847823E1,-4.429582192E0,-5.532822358E1
7.776704174E-2,6.387532014E-1,6.127390180E-1,-3.523055488E-1,-3.040167560E-1,1.006021769E2,8.995038201E1,-4.445267203E0,-5.534597115E1
8.773704176E-2,6.386710677E-1,6.126499828E-1,-3.525090549E-1,-3.041327757E-1,1.006144088E2,8.995432755E1,-4.451821646E0,-5.537551294E1
9.770704177E-2,6.384834405E-1,6.125986163E-1,-3.527650022E-1,-3.043332999E-1,1.006423476E2,8.996784162E1,-4.450679068E0,-5.541781825E1
1.076760418E-1,6.382180418E-1,6.125911036E-1,-3.530731905E-1,-3.045477009E-1,1.006818573E2,8.999178633E1,-4.447692309E0,-5.546655754E1
1.176460418E-1,6.379511679E-1,6.126227559E-1,-3.533605898E-1,-3.047096291E-1,1.007215753E2,9.001957929E1,-4.445425768E0,-5.550875777E1
1.276160418E-1,6.377366405E-1,6.126890424E-1,-3.535331074E-1,-3.048253644E-1,1.007534944E2,9.004293109E1,-4.438886713E0,-5.553594675E1
1.375860418E-1,6.375460840E-1,6.128243232E-1,-3.535694485E-1,-3.049099636E-1,1.007818408E2,9.006493834E1,-4.423108379E0,-5.554755902E1
1.475560418E-1,6.373220419E-1,6.130328658E-1,-3.535353939E-1,-3.049984615E-1,1.008151610E2,9.009154973E1,-4.397966214E0,-5.555305451E1
1.575250418E-1,6.371061447E-1,6.132633669E-1,-3.534556942E-1,-3.050786459E-1,1.008472622E2,9.011755576E1,-4.369627193E0,-5.555351094E1
1.674950419E-1,6.369813690E-1,6.134277291E-1,-3.533424983E-1,-3.051397799E-1,1.008658114E2,9.013152837E1,-4.346199850E0,-5.554878361E1
1.774650419E-1,6.369272629E-1,6.134862395E-1,-3.532768230E-1,-3.052111661E-1,1.008738541E2,9.013444256E1,-4.332110923E0,-5.554912206E1
1.874350419E-1,6.368277437E-1,6.134785477E-1,-3.533783337E-1,-3.053167545E-1,1.008886460E2,9.014160086E1,-4.328325286E0,-5.556829721E1
1.974050417E-1,6.365859578E-1,6.135028664E-1,-3.536782085E-1,-3.054247663E-1,1.009245770E2,9.016939699E1,-4.331975558E0,-5.560683112E1
2.073750417E-1,6.362411122E-1,6.135890778E-1,-3.540959048E-1,-3.054858792E-1,1.009758073E2,9.021553149E1,-4.341164828E0,-5.565271054E1
2.173440417E-1,6.359154541E-1,6.136865318E-1,-3.544908103E-1,-3.055102717E-1,1.010241698E2,9.026143826E1,-4.351631018E0,-5.569318225E1
2.273140417E-1,6.356804433E-1,6.137715210E-1,-3.547537012E-1,-3.055236744E-1,1.010590601E2,9.029485750E1,-4.357332848E0,-5.571996416E1
2.372840417E-1,6.354820897E-1,6.138559832E-1,-3.548927858E-1,-3.056050284E-1,1.010885013E2,9.031811435E1,-4.350698820E0,-5.574094764E1
2.472540417E-1,6.352056063E-1,6.139634366E-1,-3.549948866E-1,-3.058455183E-1,1.011295289E2,9.034159533E1,-4.326133650E0,-5.577273706E1
2.572240417E-1,6.347983624E-1,6.140595736E-1,-3.551764130E-1,-3.062868169E-1,1.011899380E2,9.036995940E1,-4.288243109E0,-5.583011829E1
2.671930417E-1,6.342686397E-1,6.141393260E-1,-3.555031249E-1,-3.068447779E-1,1.012684761E2,9.040787640E1,-4.248252631E0,-5.591186298E1
2.771630418E-1,6.336592806E-1,6.142169288E-1,-3.559870866E-1,-3.073870393E-1,1.013587668E2,9.045837954E1,-4.217591339E0,-5.600733167E1
2.871330418E-1,6.330096502E-1,6.143101471E-1,-3.566128093E-1,-3.078137972E-1,1.014549605E2,9.052276489E1,-4.203115180E0,-5.610617106E1
2.971030418E-1,6.323797234E-1,6.144014794E-1,-3.573118147E-1,-3.081152315E-1,1.015481735E2,9.059300260E1,-4.203584199E0,-5.620087000E1
3.070730418E-1,6.318211933E-1,6.144652475E-1,-3.579950573E-1,-3.083408014E-1,1.016307699E2,9.065817272E1,-4.212071372E0,-5.628721316E1
3.170420418E-1,6.313173488E-1,6.145050658E-1,-3.586057335E-1,-3.085838412E-1,1.017052377E2,9.071408639E1,-4.217073054E0,-5.636808958E1
3.270120418E-1,6.308355893E-1,6.145389097E-1,-3.591260364E-1,-3.088961704E-1,1.017764045E2,9.076177364E1,-4.211682033E0,-5.644646495E1
3.369820418E-1,6.303258969E-1,6.146122241E-1,-3.595876497E-1,-3.092536284E-1,1.018516586E2,9.081023718E1,-4.196236904E0,-5.652339123E1
3.469520418E-1,6.297460300E-1,6.147557868E-1,-3.600443424E-1,-3.096178720E-1,1.019372248E2,9.086826001E1,-4.174494680E0,-5.660072860E1
3.569220419E-1,6.290936811E-1,6.149789966E-1,-3.605313071E-1,-3.099340576E-1,1.020334248E2,9.094009685E1,-4.152425074E0,-5.667700498E1
3.668910419E-1,6.284127671E-1,6.152658901E-1,-3.610138464E-1,-3.101842308E-1,1.021337676E2,9.102063548E1,-4.131158859E0,-5.674719264E1
3.768610419E-1,6.277685842E-1,6.155820337E-1,-3.614257475E-1,-3.103814886E-1,1.022286321E2,9.109951319E1,-4.108931221E0,-5.680591936E1
3.868310419E-1,6.271889912E-1,6.159332433E-1,-3.617101966E-1,-3.105251988E-1,1.023139309E2,9.117281159E1,-4.082668359E0,-5.684763013E1
3.968010417E-1,6.266329689E-1,6.163751531E-1,-3.618706497E-1,-3.105838040E-1,1.023957127E2,9.124867968E1,-4.051200124E0,-5.687001264E1
4.067710417E-1,6.260768729E-1,6.169290785E-1,-3.619260833E-1,-3.105409933E-1,1.024774584E2,9.133173145E1,-4.015340611E0,-5.687352002E1
4.167400417E-1,6.255545786E-1,6.175521670E-1,-3.618884146E-1,-3.103988847E-1,1.025541927E2,9.141692048E1,-3.978773644E0,-5.685934255E1
4.267100417E-1,6.250483633E-1,6.182256737E-1,-3.618238456E-1,-3.101531159E-1,1.026285254E2,9.150712893E1,-3.946534467E0,-5.683346492E1
4.366800417E-1,6.245393559E-1,6.189568583E-1,-3.617600985E-1,-3.097944041E-1,1.027032292E2,9.160572329E1,-3.920261403E0,-5.679779574E1
4.466500417E-1,6.240489984E-1,6.197616313E-1,-3.616484726E-1,-3.093034143E-1,1.027751591E2,9.171095020E1,-3.898200540E0,-5.674595580E1
4.566200417E-1,6.236300060E-1,6.206300144E-1,-3.613997324E-1,-3.086976482E-1,1.028365919E2,9.181400909E1,-3.875311285E0,-5.667082726E1
4.665890418E-1,6.232554048E-1,6.215418193E-1,-3.609862718E-1,-3.081028719E-1,1.028914939E2,9.190976249E1,-3.840296877E0,-5.658085049E1
4.765590418E-1,6.228275405E-1,6.224893648E-1,-3.605001501E-1,-3.076240732E-1,1.029541765E2,9.200479753E1,-3.788487850E0,-5.649426727E1
4.865290418E-1,6.223530408E-1,6.234268371E-1,-3.599945986E-1,-3.072778895E-1,1.030236594E2,9.209700883E1,-3.724378506E0,-5.641754103E1
4.964990418E-1,6.219310876E-1,6.242884346E-1,-3.594760765E-1,-3.069896683E-1,1.030854195E2,9.217751734E1,-3.660165320E0,-5.634443764E1
5.064690418E-1,6.215499642E-1,6.250783508E-1,-3.589978783E-1,-3.067137223E-1,1.031411808E2,9.225129795E1,-3.602267769E0,-5.627610561E1
