"Time (s)","X (hPa)"
-5.497149583E-1,1.000187454E3
4.777140417E-1,1.000188370E3
1.505172042E0,1.000189285E3
2.532583042E0,1.000191193E3
3.560035042E0,1.000193024E3
3.759553042E0,1.000194702E3
4.820115042E0,1.000195007E3
5.880652042E0,1.000196686E3
6.941196042E0,1.000197144E3
8.001705042E0,1.000198288E3
9.062251042E0,1.000198288E3
1.012281404E1,1.000197449E3
1.118337004E1,1.000194092E3
1.224394904E1,1.000189819E3
1.330452904E1,1.000181961E3
1.436504404E1,1.000173569E3
1.542557504E1,1.000163040E3
1.648613204E1,1.000153580E3
1.754664004E1,1.000144119E3
1.860717104E1,1.000134811E3
1.966774304E1,1.000127182E3
2.072830604E1,1.000121460E3
2.178882604E1,1.000116577E3
2.284938604E1,1.000115280E3
2.390998304E1,1.000115280E3
2.497060404E1,1.000116196E3
2.603120304E1,1.000116348E3
2.709174904E1,1.000116348E3
2.815234004E1,1.000111771E3
2.921297504E1,1.000106125E3
3.027353004E1,1.000095978E3
3.133412104E1,1.000085754E3
3.239468404E1,1.000076675E3
3.345525704E1,1.000069046E3
