"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.172208486E-3,4.483855888E-2,-1.320770103E-2,-7.328525931E-2
1.414220850E-2,7.847838104E-2,-5.139952153E-2,-6.103878841E-2
2.411220828E-2,9.881987423E-2,-4.689664766E-2,-4.978400096E-2
5.408220829E-2,9.926696867E-2,-2.290483192E-2,-3.733129427E-2
7.408220829E-2,4.018702731E-2,-8.570903540E-2,-4.632018879E-2
9.408220829E-2,5.001087487E-2,-1.456718743E-1,-3.360589221E-2
1.140822083E-1,7.610537857E-2,-6.383189559E-2,-2.115192078E-2
1.340822083E-1,8.792223036E-2,3.478342295E-2,-3.731287643E-2
1.540822083E-1,6.920166314E-2,2.443484776E-2,-4.983842745E-2
1.740822083E-1,7.337961346E-2,-4.014692456E-2,-1.468707807E-2
1.940822083E-1,8.066936582E-2,6.571323611E-3,1.388729643E-2
2.140822083E-1,7.325156778E-2,3.756009042E-2,-2.151918784E-2
2.340822083E-1,4.390032589E-2,1.627615653E-2,-6.108745560E-2
2.540822083E-1,4.271490499E-2,-2.821862698E-2,-4.334216192E-2
2.740822083E-1,6.405296922E-2,-5.158210918E-2,1.030605473E-2
2.940822083E-1,5.087060109E-2,-3.372938931E-2,5.418837443E-2
3.140822083E-1,2.560435236E-2,-1.262460798E-1,2.736708149E-2
3.340822083E-1,9.553967044E-3,-1.986387968E-1,-1.774461567E-2
3.540822083E-1,3.536986932E-2,-1.261388659E-1,-3.336415812E-2
3.740822083E-1,7.248180360E-2,-9.192194790E-2,-9.268307127E-3
3.940822083E-1,6.860447675E-2,-9.710031003E-2,3.148433985E-3
4.140822083E-1,8.519291878E-2,-9.076969698E-3,-1.043076906E-2
4.340822083E-1,7.667894661E-2,5.971200764E-2,-2.196005173E-2
4.540822083E-1,6.352778524E-2,6.396318227E-2,-1.526863035E-2
4.740822083E-1,4.789866135E-2,2.514171042E-2,-1.817709394E-2
4.940822083E-1,7.933890820E-2,3.384237364E-2,-3.869517148E-2
5.140822083E-1,1.102896258E-1,8.617966622E-2,-1.276589483E-1
5.340822083E-1,1.337465793E-1,3.803316504E-2,-2.192409486E-1
5.540822083E-1,1.487201750E-1,9.408486634E-2,-2.487828434E-1
5.740822083E-1,2.086556554E-1,2.011211365E-1,-2.110273838E-1
5.940822083E-1,2.127085477E-1,1.647965610E-1,-1.510436386E-1
6.140822083E-1,1.815731823E-1,8.879464865E-2,-1.492158622E-1
6.340822083E-1,1.845366806E-1,3.008981235E-2,-1.870222241E-1
6.540822083E-1,1.661238074E-1,-7.910620421E-2,-2.048911154E-1
6.740822083E-1,1.002558619E-1,-1.064420491E-1,-1.830540895E-1
6.940822083E-1,5.556373671E-2,-2.011373043E-1,-1.168858930E-1
7.140822083E-1,1.514714658E-1,-4.928557277E-1,-7.075557113E-2
7.340822083E-1,2.576969564E-1,-4.859935641E-1,-1.333763301E-1
7.540822083E-1,3.124508858E-1,-1.427087337E-1,-2.298911512E-1
7.740822083E-1,2.908304036E-1,2.107467037E-3,-2.991949618E-1
7.940822083E-1,2.311831564E-1,2.226448990E-2,-2.744190991E-1
8.140822083E-1,2.454956174E-1,-7.268546522E-2,-1.850085109E-1
8.340822083E-1,1.991275698E-1,-1.676480472E-1,-9.452705830E-2
8.540822083E-1,5.220308527E-2,-2.832060158E-1,2.252038755E-2
8.740822083E-1,-9.877796471E-2,-5.097389817E-1,1.078758016E-1
8.940822083E-1,-1.196284443E-1,-5.913894176E-1,1.110638231E-1
9.140822083E-1,-5.304948241E-2,-4.956787825E-1,3.885269910E-2
9.340822083E-1,8.160405606E-2,-4.398150444E-1,-7.003107667E-2
9.540822083E-1,2.052419782E-1,-5.499084592E-1,-1.289899200E-1
9.740822083E-1,2.046819776E-1,-5.371907949E-1,-3.145239502E-2
9.940822083E-1,2.003135085E-1,-4.707844257E-1,1.514002234E-1
1.014082208E0,2.093001157E-1,-3.083893061E-1,1.989748925E-1
1.034082208E0,2.315856814E-1,-1.556603462E-1,1.108571365E-1
1.054082208E0,2.035408467E-1,-7.024025917E-2,8.362242579E-2
1.074082208E0,1.308013201E-1,-1.274299175E-1,1.696405411E-1
1.094082208E0,1.702598482E-1,-2.456924468E-1,2.034839392E-1
1.114082208E0,2.245423049E-1,-3.114719987E-1,9.332429618E-2
1.134082208E0,2.313433141E-1,-3.851307333E-1,-9.777453542E-2
1.154082208E0,2.172140181E-1,-3.983524740E-1,-2.052303851E-1
1.174082208E0,1.797123998E-1,-4.282745123E-1,-1.097723767E-1
1.194082208E0,1.159418151E-1,-5.443799496E-1,7.311106473E-2
1.214082208E0,1.113803014E-1,-5.277134180E-1,1.629163474E-1
1.234082208E0,1.892561316E-1,-2.683411837E-1,1.273259073E-1
1.254082208E0,2.429494262E-1,-1.708967537E-1,2.836551890E-2
1.274082208E0,2.233194560E-1,-3.107115030E-1,-1.596665196E-2
1.294082208E0,2.400519699E-1,-4.455283880E-1,-1.287917420E-2
1.314082208E0,3.048197031E-1,-5.217108727E-1,-5.789123476E-2
1.334082208E0,3.454930484E-1,-4.622608721E-1,-1.731993258E-1
1.354082208E0,3.637178242E-1,-3.673301339E-1,-3.048187494E-1
1.374082208E0,4.421339929E-1,-2.163769454E-1,-3.433737755E-1
1.394082208E0,5.379040837E-1,-1.293760985E-1,-3.110579848E-1
1.414082208E0,5.873804688E-1,-2.909685969E-1,-2.689830959E-1
1.434082208E0,5.994523168E-1,-4.218791127E-1,-1.967190355E-1
1.454082208E0,5.761467814E-1,-2.908647060E-1,-1.677713692E-1
1.474082208E0,4.896425307E-1,-2.230686396E-1,-1.939060390E-1
1.494082208E0,4.131261706E-1,-4.313483834E-1,-2.941630483E-1
1.514082208E0,3.831448853E-1,-6.450504661E-1,-4.945360422E-1
1.534082208E0,4.242919683E-1,-6.672201157E-1,-6.682559848E-1
1.554082208E0,5.059376359E-1,-3.882999122E-1,-7.209639549E-1
1.574082208E0,6.078621745E-1,-3.422579467E-1,-6.806780696E-1
1.594082208E0,7.092707157E-1,-5.653485656E-1,-6.469841003E-1
1.614082208E0,7.251735330E-1,-4.295314252E-1,-6.828495264E-1
1.634082208E0,7.197451591E-1,-2.186477035E-1,-7.452222705E-1
1.654082208E0,8.186517954E-1,-4.885361493E-1,-7.835242152E-1
1.674082208E0,8.349994421E-1,-8.364525437E-1,-7.821891308E-1
1.694082208E0,7.056993842E-1,-1.087096095E0,-8.220360279E-1
1.714082208E0,5.881854892E-1,-1.115352631E0,-9.154219627E-1
1.734082208E0,6.028583050E-1,-7.668024302E-1,-1.010832787E0
1.754082208E0,6.855281591E-1,-3.200693429E-1,-1.029959083E0
1.774082208E0,7.211255431E-1,-2.270374745E-1,-9.531292915E-1
1.794082208E0,6.727558374E-1,-3.430276811E-1,-8.344298601E-1
1.814082208E0,6.114214659E-1,-5.451204777E-1,-6.766033769E-1
1.834082208E0,5.736328363E-1,-7.986721396E-1,-4.642612338E-1
1.854082208E0,4.599879682E-1,-7.660319209E-1,-2.507520318E-1
1.874082208E0,4.309964180E-1,-6.467071176E-1,-1.589871496E-1
1.894082208E0,4.712980986E-1,-7.099640965E-1,-1.515147239E-1
1.914082208E0,4.566589594E-1,-7.469753623E-1,-2.192604542E-1
1.934082208E0,4.216944277E-1,-4.968301654E-1,-3.070193231E-1
1.954082208E0,3.711311519E-1,-3.653492332E-1,-4.587340951E-1
1.974082208E0,2.816838622E-1,-5.317605734E-1,-5.849510431E-1
1.994082208E0,2.153508216E-1,-6.025101542E-1,-5.965812802E-1
2.014082208E0,2.738339901E-1,-2.818743885E-1,-5.116690993E-1
2.034082208E0,3.196207583E-1,-1.348859221E-1,-3.811726272E-1
2.054082208E0,2.652382851E-1,-2.166957408E-1,-2.590069175E-1
2.074082208E0,2.299641371E-1,-2.668659389E-1,-2.213792503E-1
2.094082208E0,3.269171119E-1,-2.893072963E-1,-2.449744344E-1
2.114082208E0,2.894575000E-1,-1.845122427E-1,-2.580149174E-1
2.134082208E0,1.436413676E-1,-1.321778446E-1,-2.681573331E-1
2.154082208E0,1.602501571E-1,-1.586093456E-1,-2.514030337E-1
2.174082208E0,2.744742334E-1,-1.767120212E-1,-2.439819574E-1
2.194082208E0,2.593968213E-1,-1.615835726E-1,-2.572368085E-1
2.214082208E0,1.768651456E-1,-1.625471264E-1,-3.480395675E-1
2.234082208E0,9.341601282E-2,-1.968393326E-1,-4.506071210E-1
2.254082208E0,5.211162195E-2,-1.501608193E-1,-4.510644078E-1
2.274082208E0,1.236498430E-1,6.847073883E-2,-3.844145536E-1
2.294082208E0,1.694802046E-1,1.710528880E-1,-3.783702254E-1
2.314082208E0,5.536689237E-2,3.918788210E-2,-4.320164919E-1
2.334082208E0,-4.119395465E-2,-9.275814891E-2,-4.655828178E-1
2.354082208E0,-5.669774860E-2,-1.601812243E-2,-5.058885813E-1
2.374082208E0,-1.019473895E-1,1.685262620E-1,-5.582142472E-1
2.394082208E0,-1.229051650E-1,2.471128404E-1,-3.891093731E-1
2.414082208E0,-1.315472275E-1,3.111405671E-1,-1.202475503E-1
2.434082208E0,-1.912022829E-1,2.795689404E-1,1.088031083E-1
2.454082208E0,-2.831355035E-1,1.991327703E-1,2.904329002E-1
2.474082208E0,-3.821343482E-1,1.365683675E-1,3.644397855E-1
2.494082208E0,-4.520198703E-1,1.561091244E-1,3.679021299E-1
2.514082208E0,-4.550387859E-1,1.223289818E-1,4.493490756E-1
2.534082208E0,-5.091552734E-1,3.199112415E-2,5.008050799E-1
2.554082208E0,-6.327992678E-1,1.240556836E-1,4.495486021E-1
2.574082208E0,-6.546809673E-1,1.479913443E-1,4.213562012E-1
2.594082208E0,-6.455012560E-1,1.272238642E-1,4.714269638E-1
2.614082208E0,-7.140550017E-1,2.577668130E-1,4.513697624E-1
2.634082208E0,-7.444232702E-1,4.822724462E-1,3.654475212E-1
2.654082208E0,-7.106460929E-1,5.629124045E-1,4.134179056E-1
2.674082208E0,-7.353659868E-1,3.645589054E-1,5.254640579E-1
2.694082208E0,-8.835863471E-1,3.604381680E-1,5.876953006E-1
2.714082208E0,-9.438893795E-1,3.017029464E-1,6.120951772E-1
2.734082208E0,-9.028712511E-1,2.638197243E-1,6.294254065E-1
2.754082208E0,-8.937142491E-1,3.806771338E-1,6.236740947E-1
2.774082208E0,-9.386147857E-1,4.265863001E-1,6.303085089E-1
2.794082208E0,-9.296916723E-1,3.651451468E-1,7.035176754E-1
2.814082208E0,-8.450185061E-1,3.232380450E-1,7.946746945E-1
2.834082208E0,-8.067688942E-1,4.046536386E-1,8.421993256E-1
2.854082208E0,-7.693057060E-1,4.581101239E-1,8.420297503E-1
2.874082208E0,-7.004296184E-1,4.692085981E-1,8.183612823E-1
2.894082208E0,-7.146077156E-1,5.770010352E-1,7.383810282E-1
2.914082208E0,-7.779329419E-1,6.234799027E-1,6.397176385E-1
2.934082208E0,-7.511070371E-1,5.387370586E-1,6.047496796E-1
2.954082208E0,-6.848555207E-1,6.039452553E-1,6.313864589E-1
2.974082208E0,-6.554712057E-1,7.576906681E-1,6.629521251E-1
2.994082208E0,-6.320569515E-1,7.115095258E-1,6.365600228E-1
3.014082208E0,-5.547002554E-1,6.468680501E-1,5.918743610E-1
3.034082208E0,-5.297067761E-1,8.390497565E-1,5.370199084E-1
3.054082208E0,-6.199494004E-1,9.926353693E-1,5.249418616E-1
3.074082208E0,-6.972751617E-1,7.381194830E-1,6.150368452E-1
3.094082208E0,-6.921381950E-1,3.740977645E-1,7.439010143E-1
3.114082208E0,-5.090501904E-1,2.994049788E-1,8.277394176E-1
3.134082208E0,-3.632597625E-1,3.794552386E-1,7.191789150E-1
3.154082208E0,-2.414753288E-1,2.192740291E-1,4.048274159E-1
3.174082208E0,-1.962916404E-1,9.554743022E-2,1.281015575E-1
3.194082208E0,-1.173612028E-1,1.096867621E-1,2.082592109E-3
3.214082208E0,-4.443331063E-2,-8.679814637E-3,-6.374783069E-2
3.234082208E0,2.327879705E-2,-1.930145323E-1,-1.320070773E-1
3.254082208E0,1.307396144E-1,-1.581920087E-1,-1.970231086E-1
3.274082208E0,2.475444376E-1,-9.745316580E-3,-2.179299146E-1
3.294082208E0,2.660093904E-1,1.072617620E-1,-2.416157573E-1
3.314082208E0,2.275609076E-1,1.628784090E-1,-2.095631808E-1
3.334082208E0,2.003076077E-1,8.394605666E-2,-1.125504524E-1
3.354082208E0,1.743055433E-1,-5.705726147E-2,-1.273086071E-1
3.374082208E0,1.408192813E-1,-5.059086904E-2,-2.723545134E-1
3.394082208E0,2.125240713E-1,-9.259618074E-2,-3.109488487E-1
3.414082208E0,3.353217244E-1,-2.196024954E-1,-2.326946706E-1
3.434082208E0,3.346522152E-1,-2.660814524E-1,-2.288114429E-1
3.454082208E0,2.713802755E-1,-2.949218750E-1,-3.377201557E-1
3.474082208E0,3.553920686E-1,-3.854014575E-1,-4.183515906E-1
3.494082208E0,4.338326454E-1,-1.919011921E-1,-4.503145516E-1
3.514082208E0,3.758112490E-1,1.561067626E-2,-5.463265181E-1
3.534082208E0,5.243019462E-1,-6.562358141E-2,-6.108183265E-1
3.554082208E0,8.288531899E-1,-2.105324417E-1,-5.322165489E-1
3.574082208E0,8.662512898E-1,-2.353502363E-1,-5.276862979E-1
3.594082208E0,5.477007031E-1,-3.681012690E-1,-7.331776023E-1
3.614082208E0,6.179363728E-1,-6.022476554E-1,-8.831820488E-1
3.634082208E0,7.451582551E-1,-4.568085074E-1,-7.716189027E-1
3.654082208E0,8.189651370E-1,-3.790923655E-1,-6.276475191E-1
3.674082208E0,8.520548940E-1,-4.420349598E-1,-6.426710486E-1
3.694082208E0,7.624852061E-1,-4.988196194E-1,-7.671258450E-1
3.714082208E0,7.072501183E-1,-5.400797129E-1,-8.268240690E-1
3.734082208E0,7.435390949E-1,-4.370465875E-1,-6.947861910E-1
3.754082208E0,7.049719095E-1,-2.660467029E-1,-5.406341553E-1
3.774082208E0,6.852654815E-1,-3.499979079E-1,-5.771167874E-1
3.794082208E0,6.621173024E-1,-3.754922152E-1,-7.106873989E-1
3.814082208E0,6.292645931E-1,-3.628324568E-1,-7.525483370E-1
3.834082208E0,6.547109485E-1,-5.585836768E-1,-5.744873285E-1
3.854082208E0,6.851753592E-1,-8.425971866E-1,-3.224546611E-1
3.874082208E0,6.626389027E-1,-9.850699902E-1,-2.265968770E-1
3.894082208E0,6.453406215E-1,-8.578885794E-1,-3.181329370E-1
3.914082208E0,6.432791352E-1,-6.471468210E-1,-4.719105363E-1
3.934082208E0,6.226215363E-1,-4.758395553E-1,-5.792854428E-1
3.954082208E0,5.921643376E-1,-3.159295619E-1,-6.242583394E-1
3.974082208E0,5.901651382E-1,-6.514039636E-2,-6.032879949E-1
3.994082208E0,6.197174191E-1,-4.419898614E-2,-5.266754627E-1
4.014082208E0,5.724934936E-1,-1.560007483E-1,-4.399023354E-1
4.034082208E0,5.109106302E-1,-1.769579202E-1,-3.556674123E-1
4.054082208E0,4.722814858E-1,-1.683441848E-1,-3.361095786E-1
4.074082208E0,4.300283492E-1,-2.627786994E-1,-3.372524679E-1
4.094082208E0,4.292074740E-1,-3.244711459E-1,-2.759786844E-1
4.114082208E0,4.114115536E-1,-3.484960794E-1,-2.964450717E-1
4.134082208E0,3.186712861E-1,-3.921850622E-1,-3.915812969E-1
4.154082208E0,3.064444661E-1,-4.576249421E-1,-3.101490438E-1
4.174082208E0,2.763316333E-1,-2.262727022E-1,-2.363424897E-1
4.194082208E0,2.921254635E-1,3.899884224E-2,-2.929630578E-1
4.214082208E0,3.458183110E-1,1.282011271E-1,-4.081069827E-1
4.234082208E0,3.695621192E-1,9.563928843E-2,-4.598734081E-1
4.254082208E0,3.516913950E-1,-5.008979142E-2,-3.708117008E-1
4.274082208E0,2.969941497E-1,-2.323271483E-1,-2.505259514E-1
4.294082208E0,2.372548282E-1,-2.704682350E-1,-1.423647851E-1
4.314082208E0,1.756808311E-1,-9.784851223E-2,-3.532117233E-2
4.334082208E0,1.180174649E-1,-6.910999864E-2,-1.225658432E-1
4.354082208E0,-1.075023878E-2,-8.025064319E-2,-4.086820185E-1
4.374082208E0,-3.538693786E-1,3.264317214E-1,-7.424892783E-1
4.394082208E0,-2.564344108E-1,6.115416065E-3,-6.463742852E-1
4.414082208E0,1.220706571E-2,8.758706599E-2,-5.454431176E-1
4.434082208E0,-1.530696452E-2,3.042787015E-1,-6.345435977E-1
4.454082208E0,-1.836873889E-1,3.128917515E-1,-7.033742070E-1
4.474082208E0,-2.132997960E-1,3.171484172E-1,-6.246299744E-1
4.494082208E0,-2.461551577E-1,3.211938143E-1,-4.549893141E-1
4.514082208E0,-4.533192217E-1,2.611300349E-1,-3.673731387E-1
4.534082208E0,-5.219949484E-1,1.259217858E-1,-1.975522339E-1
4.554082208E0,-4.174746275E-1,3.492350578E-1,9.112551063E-2
4.574082208E0,-4.404654503E-1,3.987519741E-1,4.344012141E-1
4.594082208E0,-5.811144114E-1,1.699811816E-1,5.495017767E-1
4.614082208E0,-6.463727951E-1,-7.766983658E-2,5.626385212E-1
4.634082208E0,-6.153767109E-1,-3.448121995E-2,5.825670958E-1
4.654082208E0,-6.060578823E-1,1.548143178E-1,6.418006420E-1
4.674082208E0,-6.617971659E-1,1.776034683E-1,6.863322854E-1
4.694082208E0,-7.656745911E-1,2.276281118E-1,6.950021386E-1
4.714082208E0,-8.275089860E-1,1.825512052E-1,7.408180833E-1
4.734082208E0,-8.242679834E-1,-4.463092983E-2,8.432227969E-1
4.754082208E0,-8.529400229E-1,-1.782764494E-2,9.542765021E-1
4.774082208E0,-8.071667552E-1,2.569439709E-1,9.472647905E-1
4.794082208E0,-8.460135460E-1,3.553553820E-1,8.622267246E-1
4.814082208E0,-9.061239362E-1,2.215922028E-1,8.371993899E-1
4.834082208E0,-9.093405604E-1,1.219383702E-1,9.350891113E-1
4.854082208E0,-9.517200589E-1,1.837819964E-1,1.043502927E0
4.874082208E0,-9.119607806E-1,2.632620633E-1,1.088982463E0
4.894082208E0,-8.015266061E-1,3.129631877E-1,1.044400454E0
4.914082208E0,-8.368538618E-1,4.629723728E-1,9.115114808E-1
4.934082208E0,-8.343385458E-1,4.998711944E-1,7.959851027E-1
4.954082208E0,-7.770114541E-1,4.941900074E-1,8.311619759E-1
4.974082208E0,-8.304707408E-1,5.303546786E-1,8.569713235E-1
4.994082208E0,-8.940203190E-1,5.838063955E-1,7.621805668E-1
5.014082208E0,-8.432141542E-1,6.769489646E-1,6.425587535E-1
5.034082208E0,-7.829588652E-1,7.707398534E-1,5.632852912E-1
5.054082208E0,-6.608668566E-1,7.539291382E-1,5.332373977E-1
5.074082208E0,-6.264566183E-1,7.822793126E-1,5.053708553E-1
