"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.851958316E-2,1.019380188E-1,7.184010773E0,6.908284149E0
3.845858318E-2,1.529818726E-1,7.160659332E0,6.747668152E0
5.839858321E-2,2.272274780E-1,7.062613220E0,6.806196442E0
7.833658322E-2,2.624043274E-1,7.061715088E0,6.814129944E0
9.827558324E-2,2.330653381E-1,7.152725830E0,6.780599670E0
1.182145833E-1,1.812730408E-1,7.123087463E0,6.822662201E0
1.381535833E-1,2.278262329E-1,7.031927032E0,6.766229553E0
1.580925833E-1,2.769241333E-1,7.048243103E0,6.823710022E0
1.780315833E-1,2.803669739E-1,7.120842133E0,6.805298309E0
1.979705831E-1,2.586621094E-1,7.134463806E0,6.853348389E0
2.179095831E-1,2.285746765E-1,7.133116608E0,6.830446014E0
2.378485831E-1,2.207908630E-1,7.118447113E0,6.760990448E0
2.577875832E-1,2.794688416E-1,7.112609253E0,6.791377258E0
2.777265832E-1,3.297642517E-1,7.109465790E0,6.841672668E0
2.976655832E-1,3.279679871E-1,7.165748749E0,6.807094574E0
3.176045832E-1,2.038760376E-1,7.173831940E0,6.777755585E0
3.375435832E-1,2.155517578E-2,7.086264038E0,6.742878113E0
3.574825833E-1,-8.352630615E-2,7.058122559E0,6.552773438E0
3.774215833E-1,-1.814227295E-1,7.201973419E0,6.436465302E0
3.973605833E-1,-2.884501648E-1,7.253616028E0,6.392606506E0
4.172998748E-1,-4.355941772E-1,7.315287781E0,6.427334290E0
4.372388748E-1,-4.537065125E-1,7.314539337E0,6.327791290E0
4.571778749E-1,-1.320254517E-1,7.287894745E0,6.536906433E0
4.771168749E-1,3.046165466E-1,7.139852600E0,6.837631073E0
4.970558749E-1,5.734574890E-1,7.009773102E0,6.925947418E0
5.169948749E-1,6.053411865E-1,7.093299408E0,7.021149445E0
5.369338749E-1,5.213658142E-1,7.281907196E0,6.756799164E0
5.568728750E-1,3.849993896E-1,7.383096771E0,6.736291809E0
5.768118750E-1,3.216810608E-1,7.264692993E0,6.960076447E0
5.967508748E-1,3.285667419E-1,7.040309601E0,6.802603912E0
6.166898748E-1,3.564088440E-1,6.943161621E0,6.714886322E0
6.366288748E-1,4.541555786E-1,7.067852325E0,6.882088623E0
6.565678748E-1,6.747967529E-1,7.261100464E0,6.957531738E0
6.765068749E-1,9.148974609E-1,7.321724396E0,6.926695862E0
6.964458749E-1,1.097667389E0,7.227570190E0,7.066954193E0
7.163848749E-1,1.251846771E0,7.041806488E0,7.201224976E0
7.363238749E-1,1.391955414E0,6.867419128E0,7.112758942E0
7.562628749E-1,1.456471252E0,6.773264923E0,7.111411743E0
7.762018749E-1,1.449735260E0,6.776109009E0,7.225474548E0
7.961408750E-1,1.420096893E0,6.806346130E0,7.264094238E0
8.160798750E-1,1.402433624E0,6.806346130E0,7.093898163E0
8.360188748E-1,1.338366852E0,6.707252197E0,7.088659058E0
8.559578748E-1,1.259031830E0,6.546336823E0,7.119045868E0
