"Time (s)","X (hPa)"
-5.271622085E-1,1.000275497E3
5.003267915E-1,1.000276947E3
1.527814792E0,1.000278244E3
2.555306792E0,1.000278244E3
3.582803792E0,1.000277100E3
3.782251792E0,1.000277100E3
4.842830792E0,1.000277100E3
5.903402792E0,1.000271988E3
6.963977792E0,1.000266495E3
8.024570792E0,1.000263672E3
9.085176792E0,1.000262756E3
1.014580479E1,1.000262756E3
1.120641279E1,1.000264816E3
1.226701779E1,1.000269547E3
1.332762579E1,1.000274811E3
1.438820579E1,1.000278625E3
1.544877479E1,1.000287018E3
1.650933079E1,1.000290604E3
1.756992479E1,1.000291672E3
1.863044379E1,1.000290604E3
1.969098379E1,1.000283661E3
2.075152779E1,1.000272980E3
2.181209179E1,1.000263443E3
2.287264179E1,1.000249252E3
2.393322179E1,1.000240707E3
2.499379779E1,1.000234299E3
2.605438579E1,1.000225754E3
2.711499979E1,1.000225143E3
2.817558079E1,1.000224075E3
2.923621579E1,1.000224075E3
3.029684579E1,1.000230942E3
3.135748879E1,1.000234985E3
3.241810279E1,1.000241699E3
3.347873379E1,1.000249100E3
3.453936679E1,1.000250397E3
3.559994179E1,1.000256805E3
3.666057379E1,1.000256805E3
3.772124979E1,1.000255890E3
3.878185779E1,1.000252533E3
3.984250179E1,1.000251999E3
4.090310879E1,1.000246735E3
4.196372079E1,1.000245895E3
4.302434079E1,1.000245895E3
4.408495579E1,1.000245895E3
4.514557179E1,1.000246353E3
