"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.621833494E-3,5.871556699E-2,-3.056099638E-2,-1.714959890E-1
1.559083350E-2,8.720052987E-2,-5.652661994E-2,-1.774140149E-1
2.556083351E-2,9.570027888E-2,-4.348405451E-2,-1.794753075E-1
5.553083353E-2,7.544536889E-2,-1.598044857E-2,-1.521306932E-1
7.553083353E-2,-9.280262515E-3,-8.861338347E-2,-3.110664710E-2
9.553083353E-2,-2.885178477E-2,-1.874659359E-1,-5.864856392E-2
1.155308335E-1,-4.885061830E-2,-2.180595547E-1,-9.507752210E-2
1.355308335E-1,-3.817942366E-2,-1.794750690E-1,-1.129035205E-1
1.555308335E-1,-2.652529441E-2,-8.852842450E-2,-1.198482364E-1
1.755308335E-1,-9.768353775E-3,-3.309164569E-2,-1.274048239E-1
1.955308335E-1,1.680510864E-2,-2.366326936E-2,-1.482367069E-1
2.155308335E-1,6.370718032E-2,-3.443698213E-2,-1.771917194E-1
2.355308335E-1,5.971037969E-2,-7.528710365E-2,-1.997972131E-1
2.555308335E-1,6.388135999E-2,-2.224183828E-1,-2.277464271E-1
2.755308335E-1,9.520760179E-2,-3.551668823E-1,-2.540549338E-1
2.955308335E-1,8.351608366E-2,-3.558965325E-1,-2.544580698E-1
3.155308335E-1,7.564716786E-2,-2.607104480E-1,-2.308085859E-1
3.355308335E-1,9.057426453E-2,-1.600634158E-1,-2.027556300E-1
3.555308335E-1,6.830155104E-2,-1.523488313E-1,-1.772064567E-1
3.755308335E-1,6.437572092E-2,-1.942324936E-1,-1.703102589E-1
3.955308335E-1,6.475968659E-2,-1.585628092E-1,-1.804322749E-1
4.155308335E-1,4.776184261E-2,-1.033743992E-1,-1.796163172E-1
4.355308335E-1,3.841222450E-2,-1.345442384E-1,-1.657615304E-1
4.555308335E-1,3.645396978E-2,-2.832584381E-1,-1.499016881E-1
4.755308335E-1,4.276084155E-2,-4.590404928E-1,-1.487746090E-1
4.955308335E-1,1.795125753E-2,-5.182866454E-1,-1.545419842E-1
5.155308335E-1,1.243390422E-2,-4.770702422E-1,-1.270501912E-1
5.355308335E-1,-2.247997001E-2,-3.940373659E-1,-6.287646294E-2
5.555308335E-1,-7.700269669E-2,-3.649450243E-1,-1.863214560E-2
5.755308335E-1,-1.214633659E-1,-3.094405234E-1,-2.638718672E-2
5.955308335E-1,-1.371690482E-1,-2.790274322E-1,-1.558572333E-2
6.155308335E-1,-1.006866619E-1,-2.012552172E-1,2.670848370E-2
6.355308335E-1,-7.651991397E-2,-1.182387397E-1,9.649899602E-2
6.555308335E-1,-6.509766728E-2,-6.212826446E-2,1.297477186E-1
6.755308335E-1,-2.909038588E-2,-1.324663637E-3,9.977612644E-2
