"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.621833494E-3,2.015344105E-1,8.297959149E-2,-2.224590737E-1
1.559083350E-2,2.873481474E-1,8.093248129E-2,4.483528018E-2
2.556083351E-2,2.894769724E-1,1.256116408E-1,7.403744459E-2
5.553083353E-2,1.298957495E-1,1.855029166E-1,-1.249240083E-1
7.553083353E-2,-5.102196325E-2,2.505233699E-1,-4.623463583E-1
9.553083353E-2,2.582431198E-1,3.686505747E-1,-3.731049836E-1
1.155308335E-1,4.741220659E-1,3.135522616E-1,-3.212869585E-1
1.355308335E-1,5.558124194E-1,2.046601492E-1,-1.248672903E-1
1.555308335E-1,5.308785763E-1,1.887042671E-1,-1.533812374E-1
1.755308335E-1,5.125694457E-1,3.076231849E-1,-1.942445040E-1
1.955308335E-1,4.624475151E-1,3.721261597E-1,-2.416730243E-1
2.155308335E-1,3.762402606E-1,3.884030539E-1,-2.802324879E-1
2.355308335E-1,2.879757363E-1,3.695393515E-1,-5.994413459E-1
2.555308335E-1,3.091023843E-1,3.285275656E-1,-4.969431639E-1
2.755308335E-1,4.173022594E-1,4.496567309E-2,-2.758295345E-1
2.955308335E-1,5.372770747E-1,-1.218986589E-1,-3.499172652E-1
3.155308335E-1,5.357699183E-1,4.330214024E-2,-1.417879629E-1
3.355308335E-1,3.194853217E-1,2.676533729E-1,-8.015772521E-2
3.555308335E-1,1.660754329E-1,3.272879559E-1,-3.312155306E-1
3.755308335E-1,1.235767001E-1,2.385511959E-1,-3.332141089E-1
3.955308335E-1,8.589658465E-2,7.222129941E-2,-2.121592033E-1
4.155308335E-1,-7.469266165E-2,2.402854800E-2,-3.265307415E-1
4.355308335E-1,-2.969163849E-1,1.132705075E-1,-3.689487827E-1
4.555308335E-1,-4.084171229E-1,3.105035233E-1,-3.032442051E-1
4.755308335E-1,-2.837937346E-1,2.518857712E-1,-2.011383712E-1
4.955308335E-1,-2.038593730E-1,-3.369282603E-2,3.579899311E-2
5.155308335E-1,-3.341684476E-1,-1.893474609E-1,4.009792453E-1
5.355308335E-1,-3.294659706E-1,-9.130836546E-2,2.207171881E-1
5.555308335E-1,-1.260938716E-1,-6.699564278E-2,1.401261842E-1
5.755308335E-1,-4.141060252E-2,-1.566106546E-1,2.852786350E-1
5.955308335E-1,-1.151750552E-1,-3.876399922E-1,5.082282901E-1
6.155308335E-1,-3.154425202E-1,-3.675004274E-1,8.397186399E-1
6.355308335E-1,-2.852973096E-1,-1.024683613E-1,6.258871329E-1
6.555308335E-1,-2.146494593E-3,8.734219909E-2,4.812697023E-1
6.755308335E-1,2.109023077E-1,-2.026738501E-1,7.286496091E-1
6.955308335E-1,1.392724725E-1,-5.988911229E-1,1.024773075E0
7.155308335E-1,-1.516660937E-1,-4.697851861E-1,7.996412390E-1
7.355308335E-1,-3.009656548E-1,-1.728822863E-1,3.696422625E-1
7.555308335E-1,-3.611988465E-1,-1.781009263E-1,1.001487708E-1
7.755308335E-1,-1.205914224E-1,-3.699164969E-1,-5.003637850E-2
7.955308335E-1,2.145714721E-1,-4.948750037E-1,2.800319284E-1
8.155308335E-1,2.900770795E-1,-5.387396461E-1,3.643364990E-1
8.355308335E-1,8.622391909E-2,-3.708959055E-1,2.910866743E-1
8.555308335E-1,-1.231700446E-1,-2.217527300E-1,2.252856177E-1
8.755308335E-1,-1.693045761E-1,-1.994286454E-1,-1.340538508E-1
8.955308335E-1,-2.094583196E-1,-2.469214851E-1,-7.593311191E-2
9.155308335E-1,-4.272162867E-1,-3.497582209E-1,1.697171885E-1
9.355308335E-1,-6.899028884E-1,-5.440611970E-1,1.480023837E-1
9.555308335E-1,-7.791338843E-1,-6.100610590E-1,6.089992046E-2
9.755308335E-1,-6.434489527E-1,-4.523569751E-1,2.839454699E-1
9.955308335E-1,-4.230572718E-1,-3.430947340E-1,6.672678781E-1
1.015530834E0,1.259214336E-2,-3.236889946E-1,6.261847562E-1
1.035530834E0,3.973499882E-1,-3.323539835E-1,5.358446896E-1
1.055530834E0,7.151163746E-1,-3.139574736E-1,3.662795287E-1
1.075530834E0,9.326871760E-1,-2.782116902E-1,-1.514060479E-1
1.095530834E0,1.075451770E0,-2.123007059E-1,-6.374476629E-1
1.115530834E0,1.072671054E0,1.891773069E-1,-1.265843836E0
1.135530834E0,7.984886798E-1,1.057404047E0,-1.189993170E0
1.155530834E0,5.640307176E-1,1.797664472E0,-7.348324549E-1
1.175530834E0,7.659022200E-1,2.124717370E0,-5.838947690E-1
1.195530834E0,1.181300991E0,1.177426334E0,-9.907001799E-1
1.215530834E0,1.432480419E0,5.132574803E-1,-7.961972290E-1
1.235530834E0,1.325684095E0,5.730265492E-1,-3.515831369E-1
1.255530834E0,8.346164326E-1,5.460568517E-1,-1.801369268E-1
1.275530834E0,5.003450739E-1,1.761988270E-1,-2.722826135E-1
1.295530834E0,4.759334602E-1,1.306384921E-1,-4.393241161E-1
1.315530834E0,6.890773346E-1,4.416062844E-1,-7.604952997E-1
1.335530834E0,9.022019132E-1,5.769588017E-1,-1.045137173E0
1.355530834E0,7.933888113E-1,5.288245225E-1,-7.001216286E-1
1.375530834E0,7.489621054E-1,3.149608558E-1,-1.029346767E0
1.395530834E0,9.520896994E-1,5.513573527E-2,-1.378442498E0
1.415530834E0,1.116088749E0,-2.807698470E-1,-1.401222666E0
1.435530834E0,1.088433685E0,-4.122368896E-1,-9.201745731E-1
1.455530834E0,9.359344272E-1,-3.604843533E-1,-7.718874300E-1
1.475530834E0,7.629939611E-1,-5.887298316E-1,-8.290802157E-1
1.495530834E0,5.304336762E-1,-8.612153435E-1,-8.347099149E-1
1.515530834E0,2.549218831E-1,-7.295600206E-1,-8.192820364E-1
1.535530834E0,2.448553166E-1,-6.798171723E-1,-1.145384762E0
1.555530834E0,3.364879650E-1,-9.276350355E-1,-1.335831499E0
1.575530834E0,3.580624000E-1,-1.125818224E0,-1.057669510E0
1.595530834E0,1.377908794E-1,-1.134687281E0,-6.513049793E-1
1.615530834E0,-4.874471943E-2,-1.026740078E0,-8.768578148E-1
1.635530834E0,-1.385387474E-1,-1.017749400E0,-7.953435355E-1
1.655530834E0,-1.724324892E-1,-1.257681123E0,-3.486823332E-1
1.675530834E0,-1.962946474E-1,-1.615947043E0,-5.583389282E-1
1.695530834E0,-1.406560333E-1,-1.750037731E0,-9.356082988E-1
1.715530834E0,-1.260747677E-1,-1.566642151E0,-5.458130229E-1
1.735530834E0,-2.604959058E-1,-1.206696326E0,-1.016310400E-1
1.755530834E0,-3.031514719E-1,-1.104748952E0,-8.910343891E-1
1.775530834E0,-2.287552276E-1,-1.154356145E0,-1.410378236E0
