"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
5.621833494E-3,4.286315949E-1,2.025398573E-1,-3.380426602E-1,-8.130066386E-1,1.292385020E2,4.637392087E1,2.266121358E0,-1.234312548E2
1.559083350E-2,4.277739697E-1,2.028021688E-1,-3.382652061E-1,-8.133003389E-1,1.293472532E2,4.641255430E1,2.319740262E0,-1.235190389E2
2.556083351E-2,4.268657684E-1,2.030933245E-1,-3.385762867E-1,-8.135754103E-1,1.294623645E2,4.646249655E1,2.373309233E0,-1.236110660E2
3.553083353E-2,4.260414392E-1,2.034472052E-1,-3.388237993E-1,-8.138160056E-1,1.295667981E2,4.650943335E1,2.431860242E0,-1.236897488E2
4.550083331E-2,4.254820241E-1,2.037577327E-1,-3.389478059E-1,-8.139793247E-1,1.296376444E2,4.654073125E1,2.480350699E0,-1.237393839E2
5.547083332E-2,4.251708539E-1,2.038763971E-1,-3.389954951E-1,-8.140922361E-1,1.296770432E2,4.655251098E1,2.503841817E0,-1.237698975E2
6.544083334E-2,4.249248639E-1,2.036980896E-1,-3.390764855E-1,-8.142316789E-1,1.297081847E2,4.655003035E1,2.496067420E0,-1.238085754E2
7.540983334E-2,4.246062548E-1,2.032424822E-1,-3.392440614E-1,-8.144418020E-1,1.297485137E2,4.654006384E1,2.462645875E0,-1.238705709E2
8.537983336E-2,4.241526915E-1,2.025942637E-1,-3.394583781E-1,-8.147502959E-1,1.298059134E2,4.652334116E1,2.416484195E0,-1.239588145E2
9.534983337E-2,4.235702009E-1,2.018279707E-1,-3.396704821E-1,-8.151550110E-1,1.298796094E2,4.649909677E1,2.366620453E0,-1.240686125E2
1.053198334E-1,4.228935754E-1,2.010019083E-1,-3.398560389E-1,-8.156329563E-1,1.299651875E2,4.646830895E1,2.317770275E0,-1.241927180E2
1.152898334E-1,4.221606207E-1,2.001954652E-1,-3.400170451E-1,-8.161437129E-1,1.300578563E2,4.643607177E1,2.274834804E0,-1.243223803E2
1.252598334E-1,4.214187308E-1,1.994951532E-1,-3.401508614E-1,-8.166427526E-1,1.301516193E2,4.640735988E1,2.243167257E0,-1.244473982E2
1.352288334E-1,4.207217062E-1,1.989960660E-1,-3.402210622E-1,-8.170944825E-1,1.302396796E2,4.638389517E1,2.230538244E0,-1.245564097E2
1.451988334E-1,4.200827178E-1,1.986980035E-1,-3.402082917E-1,-8.175009889E-1,1.303203802E2,4.636348276E1,2.237417675E0,-1.246479617E2
1.551688334E-1,4.194902174E-1,1.985550572E-1,-3.401517570E-1,-8.178633675E-1,1.303951861E2,4.634761214E1,2.258103923E0,-1.247258148E2
1.651388335E-1,4.189155662E-1,1.985494622E-1,-3.400708245E-1,-8.181929769E-1,1.304677169E2,4.633727507E1,2.291389245E0,-1.247943121E2
1.751088335E-1,4.183418001E-1,1.986538231E-1,-3.399692032E-1,-8.185033252E-1,1.305401148E2,4.633118798E1,2.335505456E0,-1.248568672E2
1.850788335E-1,4.177194808E-1,1.988244809E-1,-3.399006250E-1,-8.188081945E-1,1.306186154E2,4.633256375E1,2.386027676E0,-1.249215893E2
1.950478335E-1,4.170110133E-1,1.990322280E-1,-3.399293217E-1,-8.191069103E-1,1.307079529E2,4.634664761E1,2.438603127E0,-1.249943344E2
