"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.736220833E-2,-2.270740923E-3,2.356303448E-4,-4.202796146E-2
3.731120834E-2,5.670805462E-3,2.700892277E-2,-5.775046349E-2
4.726120834E-2,1.101494394E-2,5.403664708E-2,-7.272276282E-2
7.721020834E-2,1.798283868E-2,7.933481038E-2,-8.143050224E-2
9.721020834E-2,1.343544014E-2,4.350576922E-2,-4.391525313E-2
1.172102083E-1,1.589920372E-2,-3.004729562E-2,-2.309616283E-2
1.372102083E-1,1.643745415E-2,-7.513239980E-2,-2.743708342E-2
1.572102083E-1,-5.465113791E-4,-4.531314597E-2,-4.245766625E-2
1.772102083E-1,8.314231411E-3,-2.504167147E-3,-3.754837066E-2
1.972102083E-1,2.782818303E-2,1.857876079E-3,-2.110259794E-2
2.172102083E-1,3.230318427E-2,-2.173698321E-2,-1.923088171E-2
2.372102083E-1,4.328947887E-2,-3.510849550E-2,-2.929068916E-2
2.572102083E-1,5.474048853E-2,-3.402700648E-2,-5.136444420E-2
2.772102083E-1,5.234640464E-2,-2.544052340E-2,-3.375195339E-2
2.972102083E-1,3.862524033E-2,-6.483260542E-2,-1.014892594E-3
3.172102083E-1,1.776184700E-2,-7.870597392E-2,-3.750582226E-3
3.372102083E-1,-1.746129431E-2,-2.194021456E-2,-3.657858819E-3
3.572102083E-1,-3.251822293E-2,2.050062083E-2,-7.202729583E-3
3.772102083E-1,-2.801026963E-2,2.218157053E-2,1.131908502E-4
3.972102083E-1,-5.792953074E-2,1.363637019E-2,8.637469262E-3
4.172102083E-1,-6.946837157E-2,-1.171300747E-2,-2.016547695E-2
4.372102083E-1,-6.915502250E-2,-3.792642429E-2,-8.202239126E-2
4.572102083E-1,-8.721751720E-2,-4.162821174E-2,-1.108490080E-1
4.772102083E-1,-1.201263964E-1,-1.064568758E-1,-8.766164631E-2
4.972102083E-1,-1.347681135E-1,-2.182501256E-1,-9.256451577E-2
5.172102083E-1,-1.228072941E-1,-2.864179313E-1,-9.184180945E-2
5.372102083E-1,-1.480321139E-1,-3.234840631E-1,-8.153636009E-2
5.572102083E-1,-1.728352010E-1,-3.389348686E-1,-9.017875046E-2
5.772102083E-1,-1.952583641E-1,-3.933521807E-1,-1.116934642E-1
5.972102083E-1,-1.895621270E-1,-4.284394383E-1,-1.489932388E-1
6.172102083E-1,-1.483066231E-1,-4.370511770E-1,-1.681601405E-1
6.372102083E-1,-1.273661256E-1,-5.030622482E-1,-1.935889423E-1
6.572102083E-1,-1.140702441E-1,-6.826774478E-1,-1.766965687E-1
