"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
7.463208334E-3,9.629670644E-1,1.176255849E-1,-4.745812060E-2,2.379208986E-1,3.128319892E1,1.190023165E1,-8.474682921E0,2.687147402E1
1.741220833E-2,9.629988853E-1,1.175873419E-1,-4.762994804E-2,2.377765456E-1,3.126967179E1,1.189280091E1,-8.491008260E0,2.685324844E1
2.736220833E-2,9.630388405E-1,1.175786306E-1,-4.767171293E-2,2.376107399E-1,3.125267864E1,1.189219881E1,-8.493390119E0,2.683334328E1
3.731120834E-2,9.630990262E-1,1.175868440E-1,-4.757905835E-2,2.373811239E-1,3.122706436E1,1.189746784E1,-8.480481590E0,2.680687968E1
4.726120834E-2,9.631808332E-1,1.175919912E-1,-4.734218779E-2,2.370940617E-1,3.119221541E1,1.190652692E1,-8.450731333E0,2.677486240E1
5.721020834E-2,9.632796254E-1,1.176027202E-1,-4.696047169E-2,2.367627875E-1,3.115008028E1,1.192023622E1,-8.404459543E0,2.673880377E1
6.716020834E-2,9.633847818E-1,1.176023066E-1,-4.648632228E-2,2.364284365E-1,3.110516965E1,1.193501306E1,-8.347557366E0,2.670327845E1
7.710920834E-2,9.634703399E-1,1.176046352E-1,-4.603046196E-2,2.361675476E-1,3.106858243E1,1.194898216E1,-8.293663531E0,2.667629181E1
8.705920834E-2,9.635326751E-1,1.176256323E-1,-4.570190884E-2,2.359668021E-1,3.104189954E1,1.196132964E1,-8.255177666E0,2.665520687E1
9.700820834E-2,9.635746534E-1,1.176629954E-1,-4.554672414E-2,2.358069813E-1,3.102391792E1,1.197081053E1,-8.236929131E0,2.663735668E1
1.069582083E-1,9.635942938E-1,1.177504159E-1,-4.557657728E-2,2.356768318E-1,3.101550135E1,1.198104794E1,-8.240975881E0,2.662103601E1
1.169072083E-1,9.636006158E-1,1.178919029E-1,-4.576386734E-2,2.355441535E-1,3.101279167E1,1.199347596E1,-8.263956189E0,2.660264597E1
1.268572083E-1,9.636027232E-1,1.180587254E-1,-4.606102897E-2,2.353940264E-1,3.101188840E1,1.200617177E1,-8.299623771E0,2.658104388E1
1.368062083E-1,9.636163366E-1,1.182083388E-1,-4.637275496E-2,2.352017104E-1,3.100605262E1,1.201692927E1,-8.335929676E0,2.655445438E1
1.467552083E-1,9.636468931E-1,1.183022788E-1,-4.661428274E-2,2.349816617E-1,3.099294983E1,1.202339748E1,-8.362594367E0,2.652562371E1
1.567052083E-1,9.636900093E-1,1.183456032E-1,-4.674467719E-2,2.347572297E-1,3.097445215E1,1.202696362E1,-8.375484475E0,2.649762712E1
1.666542083E-1,9.637329991E-1,1.183888432E-1,-4.676297156E-2,2.345550091E-1,3.095599797E1,1.203313383E1,-8.376162141E0,2.647322131E1
1.766042083E-1,9.637646513E-1,1.184537283E-1,-4.671616748E-2,2.344013839E-1,3.094240377E1,1.204296423E1,-8.370763904E0,2.645495481E1
1.865532083E-1,9.637824373E-1,1.185605468E-1,-4.665728043E-2,2.342860701E-1,3.093476240E1,1.205751645E1,-8.365603142E0,2.644099676E1
1.965032083E-1,9.637837860E-1,1.187239291E-1,-4.662901043E-2,2.342036309E-1,3.093418288E1,1.207743025E1,-8.365754574E0,2.643021918E1
2.064522083E-1,9.637818473E-1,1.189018836E-1,-4.666054681E-2,2.341146167E-1,3.093501593E1,1.209755972E1,-8.372865935E0,2.641802689E1
2.164022083E-1,9.637800349E-1,1.191067173E-1,-4.673047897E-2,2.340042341E-1,3.093579463E1,1.211996591E1,-8.384694497E0,2.640276539E1
2.263512083E-1,9.637791920E-1,1.193470571E-1,-4.682198241E-2,2.338666668E-1,3.093615681E1,1.214609413E1,-8.399517728E0,2.638381644E1
2.363012083E-1,9.637837439E-1,1.196262141E-1,-4.692316909E-2,2.336849296E-1,3.093420099E1,1.217676710E1,-8.415883129E0,2.635925226E1
2.462502083E-1,9.637982424E-1,1.199373342E-1,-4.700868242E-2,2.334486544E-1,3.092797053E1,1.221193078E1,-8.430648679E0,2.632812301E1
2.562002083E-1,9.638183043E-1,1.202483595E-1,-4.705789676E-2,2.331953518E-1,3.091934729E1,1.224813776E1,-8.441135656E0,2.629529276E1
2.661492083E-1,9.638285038E-1,1.205503970E-1,-4.708383552E-2,2.329922883E-1,3.091496230E1,1.228347915E1,-8.449411219E0,2.626867826E1
2.760992083E-1,9.638183464E-1,1.208297542E-1,-4.717337913E-2,2.328716219E-1,3.091932917E1,1.231397271E1,-8.465205642E0,2.625140990E1
2.860482083E-1,9.637869470E-1,1.210971391E-1,-4.738246438E-2,2.328198234E-1,3.093282460E1,1.233956756E1,-8.494868368E0,2.624129772E1
2.959982083E-1,9.637470340E-1,1.213439695E-1,-4.769546004E-2,2.327929758E-1,3.094997090E1,1.236006306E1,-8.535882092E0,2.623336403E1
