"Time (s)","X (hPa)"
-5.316271667E-1,9.994227600E2
4.999618333E-1,9.994115448E2
1.531573833E0,9.994003296E2
2.563180833E0,9.993552399E2
3.594829833E0,9.993330383E2
3.788717833E0,9.993330383E2
4.853616833E0,9.993278503E2
5.918506833E0,9.993348694E2
6.983368833E0,9.993442535E2
8.048247833E0,9.993564606E2
9.113095833E0,9.993634796E2
1.017800483E1,9.993772125E2
1.124293183E1,9.993825531E2
1.230782483E1,9.993859863E2
1.337270883E1,9.993931580E2
1.443760783E1,9.993969727E2
1.550251083E1,9.993981171E2
1.656738983E1,9.994093323E2
1.763232783E1,9.994093323E2
1.869724983E1,9.994025421E2
1.976221983E1,9.994023895E2
2.082719283E1,9.993913269E2
2.189211583E1,9.993812561E2
2.295703283E1,9.993775940E2
2.402194783E1,9.993687439E2
2.508684983E1,9.993673706E2
2.615177783E1,9.993608856E2
2.721670483E1,9.993496704E2
2.828160983E1,9.993473816E2
2.934650683E1,9.993415833E2
3.041137083E1,9.993361664E2
3.147628583E1,9.993342590E2
3.254117183E1,9.993321228E2
3.360613083E1,9.993315887E2
3.467110683E1,9.993299103E2
3.573605483E1,9.993244934E2
3.680099183E1,9.993205261E2
3.786593283E1,9.993190765E2
3.893083983E1,9.993163300E2
3.999582483E1,9.993121338E2
4.106083883E1,9.993121338E2
4.428388683E1,9.992448425E2
4.531572483E1,9.992423248E2
4.634755683E1,9.992398071E2
4.737938483E1,9.992364502E2
4.841122183E1,9.992358398E2
4.860476483E1,9.992358398E2
4.966986983E1,9.992450714E2
5.073500983E1,9.992462158E2
5.180015383E1,9.992590332E2
5.286534183E1,9.992601776E2
5.393049883E1,9.992645264E2
5.499564183E1,9.992661285E2
5.606077983E1,9.992686462E2
5.712589083E1,9.992738342E2
5.819104983E1,9.992826080E2
5.925615183E1,9.992938995E2
6.032127683E1,9.993038177E2
6.138637983E1,9.993105316E2
6.245149383E1,9.993157196E2
6.351661583E1,9.993199158E2
6.458178983E1,9.993256378E2
6.564694283E1,9.993376160E2
6.671209883E1,9.993518066E2
6.777729483E1,9.993600464E2
6.884251583E1,9.993723297E2
6.990769383E1,9.993723297E2
7.097282183E1,9.993576813E2
7.203800083E1,9.993434143E2
7.312233883E1,9.993243408E2
7.445824383E1,9.993146515E2
7.579417383E1,9.993099976E2
7.713008183E1,9.993044281E2
7.846596883E1,9.993035126E2
7.980184883E1,9.992994690E2
8.113766383E1,9.992959595E2
8.247356383E1,9.992959595E2
8.380940883E1,9.993091583E2
8.514533083E1,9.993160248E2
8.648125583E1,9.993161011E2
8.781721183E1,9.993161011E2
8.915318883E1,9.993146515E2
9.048915883E1,9.992972565E2
9.182505283E1,9.992861938E2
9.503260354E1,9.993460846E2
9.603457954E1,9.993461609E2
9.703655154E1,9.993460846E2
9.803856554E1,9.993430328E2
9.904053854E1,9.993415070E2
1.000424985E2,9.993315125E2
1.007990575E2,9.993167114E2
1.018427735E2,9.993125916E2
1.028864775E2,9.993080902E2
1.039301285E2,9.993060303E2
1.049738105E2,9.992966461E2
1.060175095E2,9.992900848E2
1.070612455E2,9.992841339E2
1.081049585E2,9.992740631E2
1.091486915E2,9.992623901E2
1.101924515E2,9.992623901E2
1.112362035E2,9.992629242E2
1.122799875E2,9.992668152E2
1.133237365E2,9.992839813E2
1.143675205E2,9.992946625E2
1.152186825E2,9.993047333E2
1.160508725E2,9.993122101E2
1.168830575E2,9.993122101E2
1.177152315E2,9.993085480E2
1.185474115E2,9.993015289E2
1.193795905E2,9.993015289E2
1.202118075E2,9.992906952E2
1.210440395E2,9.992906952E2
1.218762515E2,9.992972565E2
1.227084425E2,9.992972565E2
1.235406355E2,9.992972565E2
1.243728795E2,9.993019867E2
1.252050915E2,9.993109131E2
1.260372875E2,9.993109131E2
1.268694725E2,9.993034363E2
1.277017065E2,9.993034363E2
1.285339185E2,9.993099213E2
1.293661525E2,9.993099213E2
1.301983625E2,9.993099213E2
1.310305605E2,9.993122101E2
1.318627535E2,9.993125916E2
1.326949615E2,9.993125916E2
1.335271495E2,9.992949677E2
1.343593325E2,9.992825317E2
1.351915235E2,9.992823029E2
1.360237235E2,9.992720795E2
1.368559495E2,9.992548370E2
1.376881015E2,9.992548370E2
1.385203155E2,9.992530823E2
1.393524765E2,9.992501831E2
1.401846615E2,9.992501831E2
1.410168525E2,9.992502594E2
1.418490385E2,9.992618561E2
1.426812405E2,9.992663574E2
1.435133935E2,9.992670441E2
1.443455865E2,9.992871094E2
1.451778195E2,9.992871094E2
1.460100315E2,9.992819214E2
1.468421825E2,9.992819214E2
1.476743735E2,9.992836761E2
1.485066065E2,9.992836761E2
1.493387965E2,9.992783356E2
