"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
-1.176375001E-3,-2.303580008E-2,-4.096830636E-2,-1.840848289E-2
8.773624999E-3,-1.440030802E-2,-8.636990562E-3,2.046802780E-3
1.872262500E-2,-1.208628807E-2,1.970250718E-2,1.562040299E-2
4.867262500E-2,-1.168208476E-2,4.017528892E-2,1.124751754E-2
6.867262500E-2,-2.393145673E-2,1.595530100E-2,-5.521766841E-2
8.867262500E-2,-2.943554707E-2,-1.553551294E-2,-9.661016613E-2
1.086726250E-1,-5.115858465E-2,2.552071027E-2,-9.715877473E-2
1.286726250E-1,-4.288051650E-2,6.242773309E-2,-5.548750237E-2
1.486726250E-1,-2.033675611E-1,-7.141895127E-3,6.169373170E-2
1.686726250E-1,-4.713864326E-1,-2.054291517E-1,1.022368670E-1
1.886726250E-1,-6.662442684E-1,-4.585503638E-1,-1.695891842E-3
2.086726250E-1,-7.180917859E-1,-7.366408706E-1,-8.834922314E-2
2.286726250E-1,-7.930886745E-1,-9.937950373E-1,5.480531603E-2
2.486726250E-1,-8.660729527E-1,-1.091351986E0,2.363808006E-1
2.686726250E-1,-8.669270277E-1,-9.811991453E-1,2.319435328E-1
2.886726250E-1,-9.230855107E-1,-5.702686310E-1,1.107243821E-1
3.086726250E-1,-9.860306382E-1,-2.380596101E-2,6.348488387E-3
3.286726250E-1,-1.131135106E0,2.758850157E-1,1.671733335E-2
3.486726250E-1,-1.201861143E0,3.493295312E-1,8.095827699E-2
3.686726250E-1,-1.244208694E0,3.174659908E-1,1.652177423E-1
3.886726250E-1,-1.285668969E0,1.849689633E-1,2.315042764E-1
4.086726250E-1,-1.290751576E0,-2.949408023E-3,2.094792873E-1
4.286726250E-1,-1.406511664E0,-5.395001546E-2,1.026180834E-1
4.486726250E-1,-1.503689647E0,-8.405971527E-2,1.116988808E-1
4.686726250E-1,-1.530380964E0,-1.976328641E-1,2.642133236E-1
4.886726250E-1,-1.530176401E0,-2.999426126E-1,3.590727746E-1
5.086726250E-1,-1.467353940E0,-3.073022366E-1,2.786592543E-1
5.286726250E-1,-1.493620276E0,-2.048270255E-1,1.942082644E-1
5.486726250E-1,-1.497507930E0,-1.452252120E-1,2.353392988E-1
5.686726250E-1,-1.475922227E0,-1.341400445E-1,3.272843361E-1
5.886726250E-1,-1.409575582E0,-1.720220596E-1,3.169563413E-1
6.086726250E-1,-1.409063220E0,-1.715084761E-1,2.506342530E-1
6.286726250E-1,-1.411957622E0,-8.806963265E-2,2.003347129E-1
6.486726250E-1,-1.423949718E0,7.284440845E-2,1.599021107E-1
6.686726250E-1,-1.483540773E0,2.950374186E-1,1.255796552E-1
6.886726250E-1,-1.580091834E0,4.654810429E-1,1.535744965E-1
7.086726250E-1,-1.502066851E0,5.617925525E-1,1.391182840E-1
7.286726250E-1,-1.387271047E0,5.196289420E-1,2.670573816E-2
7.486726250E-1,-1.335983753E0,5.027475357E-1,-4.523001611E-2
7.686726250E-1,-1.253089309E0,5.380423069E-1,-6.661218405E-2
7.886726250E-1,-1.154865146E0,4.671893418E-1,-1.404236555E-1
8.086726250E-1,-1.164169788E0,4.392336011E-1,-1.355954707E-1
8.286726250E-1,-1.133625984E0,7.184251547E-1,-9.688012302E-2
8.486726250E-1,-1.007090211E0,8.734899759E-1,-1.591084599E-1
8.686726250E-1,-9.114404917E-1,8.922433853E-1,-2.310643792E-1
8.886726250E-1,-7.780370116E-1,1.019177437E0,-2.383005470E-1
9.086726250E-1,-6.301659346E-1,1.040315270E0,-2.416839600E-1
9.286726250E-1,-5.217172503E-1,7.282196879E-1,-2.196755558E-1
9.486726250E-1,-3.656582236E-1,3.541533351E-1,-1.991480887E-1
9.686726250E-1,-1.628839374E-1,-2.720895596E-2,-2.024434209E-1
