"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.221416751E-3,-1.069076843E0,-1.140628052E-1,1.113220047E1
1.879458339E-2,-8.113128662E-1,-5.575904846E-1,1.027044250E1
3.881058330E-2,-1.047821045E0,-5.575904846E-1,9.239386597E0
5.882658320E-2,-1.100361786E0,-4.064048767E-1,9.005123749E0
7.884258335E-2,-9.981243896E-1,-4.096980286E-1,8.948691101E0
9.885858325E-2,-7.572752380E-1,-5.159770203E-1,8.784931641E0
1.188745834E-1,-7.825726318E-1,-4.370910645E-1,8.928183746E0
1.388905833E-1,-7.149133301E-1,-6.451583862E-1,9.779014435E0
1.589065832E-1,-1.061742096E0,-8.680448914E-1,9.733359375E0
1.789225833E-1,-8.713380432E-1,-7.789801025E-1,9.418264618E0
1.989385833E-1,-1.038091278E0,-6.957531738E-1,9.023984528E0
2.189555834E-1,-1.013692017E0,-5.337899780E-1,9.047485657E0
2.389715833E-1,-1.328637085E0,-1.075214081E0,9.017248535E0
2.589875832E-1,-1.773661652E0,-1.787133636E0,8.787476349E0
2.790035834E-1,-1.726659393E0,-2.259401550E0,8.490942993E0
2.990196249E-1,-1.396895142E0,-2.568957825E0,8.556057587E0
3.190356249E-1,-1.403331757E0,-2.705623627E0,8.653355255E0
3.390516250E-1,-1.545536041E0,-2.954855347E0,8.787176971E0
3.590676249E-1,-2.146236877E0,-2.940036163E0,8.491990814E0
3.790836250E-1,-3.097508698E0,-3.590583344E0,8.258925476E0
3.990996249E-1,-5.331762543E0,-5.394631805E0,6.796915741E0
4.191156249E-1,-4.128414917E0,-5.522765350E0,8.755143585E0
4.391316250E-1,-3.179388428E0,-4.875062256E0,1.222956848E1
4.591476249E-1,-4.792134705E0,-4.256997528E0,1.128922394E1
4.791636250E-1,-4.576582947E0,-3.550466766E0,1.078941330E1
4.991796250E-1,-3.423081665E0,-3.053949280E0,1.361119537E1
5.191956249E-1,-4.554878082E0,-1.650767212E0,1.244437180E1
5.392116250E-1,-3.193608856E0,-1.097517700E0,1.210068649E1
5.592276249E-1,2.398013306E-1,-2.026785278E-1,1.189606201E1
5.792436250E-1,-1.207688599E0,-3.419040070E0,1.088311844E1
5.992596250E-1,-4.227359161E0,-5.056784363E0,7.832162933E0
