"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.128858328E-2,-1.265593283E-2,-4.113635714E-1,1.161549974E0
2.129658335E-2,1.922132543E-1,-5.828021436E-1,5.998664385E-1
3.130458319E-2,2.040003640E-1,-5.893237991E-1,-3.700878203E-2
6.131258326E-2,7.287911117E-2,-5.084965311E-1,-4.629456979E-1
8.131258326E-2,7.169344202E-2,-2.693138542E-1,-7.340740710E-1
1.013125833E-1,1.836060798E-1,-1.637987282E-1,-7.763389152E-1
1.213125833E-1,4.652318130E-1,-1.567308149E-1,-9.313784230E-1
1.413125833E-1,4.680108485E-1,7.185577534E-2,-8.124852329E-1
1.613125833E-1,5.736432843E-1,-3.292274773E-2,2.480096519E-2
1.813125833E-1,2.108349551E-1,-1.240906338E-1,4.609418571E-2
2.013125833E-1,4.013867962E-1,-2.093449384E-3,-2.515507257E-1
2.213125833E-1,2.246245900E-1,1.451187562E-1,-6.582807076E-1
2.413125833E-1,1.834431618E-1,3.747244430E-1,-6.459232020E-1
2.613125833E-1,-1.484087652E-1,-4.518494368E-2,-6.743359923E-1
2.813125833E-1,-6.132455257E-1,-6.434232981E-1,-8.723156977E-1
3.013125833E-1,-5.688454977E-1,-1.010762123E0,-1.183975800E0
3.213125833E-1,-2.697400980E-1,-1.191960758E0,-1.087451134E0
3.413125833E-1,-1.414611036E-1,-1.176072996E0,-9.693590122E-1
3.613125833E-1,-2.180290769E-1,-1.218224404E0,-7.719137424E-1
3.813125833E-1,-5.584608427E-1,-1.006991546E0,-9.629253209E-1
4.013125833E-1,-1.291710749E0,-1.333310911E0,-1.116704754E0
4.213125833E-1,-3.422810647E0,-2.741319124E0,-2.481703334E0
4.413125833E-1,-1.971991751E0,-2.459474559E0,-5.044784707E-1
4.613125833E-1,-6.481407586E-1,-1.450483996E0,3.253133512E0
4.813125833E-1,-1.680911947E0,-6.061703217E-1,2.931506245E0
5.013125833E-1,-1.400117835E0,4.588871455E-1,2.297678009E0
5.213125833E-1,5.319329023E-1,1.110871571E0,5.606478767E0
5.413125833E-1,9.733830661E-2,2.670703762E0,5.143707901E0
5.613125833E-1,1.790381180E0,3.411658545E0,4.993433290E0
5.813125833E-1,5.942329971E0,4.439583853E0,5.652935480E0
6.013125833E-1,5.125984991E0,1.622089835E0,4.997816362E0
