"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.528500045E-3,-2.129771118E0,3.045716400E0,1.081126785E1
1.748550008E-2,-2.558778992E0,2.650987244E0,9.686806183E0
3.750049998E-2,-3.303480377E0,2.505340118E0,8.913663940E0
5.751550011E-2,-2.622396698E0,2.959944763E0,8.768615570E0
7.752950001E-2,-2.076032867E0,3.175346832E0,8.665480042E0
9.754450014E-2,-1.661395111E0,2.796185303E0,8.760083313E0
1.175585000E-1,-1.480421448E0,2.142794037E0,8.002957764E0
1.375735002E-1,-1.875000916E0,2.077380066E0,8.022566986E0
1.575885001E-1,-1.873054962E0,1.935325470E0,8.698710938E0
1.776025000E-1,-1.861977997E0,1.717678070E0,9.077124023E0
1.976175001E-1,-1.643881531E0,1.594783630E0,8.868607635E0
2.176315000E-1,-1.369202728E0,1.970202942E0,9.156159668E0
2.376465001E-1,-1.198856964E0,2.161205750E0,9.373657379E0
2.576615000E-1,-1.644629974E0,1.918560333E0,9.101672974E0
2.776755001E-1,-1.782044220E0,1.206491089E0,8.962612152E0
2.976905000E-1,-1.616787872E0,7.228468323E-1,8.973988495E0
3.177045002E-1,-1.454375610E0,1.074765015E0,8.795559540E0
3.377195001E-1,-1.125060425E0,1.384620667E0,8.767418060E0
3.577345000E-1,1.107696533E-1,6.414161682E-1,8.063282318E0
3.777485001E-1,-8.547225952E-2,-2.100132751E-1,8.433163147E0
3.977635000E-1,-2.646346893E0,-1.760339355E-1,9.371561737E0
4.177775001E-1,-3.648512878E0,-1.361568604E0,1.021550674E1
4.377925000E-1,-3.210224304E0,-1.822310486E0,9.920470276E0
4.578075001E-1,-3.274590454E0,-2.182611237E0,8.630901947E0
4.778215000E-1,-3.659739532E0,-1.967658234E0,8.020770721E0
4.978365002E-1,-3.730691986E0,-1.755249939E0,7.414681091E0
5.178505001E-1,-3.517235870E0,-2.277214508E0,6.883884888E0
5.378655000E-1,-4.010460205E0,-2.658621368E0,6.893764343E0
5.578805001E-1,-4.167483673E0,-3.017125854E0,7.790998535E0
5.778945000E-1,-4.428091736E0,-3.349584503E0,8.598419495E0
5.979095001E-1,-5.441634064E0,-4.308340759E0,7.784112854E0
6.179230001E-1,-6.360573120E0,-3.708837433E0,1.000474503E1
6.379380000E-1,-3.762875061E0,2.805166626E-1,2.958462845E1
6.579530002E-1,-7.705077209E0,5.150788879E-1,1.829839828E1
6.779670001E-1,-8.221503296E0,1.074765015E-1,3.817062378E0
6.979820000E-1,-6.079158325E0,4.797523499E-1,5.061125336E0
7.179960001E-1,-6.555168457E0,1.094224548E-1,8.473579102E0
7.380110000E-1,-6.207291870E0,-1.350940704E0,7.219936066E0
