"Time (s)","X (hPa)"
-5.403789999E-1,1.012336502E3
4.908920000E-1,1.012343292E3
1.522178000E0,1.012350159E3
2.553461000E0,1.012352982E3
3.584692000E0,1.012356262E3
3.779007000E0,1.012358475E3
4.843516000E0,1.012364960E3
5.907979000E0,1.012364960E3
6.972473000E0,1.012370911E3
8.036986000E0,1.012373581E3
9.101513000E0,1.012377167E3
1.016602800E1,1.012377167E3
1.123054700E1,1.012379684E3
1.229505900E1,1.012380600E3
1.335955400E1,1.012381134E3
1.442406600E1,1.012381363E3
1.548863000E1,1.012381363E3
1.655320500E1,1.012380066E3
1.761772600E1,1.012379227E3
1.868224000E1,1.012379074E3
1.974673500E1,1.012377396E3
2.081120800E1,1.012376938E3
2.187566400E1,1.012376328E3
2.294014400E1,1.012373199E3
2.400464400E1,1.012373199E3
2.506911600E1,1.012372818E3
2.613356700E1,1.012364349E3
2.719801400E1,1.012350845E3
2.826251600E1,1.012335968E3
