"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.282166716E-3,-6.658598685E-1,-7.987950739E-1,-2.323426223E-1
1.429016655E-2,-2.806876937E-1,-8.242679572E-1,-1.085645514E0
2.429716662E-2,-4.011014521E-2,-6.612581829E-1,-1.732984911E0
5.430416668E-2,2.913676330E-1,-4.537397685E-1,-2.056750504E0
7.430416668E-2,8.453804988E-1,7.768318355E-3,-1.565663912E0
9.430416668E-2,1.372021671E0,1.522943131E-1,-4.928150296E-1
1.143041667E-1,1.503756224E0,-7.606642842E-3,-4.664160204E-1
1.343041667E-1,1.184414341E0,-4.659790872E-1,-4.409484726E-1
1.543041667E-1,1.245693161E0,-9.768543387E-1,-8.759035492E-1
1.743041667E-1,1.514324920E0,-1.263617801E0,-2.332010520E0
1.943041667E-1,1.133878611E0,-7.423426918E-1,-2.225109969E0
2.143041667E-1,2.112192780E0,-5.248374523E-1,-1.214514638E0
2.343041667E-1,1.163150503E0,-2.684268133E-1,3.928744197E-1
2.543041667E-1,4.778182371E-1,-8.827675956E-1,1.514703088E0
2.743041667E-1,7.884935224E-1,-1.757028662E0,4.502876455E-1
2.943041667E-1,1.068910490E0,-2.070198808E0,-1.374887391E0
3.143041667E-1,1.030595148E0,-1.851090774E0,-2.262981216E0
3.343041667E-1,2.092312685E0,-1.654266186E0,-3.078603480E0
3.543041667E-1,1.300688271E-1,-2.965279178E0,-4.529860185E0
3.743041667E-1,1.492386313E0,-3.319533031E0,-3.442124292E0
3.943041667E-1,1.812448280E0,-3.383950051E0,-3.115570747E0
4.143041667E-1,2.450877982E-1,-3.125879095E0,-3.768562063E0
4.343041667E-1,-8.979329342E-1,-3.455885130E0,-4.503627237E0
4.543041667E-1,-1.136740238E0,-4.019791777E0,-3.382264007E0
4.743041667E-1,-2.299008104E0,-3.890507207E0,-1.283496580E0
4.943041667E-1,-3.382942284E0,-3.067948684E0,2.482216719E0
5.143041667E-1,-5.077372409E0,-1.946159776E0,7.535619053E0
5.343041667E-1,-5.637418140E0,3.307267034E-1,1.132990536E1
5.543041667E-1,-5.095746700E0,2.471296459E0,1.314363915E1
