"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.283404185E-2,-1.145822406E-1,4.491629601E-1,4.828071892E-1
2.284104167E-2,-2.711308300E-1,4.344258010E-1,4.923173189E-1
3.284804174E-2,-2.940906286E-1,4.423732460E-1,5.791385174E-1
6.285504180E-2,-2.218379974E-1,4.703082144E-1,7.360528111E-1
8.285504180E-2,-9.883405268E-2,5.966846943E-1,1.048032880E0
1.028550418E-1,1.783857867E-2,9.920378923E-1,1.201893330E0
1.228550418E-1,-1.526886821E-1,1.336624622E0,2.005204916E0
1.428550418E-1,-8.112993240E-1,1.424251556E0,3.053821087E0
1.628550418E-1,-1.264685392E0,1.464630246E0,3.503689528E0
1.828550418E-1,-1.092153311E0,1.652226329E0,3.228659868E0
2.028550418E-1,-9.979719520E-1,1.235220671E0,2.545714378E0
2.228550418E-1,-8.525648713E-1,8.018173575E-1,2.319655895E0
2.428550418E-1,-3.730588853E-1,6.970112324E-1,1.873317838E0
2.628550418E-1,-3.029202819E-1,-4.296218231E-2,1.217783689E0
2.828550418E-1,-3.167116940E-1,-4.333685935E-1,5.368590355E-1
3.028550418E-1,-1.781075746E-1,-6.014983654E-1,-1.580115706E-1
3.228550418E-1,2.154285312E-1,-6.279268861E-1,-9.759494662E-1
3.428550418E-1,5.858761668E-1,-1.217994452E0,-1.626442790E0
3.628550418E-1,6.649935842E-1,-1.812325120E0,-1.971211910E0
3.828550418E-1,4.340716302E-1,-7.156527042E-1,-1.523756027E0
4.028550418E-1,-2.940761149E-1,-1.519655585E0,-7.530041933E-1
4.228550418E-1,-1.193141580E0,-2.590675116E0,-4.190834761E-1
4.428550418E-1,-2.000597477E0,-3.283370972E0,-5.120931864E-1
4.628550418E-1,-2.699148655E0,-3.757556200E0,-7.115792632E-1
4.828550418E-1,-2.993383169E0,-2.577095270E0,-8.296597600E-1
5.028550418E-1,-2.974854708E0,-8.500894904E-1,-7.220006585E-1
5.228550418E-1,-2.847592115E0,8.825238347E-1,-6.913733482E-1
5.428550418E-1,-2.860534906E0,2.458780527E0,-6.963444352E-1
5.628550418E-1,-3.686886311E0,1.552240849E0,-1.225523591E0
5.828550418E-1,-2.474461317E0,4.429069996E0,-2.114220142E0
6.028550418E-1,-6.361553669E-1,3.808755636E0,-2.788880587E0
6.228550418E-1,2.055994719E-1,1.231947899E0,-3.436848879E0
6.428550418E-1,6.577456743E-2,-3.504452407E-1,-3.830008030E0
6.628550418E-1,5.753501132E-2,-2.481742948E-1,-3.338508606E0
6.828550418E-1,1.969001889E-1,7.258505225E-1,-2.918042421E0
7.028550418E-1,5.164295807E-2,1.058555245E0,-2.703893185E0
7.228550418E-1,-5.671833158E-1,1.299945831E0,-2.667579412E0
7.428550418E-1,-9.756721854E-1,2.577512503E0,-2.592525005E0
7.628550418E-1,-1.242712617E0,3.530987501E0,-2.753284216E0
7.828550418E-1,-1.266758323E0,3.931794882E0,-2.826708317E0
8.028550418E-1,2.989015877E-1,5.507804394E0,-1.969803333E0
8.228550418E-1,2.540446043E0,3.471513510E0,-1.123958349E0
