"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.978041889E-3,-7.370021194E-3,-3.064139187E-2,-2.325817570E-2
1.794804167E-2,1.165942289E-3,-3.284728900E-2,-1.481062919E-2
2.791804168E-2,2.055346221E-2,-4.581008106E-2,1.518294681E-3
5.788804170E-2,4.058496282E-2,-6.603892148E-2,1.786318049E-2
7.788804170E-2,2.165276790E-3,-2.449586056E-2,3.384871408E-2
9.788804170E-2,8.292517625E-3,-6.301666796E-2,2.791120205E-3
1.178880417E-1,4.233243689E-2,-8.390478045E-2,-4.477839917E-3
1.378880417E-1,3.422328085E-2,-3.183237836E-2,-1.904908754E-2
1.578880417E-1,4.898438230E-2,-7.662063465E-3,-5.013323575E-2
1.778880417E-1,1.205160469E-2,9.060794488E-3,-3.371329606E-2
1.978880417E-1,2.349334396E-2,-5.380978063E-2,1.377312699E-3
2.178880417E-1,8.121116459E-2,-7.898505032E-2,1.929679699E-2
2.378880417E-1,4.271438718E-2,-3.666033223E-2,2.240479458E-3
2.578880417E-1,3.778196499E-2,-7.379474491E-2,-5.812922120E-2
2.778880417E-1,6.422135234E-2,-1.579000503E-1,-6.525241584E-2
2.978880417E-1,1.089512780E-1,-1.714095324E-1,-9.105440229E-3
3.178880417E-1,9.514901042E-2,-1.440986395E-1,1.675779186E-2
3.378880417E-1,7.029798627E-2,-1.348938495E-1,-1.852359995E-2
3.578880417E-1,1.032790020E-1,-1.349326819E-1,-3.795687854E-2
3.778880417E-1,1.336227506E-1,-1.141222417E-1,-3.491436318E-2
3.978880417E-1,1.234703362E-1,-5.599369109E-2,-4.937015846E-2
4.178880417E-1,1.492301673E-1,8.447322063E-3,-6.616004556E-2
4.378880417E-1,1.685261577E-1,5.124686286E-2,-5.329019204E-2
4.578880417E-1,1.934812218E-1,1.097858027E-1,-3.869405016E-2
4.778880417E-1,1.745953262E-1,1.569227874E-1,-8.176210523E-2
4.978880417E-1,1.610111296E-1,1.245931312E-1,-1.217926443E-1
5.178880417E-1,1.350410432E-1,1.029355973E-1,-9.905128181E-2
5.378880417E-1,1.611619890E-1,-6.203283556E-4,-1.012007296E-1
5.578880417E-1,2.283042520E-1,-8.065029979E-2,-1.101981997E-1
5.778880417E-1,2.274970859E-1,-1.404198110E-1,-1.018733531E-1
5.978880417E-1,1.718263477E-1,-2.016780227E-1,-9.968706965E-2
6.178880417E-1,1.806645691E-1,-2.060894519E-1,-8.424329758E-2
6.378880417E-1,1.706152558E-1,-1.420195103E-1,-8.670867234E-2
6.578880417E-1,1.807096153E-1,-1.013097987E-1,-1.569217891E-1
6.778880417E-1,2.964291573E-1,-4.203647748E-2,-2.097241282E-1
6.978880417E-1,2.843193710E-1,4.516938329E-2,-2.042805254E-1
7.178880417E-1,2.257214934E-1,3.125027567E-2,-1.766501665E-1
7.378880417E-1,2.093595564E-1,2.653124928E-2,-1.702552885E-1
7.578880417E-1,2.121382654E-1,5.672937259E-3,-1.685241312E-1
7.778880417E-1,2.427752018E-1,-1.660124213E-1,-1.663982719E-1
7.978880417E-1,2.666095495E-1,-2.948428690E-1,-1.381603032E-1
8.178880417E-1,2.291835546E-1,-3.293013275E-1,-1.220077723E-1
8.378880417E-1,2.070061266E-1,-2.437555045E-1,-1.435043961E-1
8.578880417E-1,2.527311742E-1,-2.489843220E-1,-1.660852581E-1
8.778880417E-1,2.909500599E-1,-3.734975755E-1,-1.630047709E-1
8.978880417E-1,2.409039140E-1,-3.007929623E-1,-1.751115918E-1
9.178880417E-1,3.241178691E-1,-2.231698781E-1,-2.595870793E-1
9.378880417E-1,4.010294080E-1,-2.699303031E-1,-3.127710819E-1
9.578880417E-1,1.987793148E-1,-3.013948202E-1,-2.622432411E-1
9.778880417E-1,1.155228820E-2,-3.471701741E-1,-1.177869141E-1
9.978880417E-1,7.850454003E-2,-5.633210540E-1,3.092552349E-2
1.017888042E0,1.386130452E-1,-6.761140823E-1,1.181578711E-1
1.037888042E0,1.802756637E-1,-5.510648489E-1,6.611260027E-2
1.057888042E0,1.343376637E-1,-2.297473550E-1,-1.308377683E-1
1.077888042E0,1.219901908E-2,-3.044386022E-2,-3.598187864E-1
1.097888042E0,2.698249370E-2,-3.049046732E-2,-4.333633184E-1
1.117888042E0,1.980684511E-2,1.345210336E-2,-3.233166933E-1
1.137888042E0,-7.210326940E-2,2.169330567E-1,-1.738274843E-1
1.157888042E0,-5.379811302E-2,2.733677328E-1,-7.845271379E-2
1.177888042E0,-2.034656703E-2,1.300746500E-1,-3.656703979E-2
1.197888042E0,-1.753221452E-1,6.245611235E-2,-6.437790394E-2
1.217888042E0,5.967933312E-2,-2.021422833E-1,-1.899903566E-1
1.237888042E0,5.494518951E-2,-2.487508357E-1,-3.594760001E-1
1.257888042E0,1.063326076E-1,-4.799950123E-1,-2.355621904E-1
1.277888042E0,2.165684104E-1,-6.455369592E-1,2.053824514E-1
1.297888042E0,1.987061352E-1,-4.460377097E-1,5.496349335E-1
1.317888042E0,2.438593507E-1,-3.303924799E-1,4.738718569E-1
1.337888042E0,2.368885577E-1,-3.697320223E-1,8.484576643E-2
1.357888042E0,1.785245985E-1,-3.951663971E-1,-2.744682729E-1
1.377888042E0,2.269590646E-1,-2.896752656E-1,-3.901824355E-1
1.397888042E0,4.124615192E-1,-1.265958995E-1,-2.793063223E-1
1.417888042E0,5.559706688E-1,2.058862336E-2,-1.280335635E-1
1.437888042E0,5.771093965E-1,2.172233015E-1,-9.004351497E-2
1.457888042E0,6.129648089E-1,4.856052995E-1,-2.139121443E-1
1.477888042E0,6.318316460E-1,5.480519533E-1,-3.634198308E-1
1.497888042E0,5.639729500E-1,3.069260716E-1,-4.221386015E-1
1.517888042E0,3.955658376E-1,5.128971487E-2,-3.719123602E-1
1.537888042E0,2.767562866E-1,-1.142260358E-1,-1.817580163E-1
1.557888042E0,3.237594962E-1,-3.142808378E-1,-1.900612749E-2
1.577888042E0,3.344727457E-1,-3.568311334E-1,-3.048417717E-2
1.597888042E0,2.133214027E-1,-3.068268299E-1,-1.779962033E-1
1.617888042E0,6.924969703E-2,-2.482029647E-1,-3.144621551E-1
1.637888042E0,1.459921300E-1,-3.153855503E-1,-2.958703637E-1
1.657888042E0,3.432597816E-1,-3.985546231E-1,-1.392601430E-1
1.677888042E0,3.845537007E-1,-8.985770494E-2,-1.716735214E-2
1.697888042E0,4.191239476E-1,-7.010554522E-2,-5.968111008E-2
