"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
4.172208486E-3,6.484585985E-1,6.171775553E-1,-3.739642559E-1,-2.423715215E-1,9.914902525E1,9.242150846E1,-1.070941907E1,-5.215703840E1
1.414220850E-2,6.481187264E-1,6.174587064E-1,-3.739507373E-1,-2.425855432E-1,9.920017676E1,9.246052873E1,-1.067021833E1,-5.217661964E1
2.411220828E-2,6.476786290E-1,6.177893695E-1,-3.740558726E-1,-2.427568280E-1,9.926638353E1,9.251710891E1,-1.063727690E1,-5.220530250E1
3.408220829E-2,6.472503116E-1,6.181543717E-1,-3.741547385E-1,-2.428174562E-1,9.933078693E1,9.257817438E1,-1.061135796E1,-5.222432566E1
4.405120830E-2,6.468989966E-1,6.184934115E-1,-3.742137336E-1,-2.427998178E-1,9.938358905E1,9.263209278E1,-1.059215721E1,-5.223236249E1
5.402120831E-2,6.466117026E-1,6.187548484E-1,-3.742596315E-1,-2.428280772E-1,9.942675356E1,9.267368968E1,-1.057364592E1,-5.224212959E1
6.399120833E-2,6.463077606E-1,6.189175563E-1,-3.743766101E-1,-2.430422465E-1,9.947240436E1,9.270719428E1,-1.054914226E1,-5.227391486E1
7.396120834E-2,6.459161742E-1,6.189962972E-1,-3.746449064E-1,-2.434685618E-1,9.953119627E1,9.274175407E1,-1.051926559E1,-5.233835665E1
8.393020835E-2,6.454508730E-1,6.190466837E-1,-3.750420351E-1,-2.439626072E-1,9.960102240E1,9.278352482E1,-1.049174924E1,-5.242152925E1
9.390020836E-2,6.449930950E-1,6.191194397E-1,-3.754539678E-1,-2.443550576E-1,9.966968448E1,9.282992976E1,-1.047232082E1,-5.249789587E1
1.038702084E-1,6.445752722E-1,6.192783333E-1,-3.757676247E-1,-2.445724299E-1,9.973232339E1,9.288024268E1,-1.045738889E1,-5.255021167E1
1.138402084E-1,6.442266756E-1,6.195366725E-1,-3.759153283E-1,-2.446099828E-1,9.978456200E1,9.293040252E1,-1.044313974E1,-5.257121656E1
1.238092084E-1,6.439445657E-1,6.198922338E-1,-3.758844663E-1,-2.444996213E-1,9.982682263E1,9.297895235E1,-1.042630462E1,-5.256226644E1
1.337792084E-1,6.437205341E-1,6.202942094E-1,-3.757081449E-1,-2.443404537E-1,9.986037367E1,9.302143379E1,-1.040332119E1,-5.253462836E1
1.437492084E-1,6.435084301E-1,6.206710549E-1,-3.755151440E-1,-2.442391537E-1,9.989213082E1,9.305881293E1,-1.037616561E1,-5.250989811E1
1.537192084E-1,6.432486791E-1,6.209784529E-1,-3.754500903E-1,-2.442421462E-1,9.993101182E1,9.309739270E1,-1.035096571E1,-5.250647630E1
1.636892084E-1,6.429397638E-1,6.212169514E-1,-3.755536557E-1,-2.442899196E-1,9.997723758E1,9.314086784E1,-1.033496949E1,-5.252355975E1
1.736582085E-1,6.426215551E-1,6.214301512E-1,-3.757581311E-1,-2.442702792E-1,1.000248376E2,9.318966370E1,-1.033171018E1,-5.254514986E1
1.836282085E-1,6.423581162E-1,6.216581973E-1,-3.759330932E-1,-2.441138512E-1,1.000642323E2,9.323814470E1,-1.033810954E1,-5.255234519E1
1.935982085E-1,6.421637138E-1,6.219207827E-1,-3.759889694E-1,-2.438700949E-1,1.000932959E2,9.328120676E1,-1.034396817E1,-5.254023550E1
2.035680418E-1,6.419869078E-1,6.222233233E-1,-3.759362753E-1,-2.436450728E-1,1.001197235E2,9.332045977E1,-1.033999925E1,-5.251887555E1
2.135370418E-1,6.418050652E-1,6.225429966E-1,-3.757966533E-1,-2.435228680E-1,1.001468985E2,9.335444392E1,-1.032138806E1,-5.249732943E1
2.235070418E-1,6.416247821E-1,6.228378138E-1,-3.756115865E-1,-2.435296748E-1,1.001738352E2,9.338072943E1,-1.029081130E1,-5.248166673E1
2.334770418E-1,6.414382191E-1,6.230917381E-1,-3.754388371E-1,-2.436379289E-1,1.002017047E2,9.340211403E1,-1.025468898E1,-5.247538696E1
2.434470416E-1,6.412284331E-1,6.232950123E-1,-3.753682411E-1,-2.437790155E-1,1.002330365E2,9.342515775E1,-1.022423903E1,-5.248192600E1
