"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.452916535E-3,1.299896851E0,9.573940887E0,-2.068698120E0
1.848408347E-2,8.964857483E-1,9.695637817E0,-1.502276001E0
3.842108347E-2,1.128203888E0,9.731263733E0,-1.649719391E0
5.835708347E-2,1.562151489E0,9.602082367E0,-1.687590637E0
7.829408348E-2,1.368753662E0,9.648336182E0,-1.515897675E0
9.823108348E-2,1.106049957E0,9.784852295E0,-1.580862579E0
1.181670835E-1,1.203197937E0,9.516161041E0,-1.908680878E0
1.381040835E-1,1.258433075E0,9.583221588E0,-1.726958771E0
1.580413333E-1,1.066981201E0,9.673783264E0,-1.578617249E0
1.779773333E-1,1.167122955E0,9.822723541E0,-1.661844177E0
1.979143333E-1,1.434167633E0,9.914033661E0,-1.687590637E0
2.178513333E-1,1.394500122E0,9.714947662E0,-1.311871948E0
2.377883333E-1,9.704319763E-1,9.677974548E0,-1.465751953E0
2.577243333E-1,1.058448944E0,9.717791748E0,-1.726360016E0
2.776613333E-1,1.019380188E0,9.605375519E0,-1.881736908E0
2.975983333E-1,9.259744263E-1,9.618847504E0,-1.744472351E0
3.175343333E-1,9.547146606E-1,9.740394745E0,-1.704804840E0
3.374713333E-1,8.137078857E-1,9.651180267E0,-1.901346130E0
3.574083333E-1,5.336402893E-1,9.638307037E0,-1.761387177E0
3.773443333E-1,5.810916138E-1,9.691745911E0,-1.420995026E0
3.972813333E-1,8.117619324E-1,9.721384277E0,-1.932930450E0
4.172183333E-1,5.939648438E-1,9.677226105E0,-1.846260681E0
4.371543333E-1,7.056326294E-1,9.636959839E0,-1.599723358E0
4.570913333E-1,7.105723572E-1,9.666747894E0,-1.523082733E0
4.770283333E-1,1.012644196E0,1.010159363E1,-1.687440948E0
4.969643333E-1,1.593137054E0,9.675579529E0,-1.743723907E0
5.169013334E-1,1.176703033E0,9.420659637E0,-1.154549103E0
5.368383334E-1,9.226812744E-1,1.000579285E1,-1.125659180E0
5.567753334E-1,1.204994202E0,9.797426147E0,-2.024390259E0
5.767113334E-1,1.342109070E0,9.225615234E0,-1.788031769E0
5.966483334E-1,1.230441284E0,9.677824860E0,-9.460327148E-1
6.165853334E-1,1.399888916E0,1.021700363E1,-1.269210663E0
6.365213334E-1,1.448388062E0,1.009515701E1,-1.653311920E0
6.564583334E-1,1.791025543E0,9.653126221E0,-1.631756744E0
6.763953334E-1,1.557361450E0,9.422904968E0,-1.112336884E0
6.963313334E-1,1.094673615E0,9.852212219E0,-9.345066833E-1
7.162683334E-1,8.722361755E-1,1.001642075E1,-1.607806549E0
7.362053334E-1,7.731422424E-1,9.756411438E0,-1.972747650E0
7.561413334E-1,4.948709106E-1,9.522597656E0,-1.653461609E0
7.760783334E-1,3.966751099E-1,9.579179993E0,-1.173559570E0
7.960153334E-1,2.589614868E-1,9.643246765E0,-1.152004395E0
8.159513334E-1,3.362008667E-1,9.508975983E0,-1.752854919E0
8.358883334E-1,3.327580261E-1,9.728868713E0,-1.722168732E0
8.558253334E-1,6.526428223E-2,9.825567627E0,-1.221759338E0
8.757623334E-1,-4.023632813E-1,9.753118286E0,-5.734574890E-1
8.956983334E-1,-7.628137207E-1,9.312883759E0,-1.236877899E0
9.156353334E-1,-7.635621643E-1,9.396110687E0,-2.457739105E0
