"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.203745836E-2,4.793459684E-2,-9.844372272E-2,1.344254413E-1
2.200545836E-2,1.508990943E-2,-1.965909916E-1,4.037470248E-1
3.197445837E-2,-1.152705476E-2,-1.981147760E-1,3.605817094E-1
6.194345837E-2,-8.775749758E-2,-5.038019478E-2,1.386781213E-1
8.194345837E-2,2.401451468E-2,3.880797029E-1,-1.745876268E-1
1.019434584E-1,5.809705764E-2,1.493495822E-1,-5.409229964E-2
1.219434584E-1,5.015025303E-2,-1.343707699E-1,1.603294837E-1
1.419434584E-1,2.095188931E-2,-1.921745896E-2,2.589497924E-2
1.619434584E-1,2.043748051E-3,2.419916975E-1,-3.767945766E-2
1.819434584E-1,6.295909055E-2,2.743180293E-1,1.135994133E-1
2.019434584E-1,1.966415700E-1,4.280161858E-4,4.675813705E-2
2.219434584E-1,1.250374442E-1,-7.206108570E-3,4.718673795E-2
2.419434584E-1,-9.394955277E-2,1.191165537E-1,7.306885332E-2
2.619434584E-1,-2.760894433E-1,1.494600946E-1,-2.488694850E-1
2.819434584E-1,-3.675541487E-1,7.585943699E-2,-1.059851691E-1
3.019434584E-1,-4.151892950E-1,-1.944783926E-3,-1.019900590E-2
3.219434584E-1,-3.893570637E-1,1.396665931E-1,-2.184987545E-2
3.419434584E-1,-2.694360793E-1,4.017212570E-2,-9.541252613E-2
3.619434584E-1,-1.689542730E-1,1.033811116E-1,-6.443485469E-3
3.819434584E-1,1.767584056E-2,1.074776709E-1,2.509317979E-1
4.019434584E-1,3.146608571E-1,-9.484710038E-2,1.533246656E-1
4.219434584E-1,2.703186800E-1,4.759750485E-2,1.262089339E-1
4.419434584E-1,-7.143470272E-3,3.040435195E-1,-1.610685718E-1
4.619434584E-1,1.107877797E-1,2.500555927E-1,-2.162677494E-1
4.819434584E-1,2.544761608E-1,-2.985985923E-1,1.551441729E-1
5.019434584E-1,3.051203573E-1,1.200480151E-1,1.254879722E-1
5.219434584E-1,4.164042733E-1,3.940339226E-1,-3.222239748E-1
5.419434584E-1,3.254479833E-1,3.328977746E-1,1.216022050E-1
5.619434584E-1,4.048407831E-1,-1.929160166E-1,2.249801007E-1
5.819434584E-1,4.886666859E-1,-5.139644086E-2,-1.071759546E-1
6.019434584E-1,3.765699705E-1,4.213363266E-1,-4.932428996E-1
6.219434584E-1,-1.572084958E-1,2.695309138E-1,6.066033080E-2
6.419434584E-1,5.006875746E-2,-1.288428122E-1,3.738335466E-1
6.619434584E-1,5.928248925E-1,1.373002249E-1,5.136866659E-2
6.819434584E-1,6.216324795E-1,6.179355043E-1,3.599867553E-2
7.019434584E-1,3.395609326E-1,3.685909331E-2,6.731782436E-2
7.219434584E-1,1.718306280E-1,-4.301556820E-1,1.971973479E-1
7.419434584E-1,3.572420722E-1,-2.699133217E-2,3.539553523E-1
7.619434584E-1,3.150718433E-1,4.858474874E-1,-6.342328638E-2
7.819434584E-1,-1.795191136E-1,3.313014847E-1,9.165827747E-1
8.019434584E-1,2.579419334E-1,3.953466225E-1,2.101267111E-1
8.219434584E-1,7.630276557E-1,-8.571421731E-1,-1.148539335E0
8.419434584E-1,-1.704620872E-1,-5.707473046E-1,-2.176933005E-2
