"Time (s)","X (hPa)"
-5.381531669E-1,1.000453491E3
4.892558332E-1,1.000457916E3
1.516676833E0,1.000462418E3
2.544169833E0,1.000482788E3
3.571612833E0,1.000482788E3
3.771230833E0,1.000482788E3
4.831900833E0,1.000485001E3
5.892525833E0,1.000485001E3
6.953155833E0,1.000476608E3
8.013794833E0,1.000474396E3
9.074433833E0,1.000471115E3
1.013509783E1,1.000468979E3
1.119580083E1,1.000468979E3
1.225646883E1,1.000475311E3
1.331719783E1,1.000477066E3
1.437789883E1,1.000486526E3
1.543858183E1,1.000498047E3
1.649927283E1,1.000498047E3
1.755993383E1,1.000491104E3
1.862058983E1,1.000490341E3
1.968123083E1,1.000477676E3
2.074191983E1,1.000454407E3
2.180261083E1,1.000448303E3
2.286329483E1,1.000441132E3
2.392397083E1,1.000424271E3
2.498469983E1,1.000424271E3
2.604540083E1,1.000420914E3
2.710605983E1,1.000415497E3
2.816679383E1,1.000415497E3
2.922752183E1,1.000417633E3
3.028823483E1,1.000417633E3
3.134896383E1,1.000417633E3
3.240963783E1,1.000420227E3
3.347032783E1,1.000420227E3
3.453096783E1,1.000422745E3
3.559161583E1,1.000429611E3
3.665228283E1,1.000435715E3
3.771290283E1,1.000440292E3
3.877353683E1,1.000441284E3
3.983417283E1,1.000443649E3
4.089478183E1,1.000443649E3
4.195533883E1,1.000443649E3
4.301598283E1,1.000445480E3
4.407658783E1,1.000445480E3
4.513720783E1,1.000445480E3
4.619787083E1,1.000451965E3
4.725848083E1,1.000455093E3
4.831909983E1,1.000457993E3
4.937972383E1,1.000467758E3
5.044030783E1,1.000467758E3
5.150095283E1,1.000459518E3
5.256160783E1,1.000458679E3
5.362227683E1,1.000448761E3
