"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.940415621E-4,-5.020559692E-1,6.441255341E0,7.450905762E0
3.089804156E-2,-4.851411438E-1,6.424789581E0,7.378905487E0
5.083404155E-2,-5.402265930E-1,6.402935028E0,7.385791168E0
7.077004155E-2,-4.727169800E-1,6.459966431E0,7.361541595E0
9.070504154E-2,-4.474195862E-1,6.539002075E0,7.373067627E0
1.106410415E-1,-4.358935547E-1,6.534212036E0,7.362739105E0
1.305770415E-1,-4.575984192E-1,6.447242889E0,7.371121674E0
1.505130415E-1,-5.245092773E-1,6.441405029E0,7.351512451E0
1.704490415E-1,-5.873785400E-1,6.508615265E0,7.291337585E0
1.903850415E-1,-6.474037170E-1,6.583160248E0,7.276518402E0
2.103210415E-1,-6.174659729E-1,6.565796356E0,7.191944275E0
2.302560415E-1,-5.893244934E-1,6.545887756E0,7.205865326E0
2.501920415E-1,-5.572911072E-1,6.566694489E0,7.177723846E0
2.701280415E-1,-6.203100586E-1,6.519991608E0,7.174131317E0
2.900640415E-1,-1.224304047E0,6.270011444E0,7.226073303E0
3.100000415E-1,-1.789229279E0,6.318061523E0,6.743027802E0
3.299360415E-1,-1.037342834E0,6.559359741E0,6.857689362E0
3.498720415E-1,-1.026415558E0,6.571185150E0,7.084617462E0
3.698070415E-1,-1.091081085E0,6.657256165E0,7.139253845E0
3.897430415E-1,-7.698490906E-1,6.812034302E0,7.082372131E0
4.096790415E-1,-3.219804382E-1,6.776857452E0,7.245083771E0
4.296150417E-1,-7.664062500E-2,6.678062897E0,7.367229767E0
4.495510417E-1,-3.158432007E-2,6.723268890E0,7.495662689E0
4.694870417E-1,1.651066589E-1,6.734196167E0,7.368576965E0
4.894230417E-1,4.270619202E-1,6.652166748E0,7.457342377E0
5.093580417E-1,3.830534363E-1,6.518195343E0,7.484735413E0
5.292940417E-1,1.676513672E-1,6.545438690E0,7.281158752E0
5.492300417E-1,4.629872131E-1,6.638545074E0,7.187303925E0
5.691660417E-1,1.187929688E0,6.501130829E0,7.362888794E0
5.891020417E-1,1.573976898E0,6.343358917E0,7.574698334E0
6.090380417E-1,1.482666779E0,6.269861755E0,7.668702850E0
6.289730417E-1,1.298849030E0,6.424041138E0,7.504793701E0
6.489090417E-1,1.249451752E0,6.694079590E0,7.522756348E0
6.688469583E-1,1.295256500E0,6.879094849E0,7.575297089E0
6.887829583E-1,1.247056732E0,6.829248505E0,7.419022064E0
7.087189583E-1,1.007405090E0,6.670578461E0,7.490722961E0
7.286549583E-1,7.934999084E-1,6.644532623E0,7.462880859E0
7.485909583E-1,6.370751953E-1,6.754404144E0,7.405101013E0
7.685259583E-1,4.385879517E-1,6.864425354E0,7.271578674E0
7.884619583E-1,1.908531189E-1,6.918313293E0,7.106172638E0
8.083979583E-1,-1.221459961E-1,6.843319244E0,7.000492401E0
8.283339583E-1,-3.225791931E-1,6.676566010E0,6.965016174E0
8.482699583E-1,-3.905378723E-1,6.650669861E0,6.871610413E0
8.682059583E-1,-4.598437500E-1,6.780000916E0,6.887028351E0
8.881409583E-1,-5.203179932E-1,6.859785004E0,6.913672943E0
9.080769583E-1,-3.324586487E-1,6.786736908E0,7.015161896E0
9.280129583E-1,-1.095721436E-1,6.648723907E0,7.179969177E0
9.479489583E-1,7.888595581E-2,6.583908691E0,7.230264587E0
9.678849583E-1,1.399589539E-1,6.636000366E0,7.192243652E0
9.878209583E-1,-6.885681152E-3,6.576873322E0,7.230114899E0
1.007756958E0,-1.131646729E-1,6.362968140E0,7.309000854E0
1.027691958E0,-1.407073975E-1,6.252647552E0,7.291936340E0
1.047627958E0,-1.215472412E-1,6.244414673E0,7.245682526E0
1.067563958E0,-2.263293457E-1,6.269263000E0,7.259603577E0
1.087499958E0,-2.954855347E-1,6.327791290E0,7.165449371E0
1.107435958E0,-2.080673218E-1,6.436465302E0,7.132667542E0
1.127371958E0,-1.802252197E-1,6.503226471E0,7.239545288E0
1.147307958E0,-9.071136475E-2,6.540349274E0,7.258406067E0
1.167242958E0,5.673202515E-2,6.652017059E0,7.170089722E0
1.187178958E0,1.386117554E-1,6.826703796E0,7.327412567E0
1.207114958E0,1.088237000E-1,6.814878387E0,7.241491241E0
1.227050958E0,7.364685059E-2,6.683751068E0,7.229216766E0
1.246986958E0,2.275268555E-2,6.656956787E0,7.147486725E0
1.266922958E0,-1.347198486E-2,6.780899048E0,7.125931549E0
1.286857958E0,-7.439529419E-2,6.724765778E0,7.117998047E0
1.306793958E0,-1.321751404E-1,6.511908417E0,7.064110107E0
1.326729958E0,-2.341131592E-1,6.326593781E0,6.992409210E0
1.346665958E0,-1.787283325E-1,6.290518799E0,6.824458466E0
1.366601958E0,-1.351689148E-1,6.416407013E0,6.915020142E0
1.386537958E0,-1.941462708E-1,6.496041412E0,6.838978271E0
1.406472958E0,-2.215393066E-1,6.432573395E0,6.704857178E0
1.426408958E0,-2.859054565E-2,6.279591522E0,6.733896790E0
1.446344958E0,1.442999268E-1,6.170318756E0,6.914421387E0
1.466280958E0,1.815724182E-1,6.202352142E0,6.717281342E0
1.486216958E0,2.240840149E-1,6.174659729E0,6.566544800E0
1.506152958E0,1.839674377E-1,6.062542877E0,6.537804565E0
1.526088958E0,1.871109009E-1,5.930218048E0,6.441554718E0
1.546023958E0,1.672023010E-1,5.768254852E0,6.335724792E0
1.565959958E0,1.407073975E-2,5.620661774E0,6.329138489E0
1.585895958E0,-6.376739502E-2,5.611830139E0,6.190975800E0
1.605831958E0,6.930587769E-2,5.593568115E0,6.244115295E0
1.625767958E0,1.618135071E-1,5.529950409E0,6.199208679E0
1.645703958E0,6.212081909E-2,5.581892395E0,6.150260468E0
1.665636542E0,-1.386117554E-1,5.620661774E0,5.932164001E0
1.685572542E0,-2.490820312E-1,5.618715820E0,5.882766724E0
1.705508542E0,-2.644999695E-1,5.585335236E0,6.048921204E0
1.725444542E0,-3.668870544E-1,5.717360687E0,5.972430267E0
1.745380542E0,-4.745132446E-1,5.982609100E0,5.925278320E0
1.765316542E0,-4.396357727E-1,6.137686615E0,6.184688873E0
1.785252542E0,-4.981640625E-1,6.101761322E0,6.167025604E0
1.805187542E0,-4.017645264E-1,6.138135681E0,6.544241180E0
1.825123542E0,-3.457809448E-1,6.334078217E0,6.582262115E0
1.845059542E0,-2.234852600E-1,6.511908417E0,6.662644958E0
1.864995542E0,6.002517700E-2,6.588698730E0,6.729705505E0
1.884931542E0,2.432441711E-1,6.647227020E0,6.855893097E0
1.904867542E0,3.101550293E-1,6.756200409E0,6.795867920E0
