"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.089804156E-2,8.382897265E-3,-1.025502223E-1,7.230783820E-2
4.086604156E-2,-3.513467632E-2,-1.086126155E-1,8.421335399E-2
5.083404155E-2,-4.926176861E-2,-1.251333386E-1,7.967182159E-2
8.080204155E-2,-8.828820549E-3,-1.183897448E-1,3.666671991E-2
1.008020416E-1,4.306887288E-2,1.303285897E-2,6.504091859E-2
1.208020416E-1,6.066055007E-2,8.087868690E-3,5.526086569E-2
1.408020416E-1,4.967608038E-2,-8.035419166E-2,6.569580674E-2
1.608020416E-1,-4.141875207E-3,-8.857245326E-2,4.913473785E-2
1.808020416E-1,-5.426175926E-2,-2.415192425E-2,-7.624184489E-3
2.008020416E-1,-1.043522245E-1,4.662511289E-2,-1.833628356E-2
2.208020416E-1,-6.809327479E-2,2.454953492E-2,-9.821217299E-2
2.408020416E-1,-3.306651615E-2,6.221437454E-4,-8.016064882E-2
2.608020416E-1,8.944887780E-3,1.727559865E-2,-1.038003570E-1
2.808020416E-1,-3.852072582E-2,-3.473304570E-2,-1.013901347E-1
3.008020416E-1,-6.310208420E-1,-2.945833093E-1,-3.961371660E-2
3.208020416E-1,-1.219417090E0,-2.598414928E-1,-5.124950033E-1
3.408020416E-1,-5.151145925E-1,-2.917936027E-2,-3.917611098E-1
3.608020416E-1,-5.564235996E-1,-2.570377529E-2,-1.608130485E-1
3.808020416E-1,-6.859218116E-1,5.138942420E-2,-1.019111216E-1
4.008020416E-1,-4.510784083E-1,1.965734500E-1,-1.543512905E-1
4.208020416E-1,-9.450295519E-2,1.540618533E-1,1.162426472E-2
4.408020416E-1,7.073670963E-2,5.280269623E-2,1.339521092E-1
4.608020416E-1,4.724782309E-2,9.970789075E-2,2.597567081E-1
4.808020416E-1,1.784477575E-1,1.137833083E-1,1.293737394E-1
5.008020416E-1,3.766012531E-1,3.597967207E-2,2.144407868E-1
5.208020416E-1,2.793452095E-1,-9.122007251E-2,2.362193263E-1
5.408020416E-1,1.787421648E-2,-5.311376810E-2,2.355726242E-2
5.608020416E-1,2.509011549E-1,5.211330950E-2,-7.974783540E-2
5.808020416E-1,8.941652808E-1,-8.116169214E-2,9.492954612E-2
6.008020416E-1,1.204219226E0,-2.390447009E-1,3.103088111E-1
6.208020416E-1,1.062187215E0,-3.124921614E-1,4.070287746E-1
6.408020416E-1,8.417218959E-1,-1.550640661E-1,2.423898929E-1
6.608020416E-1,7.573208463E-1,1.192522091E-1,2.587656051E-1
6.808020416E-1,7.820571998E-1,3.068794191E-1,3.104006124E-1
7.008020416E-1,7.372458932E-1,2.608723569E-1,1.504161143E-1
7.208020416E-1,5.199953365E-1,1.050271028E-1,2.180292231E-1
7.408020416E-1,3.408341638E-1,7.879006147E-2,1.881148678E-1
7.608020416E-1,2.310405935E-1,1.867384332E-1,1.293187755E-1
7.808020416E-1,8.532914892E-2,2.920438635E-1,-2.699074745E-3
8.008020416E-1,-1.091454795E-1,3.404015064E-1,-1.654972529E-1
8.208020416E-1,-3.725907940E-1,2.644099224E-1,-2.721510512E-1
8.408020416E-1,-5.312992834E-1,1.001259667E-1,-3.111765379E-1
8.608020416E-1,-5.642423137E-1,7.626932681E-2,-4.073451090E-1
8.808020416E-1,-6.042857641E-1,2.071966714E-1,-3.940081948E-1
9.008020416E-1,-6.445888674E-1,2.875187033E-1,-3.682202196E-1
9.208020416E-1,-4.516352459E-1,2.145881367E-1,-2.669230556E-1
9.408020416E-1,-2.319602692E-1,7.528056264E-2,-1.008937061E-1
9.608020416E-1,-4.287171207E-2,7.852810621E-3,-4.824888468E-2
9.808020416E-1,2.641278673E-2,5.913464606E-2,-8.567164958E-2
1.000802042E0,-1.041676992E-1,2.289769650E-3,-5.009777427E-2
1.020802042E0,-1.876579993E-1,-2.104348594E-1,2.745384693E-2
1.040802042E0,-1.914416229E-1,-3.215904289E-1,1.093838632E-2
1.060802042E0,-1.556110731E-1,-3.319563729E-1,-3.348524988E-2
1.080802042E0,-2.509545655E-1,-3.107286412E-1,-1.633010387E-2
1.100802042E0,-3.191540404E-1,-2.575335968E-1,-1.056603563E-1
1.120802042E0,-2.445133824E-1,-1.554581684E-1,-1.324084443E-1
1.140802042E0,-2.387761675E-1,-9.540317059E-2,-1.929464221E-2
1.160802042E0,-1.733723926E-1,-6.576421916E-2,6.610862017E-3
1.180802042E0,-4.773698836E-2,3.938918352E-2,-7.548463047E-2
1.200802042E0,2.115396542E-2,2.060389227E-1,8.938053846E-2
1.220802042E0,-1.051273643E-2,1.842492735E-1,1.261653721E-2
1.240802042E0,-3.704360037E-2,4.316473067E-2,9.350867271E-3
1.260802042E0,-7.200196487E-2,8.717029095E-3,-6.555898190E-2
1.280802042E0,-9.064137175E-2,1.264781982E-1,-8.162186801E-2
1.300802042E0,-1.339459331E-1,6.320898592E-2,-8.312811077E-2
1.320802042E0,-1.751370275E-1,-1.580408835E-1,-1.293614602E-1
1.340802042E0,-2.618350096E-1,-3.521836460E-1,-1.929417443E-1
1.360802042E0,-1.947360721E-1,-3.954729223E-1,-3.542155534E-1
1.380802042E0,-1.440717300E-1,-2.755547154E-1,-2.581007767E-1
1.400802042E0,-1.961649671E-1,-2.025633377E-1,-3.279451829E-1
1.420802042E0,-2.184202739E-1,-2.720919943E-1,-4.563968164E-1
1.440802042E0,-2.690732870E-2,-4.300410765E-1,-4.227034056E-1
1.460802042E0,1.427669421E-1,-5.444324952E-1,-2.373770750E-1
1.480802042E0,1.808301690E-1,-5.170686954E-1,-4.301299542E-1
1.500802042E0,2.262476857E-1,-5.450979084E-1,-5.805495769E-1
1.520802042E0,1.927561318E-1,-6.524223822E-1,-6.137874895E-1
1.540802042E0,2.070841125E-1,-7.764289623E-1,-7.178164726E-1
1.560802042E0,2.025040798E-1,-9.280735767E-1,-8.332387555E-1
1.580802042E0,6.948677592E-2,-1.065053374E0,-8.495975107E-1
