"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.689291818E-3,1.512831263E-2,6.237468123E-2,-4.598201811E-2
1.465829182E-2,1.379619911E-2,7.836589962E-2,-4.782013223E-2
2.462629182E-2,7.014009170E-3,6.465881318E-2,-4.581199959E-2
5.459429182E-2,1.310385950E-2,3.388811275E-2,-4.071177915E-2
7.459429182E-2,2.082278766E-2,9.186496027E-5,-2.352611907E-2
9.459429182E-2,1.775661483E-2,-4.254261032E-2,-5.038133822E-3
1.145942918E-1,-5.453473888E-3,-5.973184854E-2,2.071921900E-2
1.345942918E-1,-9.275427088E-3,-6.205758825E-2,3.018184751E-2
1.545942918E-1,-1.492852159E-2,-4.090503603E-2,2.632976882E-2
1.745942918E-1,-9.425895289E-3,-4.108119756E-2,1.807138883E-2
1.945942918E-1,-2.390759531E-3,-2.520310506E-2,2.054560930E-2
2.145942918E-1,-1.482616877E-3,7.662309799E-3,1.159603428E-2
2.345942918E-1,-3.678822657E-3,8.413151652E-2,1.400885638E-3
2.545942918E-1,1.251394488E-2,1.535120606E-1,-6.447227206E-4
2.745942918E-1,3.687403724E-2,1.867680103E-1,4.823038355E-2
2.945942918E-1,3.904389963E-2,1.400783360E-1,1.143949181E-1
3.145942918E-1,4.598975647E-3,-2.270758711E-2,3.989808261E-2
3.345942918E-1,-7.256542332E-3,-1.747073084E-1,1.134793088E-1
3.545942918E-1,-7.068064995E-3,-2.589806914E-1,1.904562414E-1
3.745942918E-1,-9.107009508E-3,-2.668184638E-1,1.818276942E-1
3.945942918E-1,-4.176958464E-5,-2.351196408E-1,1.734977216E-1
4.145942918E-1,8.727726527E-3,-1.655692756E-1,1.901466250E-1
4.345942918E-1,1.033126935E-2,-1.502897888E-1,1.682519317E-1
4.545942918E-1,3.293174552E-3,-1.784325987E-1,9.509029984E-2
4.745942918E-1,8.735262789E-3,-1.529948115E-1,6.387901306E-2
4.945942918E-1,1.971302740E-2,-1.002076343E-1,8.492524177E-2
5.145942918E-1,1.656015962E-2,-1.580040902E-1,8.309602737E-2
5.345942918E-1,1.859758794E-2,-2.041430920E-1,5.713902414E-2
5.545942918E-1,2.822483331E-2,-1.970246732E-1,3.411482275E-2
5.745942918E-1,2.026075870E-2,-2.468466759E-1,3.122203797E-2
5.945942918E-1,8.581279777E-3,-2.707183957E-1,4.086750001E-2
6.145942918E-1,2.770048566E-2,-2.276874334E-1,7.738630474E-2
6.345942918E-1,2.694870345E-2,-1.004808173E-1,1.134637147E-1
6.545942918E-1,-7.490416057E-3,-6.149965152E-2,1.335051805E-1
6.745942918E-1,-1.051140204E-2,-1.369396895E-1,1.187433228E-1
6.945942918E-1,3.375835484E-3,-1.221660003E-1,5.039185286E-2
7.145942918E-1,3.806392429E-3,-9.592713416E-2,-3.445267677E-2
7.345942918E-1,1.881458424E-2,-9.012983739E-2,-9.036806971E-2
7.545942918E-1,7.113360614E-2,-2.849816345E-2,-9.516348690E-2
7.745942918E-1,1.469465941E-1,-9.086811915E-4,-8.382446319E-2
7.945942918E-1,1.950223148E-1,4.103457928E-2,-7.595223188E-2
8.145942918E-1,2.095623463E-1,3.772166744E-2,-6.359249353E-2
8.345942918E-1,2.059694976E-1,1.037706807E-2,-5.138936266E-2
8.545942918E-1,2.135169953E-1,2.453560010E-3,-4.405853525E-2
8.745942918E-1,2.294735014E-1,-2.373756375E-3,-4.114655778E-2
8.945942918E-1,2.606406808E-1,5.157816038E-2,-3.508878127E-2
9.145942918E-1,3.134374917E-1,1.775970161E-1,-1.044487953E-2
9.345942918E-1,3.169182837E-1,2.375320494E-1,-2.603287809E-3
9.545942918E-1,2.281694561E-1,2.747111022E-1,1.864835620E-2
9.745942918E-1,1.863194555E-1,2.546036541E-1,7.177200913E-2
9.945942918E-1,2.154514790E-1,2.214420438E-1,1.248902604E-1
1.014594292E0,2.308452725E-1,1.744202673E-1,1.347904503E-1
1.034594292E0,2.351041436E-1,2.103664130E-1,1.404500008E-1
1.054594292E0,2.463601381E-1,2.914684415E-1,1.540502012E-1
1.074594292E0,2.585324049E-1,3.019895256E-1,1.211771071E-1
1.094594292E0,2.577936649E-1,2.875133455E-1,2.104688063E-2
1.114594292E0,2.193211317E-1,3.708285093E-1,-8.610085398E-2
1.134594292E0,2.030121237E-1,5.328804255E-1,-1.264469773E-1
1.154594292E0,2.473398745E-1,5.895935297E-1,-1.197680533E-1
1.174594292E0,3.270941675E-1,5.302683711E-1,-1.358060241E-1
1.194594292E0,3.935870230E-1,4.809241891E-1,-1.919529587E-1
1.214594292E0,3.666962683E-1,5.392023921E-1,-2.285848409E-1
1.234594292E0,3.085747659E-1,5.836645961E-1,-1.783627570E-1
1.254594292E0,3.339872658E-1,4.750614464E-1,-5.205554143E-2
1.274594292E0,4.672151804E-1,3.074138761E-1,2.356973290E-2
1.294594292E0,5.158310533E-1,3.300622404E-1,3.374011815E-2
1.314594292E0,4.333706200E-1,3.479385972E-1,6.130536273E-2
1.334594292E0,3.426250815E-1,2.278357595E-1,1.311766356E-1
1.354594292E0,2.917073965E-1,8.114983886E-2,1.866137385E-1
1.374594292E0,2.814555168E-1,-2.110922337E-2,1.791137308E-1
1.394594292E0,3.146849871E-1,-1.735058725E-1,1.439743191E-1
1.414594292E0,3.030662239E-1,-3.426806033E-1,9.354396164E-2
1.434594292E0,2.470280528E-1,-3.751049936E-1,3.419737518E-2
1.454594292E0,1.770473570E-1,-2.069647014E-1,4.613381810E-3
1.474594292E0,1.485746056E-1,-4.841168225E-2,-5.895779468E-4
