"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
4.689291818E-3,1.546182847E-1,1.516496188E-1,3.696758772E-1,9.035681199E-1,1.622106826E2,4.640645922E1,-9.191469843E0,1.566322392E2
1.465829182E-2,1.546861411E-1,1.512527851E-1,3.698378265E-1,9.035567403E-1,1.622028121E2,4.641370767E1,-9.143830228E0,1.566434813E2
2.462629182E-2,1.547587180E-1,1.508384394E-1,3.699803671E-1,9.035553073E-1,1.621943941E2,4.641806052E1,-9.094679227E0,1.566552866E2
3.459429182E-2,1.548547285E-1,1.505486482E-1,3.700979885E-1,9.035389543E-1,1.621832578E2,4.642362237E1,-9.057772370E0,1.566584941E2
4.456329183E-2,1.549607700E-1,1.503673641E-1,3.702109947E-1,9.035046468E-1,1.621709579E2,4.643224993E1,-9.031581882E0,1.566551865E2
5.453033349E-2,1.550515543E-1,1.502247708E-1,3.703184376E-1,9.034687377E-1,1.621604275E2,4.644135818E1,-9.010175346E0,1.566516208E2
6.449933350E-2,1.551375339E-1,1.501424580E-1,3.704279772E-1,9.034227976E-1,1.621504543E2,4.645266473E1,-8.995081257E0,1.566455149E2
7.446733350E-2,1.552313949E-1,1.501750902E-1,3.705413417E-1,9.033548147E-1,1.621395667E2,4.646825632E1,-8.991241633E0,1.566327204E2
8.443533350E-2,1.553287120E-1,1.503243533E-1,3.706236334E-1,9.032794983E-1,1.621282781E2,4.648388964E1,-8.999905126E0,1.566139406E2
9.440433350E-2,1.553987179E-1,1.505415360E-1,3.706446226E-1,9.032226422E-1,1.621201574E2,4.649406478E1,-9.018284304E0,1.565952251E2
1.043723335E-1,1.554334469E-1,1.508102643E-1,3.705940463E-1,9.031925494E-1,1.621161288E2,4.649693940E1,-9.045339328E0,1.565783552E2
1.143403335E-1,1.554451637E-1,1.511261233E-1,3.704964237E-1,9.031777980E-1,1.621147696E2,4.649546041E1,-9.079441752E0,1.565620126E2
1.243093335E-1,1.554411598E-1,1.514572922E-1,3.703855143E-1,9.031684835E-1,1.621152341E2,4.649276423E1,-9.116162416E0,1.565467057E2
1.342773335E-1,1.554154924E-1,1.517615819E-1,3.702773760E-1,9.031661654E-1,1.621182115E2,4.648938433E1,-9.151072619E0,1.565350658E2
1.442453335E-1,1.553822385E-1,1.520112493E-1,3.701687319E-1,9.031743841E-1,1.621220690E2,4.648409509E1,-9.180779934E0,1.565270106E2
1.542143335E-1,1.553597742E-1,1.522285268E-1,3.700521432E-1,9.031894305E-1,1.621246749E2,4.647684826E1,-9.206893784E0,1.565195140E2
1.641823335E-1,1.553521035E-1,1.524449403E-1,3.699504113E-1,9.031959211E-1,1.621255647E2,4.647150204E1,-9.231864390E0,1.565103282E2
1.741513335E-1,1.553403445E-1,1.526426196E-1,3.698707010E-1,9.031972277E-1,1.621269287E2,4.646820865E1,-9.254558852E0,1.565023261E2
1.841193335E-1,1.553095773E-1,1.528089521E-1,3.698119694E-1,9.031984078E-1,1.621304977E2,4.646631158E1,-9.274402877E0,1.564977579E2
1.940873335E-1,1.552597598E-1,1.529319050E-1,3.697767241E-1,9.032005994E-1,1.621362765E2,4.646571848E1,-9.290110659E0,1.564972214E2
2.040563335E-1,1.552015128E-1,1.529733881E-1,3.697621308E-1,9.032096188E-1,1.621430330E2,4.646489324E1,-9.297385371E0,1.565015334E2
2.140243335E-1,1.551210545E-1,1.528736791E-1,3.697694538E-1,9.032373093E-1,1.621523658E2,4.646190855E1,-9.290742335E0,1.565151877E2
2.239923335E-1,1.549913686E-1,1.525894513E-1,3.698042144E-1,9.032934068E-1,1.621674087E2,4.645582614E1,-9.266870065E0,1.565432412E2
2.339613335E-1,1.548055010E-1,1.521140876E-1,3.698798996E-1,9.033744130E-1,1.621889677E2,4.644805881E1,-9.225067966E0,1.565866320E2
2.439293335E-1,1.545511448E-1,1.514856464E-1,3.700204488E-1,9.034659981E-1,1.622184699E2,4.644275914E1,-9.169175355E0,1.566445206E2
2.538973335E-1,1.542140121E-1,1.507645560E-1,3.702367043E-1,9.035556445E-1,1.622575712E2,4.644319431E1,-9.105738171E0,1.567152725E2
2.638663335E-1,1.537378792E-1,1.500045324E-1,3.705085409E-1,9.036518657E-1,1.623127905E2,4.644831185E1,-9.043329762E0,1.568024066E2
2.738343335E-1,1.529866116E-1,1.494492582E-1,3.707935695E-1,9.037544933E-1,1.623999101E2,4.645992946E1,-9.014126207E0,1.569086628E2
2.838033335E-1,1.521258465E-1,1.490332372E-1,3.710430683E-1,9.038660560E-1,1.624997147E2,4.647104276E1,-9.005059778E0,1.570199693E2
2.937713335E-1,1.514845822E-1,1.487283680E-1,3.711790973E-1,9.039681778E-1,1.625740598E2,4.647342610E1,-9.000065993E0,1.571030846E2
3.037393335E-1,1.511954549E-1,1.487095073E-1,3.712060923E-1,9.040085545E-1,1.626075775E2,4.647412370E1,-9.010762198E0,1.571348861E2
3.137083335E-1,1.511108240E-1,1.490946241E-1,3.711299119E-1,9.039905156E-1,1.626173882E2,4.647662152E1,-9.055826951E0,1.571252667E2
3.236763335E-1,1.509954259E-1,1.498878173E-1,3.709386179E-1,9.039571353E-1,1.626307653E2,4.647801938E1,-9.146782981E0,1.570994198E2
3.336443335E-1,1.507429663E-1,1.510428938E-1,3.706540002E-1,9.039237550E-1,1.626600300E2,4.647884967E1,-9.283263839E0,1.570708738E2
3.436133335E-1,1.503958027E-1,1.524608508E-1,3.703038337E-1,9.038870451E-1,1.627002708E2,4.647970202E1,-9.452535064E0,1.570397736E2
3.535813335E-1,1.500312746E-1,1.540079984E-1,3.699219621E-1,9.038417373E-1,1.627425221E2,4.648100275E1,-9.636566818E0,1.570042132E2
3.635493335E-1,1.496968815E-1,1.555542925E-1,3.695375302E-1,9.037896438E-1,1.627812784E2,4.648244272E1,-9.819187350E0,1.569653767E2
3.735183335E-1,1.493922862E-1,1.570545728E-1,3.691702415E-1,9.037307646E-1,1.628165794E2,4.648494623E1,-9.995319353E0,1.569254088E2
3.834863335E-1,1.490756791E-1,1.584772607E-1,3.688400420E-1,9.036694831E-1,1.628532708E2,4.648955413E1,-1.016316481E1,1.568902120E2
3.934553335E-1,1.486817325E-1,1.597964992E-1,3.685555929E-1,9.036180218E-1,1.628989225E2,4.649589322E1,-1.032287580E1,1.568680700E2
4.034233335E-1,1.481824610E-1,1.609730917E-1,3.683100665E-1,9.035913007E-1,1.629567757E2,4.650150053E1,-1.047191795E1,1.568641131E2
4.133913335E-1,1.475982213E-1,1.620077863E-1,3.680864880E-1,9.035931552E-1,1.630244690E2,4.650438974E1,-1.060985598E1,1.568763196E2
