time_bin,gyro_X (rad/s),gyro_Y (rad/s),gyro_Z (rad/s),linacc_X (m/s^2),linacc_Y (m/s^2),linacc_Z (m/s^2),accel_X (m/s^2),accel_Y (m/s^2),accel_Z (m/s^2),orient_w,orient_x,orient_y,orient_z,orient_Direct (°),orient_Yaw (°),orient_Pitch (°),orient_Roll (°),pressure_X (hPa),exercise_class,exercise_type,session
-2.0,,,,,,,2.125879211,9.994416504,-1.006057892,,,,,,,,,1000.187454,0,Pushup,3
0.0,0.26614893587122773,-0.28250497912287126,-0.20428350401348513,0.06520094305715841,0.03082881349748514,0.023539109267801978,0.5974825286768,9.34642151643,-2.0564281356745,0.5436965721731343,0.6588651710119403,-0.41099553324975124,-0.2898336978676617,113.5619625,102.65583251606965,-3.122095232032338,-60.188960641343286,1000.1888275,0,Pushup,3
2.0,-0.016049195952899997,0.01695917693403,-0.04653455042881,0.014197080882789996,0.040174558135441,-0.0230359714465,-2.6077212158576,8.41321413126,-3.807015271001,0.372806223404,0.723085550976,-0.409978475227,-0.392556846174,135.8605745835,114.73424723149999,15.6946474991995,-68.26814863985,1000.192973,0,Pushup,3
4.0,-0.019893080237400006,0.00661137202665,0.0044003676896000035,0.0023739710159200035,0.011097015428740002,-0.04967316407036,-3.383731494193,8.055012016240001,-3.7888685074099997,0.3593087556412935,0.7459266107860696,-0.3639100811089552,-0.40411938028358213,137.47301287313434,115.71208600323384,20.545052585154227,-63.93877971641791,1000.1958465,0,Pushup,3
6.0,-0.1039077465367,0.01720163137594,0.025232907165899997,-0.0038344264153000024,0.02224727270196,-0.0907950003815,-3.9407245281247527,7.591583517831683,-3.6722289071944556,0.3318017172457711,0.7444676676970149,-0.3521089768915423,-0.4245024486333333,140.59806891492536,116.90816555845771,24.233153945855722,-63.9327617717413,1000.197144,0,Pushup,3
8.0,-0.02554977702409,0.031011946946300002,0.020639695112850003,-0.005606482863739999,0.060970999220669994,-0.11581906025750001,-4.588716714479999,7.32888101354,-4.2647289504899994,0.2928790710495,0.769055400818,-0.3443021182535,-0.433052611405,145.64411592099998,120.69766662849999,28.2298013772,-63.62216950605001,1000.198288,0,Pushup,3
10.0,0.0041454715141999955,7.337851599999723e-06,0.003026157561710002,0.02348713675896,0.041846379409807,-0.06526600714386,-4.75760750432,6.98613575589,-4.5611904556,0.2683901275706468,0.7796705548308457,-0.3461917012164179,-0.430640113218408,148.6270070641791,123.83712831243781,29.453827310796022,-63.052187391094535,1000.1957705,0,Pushup,3
12.0,0.022582189031800003,-0.013858385777630202,-0.017453620443359998,0.021440473875619998,0.07535882468898,-0.09171130878238999,-4.883646385227723,6.81915118529703,-4.873443839168317,0.25168020826349996,0.7907380565065,-0.3439696601185,-0.42678654244,150.682363415,126.19736634450001,30.3925965395,-62.14590756005,1000.18589,0,Pushup,3
14.0,0.0875031995921,-0.051262217294149995,-0.0913426199847,-0.009949037436179997,0.07369984390198,-0.1266448847437,-4.78076884006,6.82107400358,-4.82285382386,0.2686853556782587,0.7946403560442786,-0.32553550255621894,-0.41562784599253727,148.54611527462689,125.94422837164178,29.488273740348262,-58.888370144129354,1000.1683045,0,Pushup,3
16.0,0.05523045740831,-0.01427601576434,-0.037560580084612,-0.008248295824749997,0.014602479687220003,-0.077921326021275,-4.542657495149999,7.06488250121,-4.46157111509,0.30194094706169156,0.7922749597865671,-0.3068909162552239,-0.4095516114855722,144.5176199074627,123.22520871293533,27.959493060298506,-56.689949321741295,1000.1488495000001,0,Pushup,3
