time_bin,gyro_X (rad/s),gyro_Y (rad/s),gyro_Z (rad/s),linacc_X (m/s^2),linacc_Y (m/s^2),linacc_Z (m/s^2),accel_X (m/s^2),accel_Y (m/s^2),accel_Z (m/s^2),orient_w,orient_x,orient_y,orient_z,orient_Direct (°),orient_Yaw (°),orient_Pitch (°),orient_Roll (°),pressure_X (hPa),exercise_class,exercise_type,session
-2.0,,,,,,,,,,,,,,,,,,1000.275497,2,Squat,3
0.0,0.04948417131229703,0.06510342216557426,0.021386841027841583,0.1349209754728416,-0.1435517378909307,-0.35251442467633665,0.02237179445366336,7.1271824132277235,6.208919179178217,0.4512892262417911,0.20623233394378107,-0.34904498908656717,-0.7918915181885572,126.24771808557213,47.92949880442786,0.5982626958356766,-120.33950310895523,1000.2775955,2,Squat,3
2.0,-0.043155122523084,-0.11231423303702799,0.06367465406942001,-0.04317663331851,0.3878102456043,0.10233665856344,-0.14941029968629999,8.04008954781,6.1641066742,0.511172549314,0.25212628627600003,-0.354234701182,-0.739966272546,118.4974727795,51.59590683615,0.6308894433544,-110.3153537605,1000.2774813333334,2,Squat,3
4.0,0.03464428561218,-0.018284399607360998,-0.01682849833933,-0.0014508824064930021,0.3973164266223,-0.1186712618618,0.7922559951865399,8.4896496827,5.27064613495,0.5163320186930348,0.23823680403681594,-0.40726972523233834,-0.7128331884114428,117.81468441940298,56.27312618512438,-4.68020148100995,-110.53755010099503,1000.274544,2,Squat,3
6.0,0.015053754852879998,0.0115020150032334,-0.07077010043251,0.018955746363619998,-0.1360513298176,-0.2418026862834,1.899672877270297,6.724943625623762,6.396114557910892,0.515368188877,0.12830432500485,-0.37651361514549997,-0.754906143462,117.8744551945,45.736839153649996,-11.170793529875,-115.79699593200002,1000.266495,2,Squat,3
8.0,-0.0147009838357,0.020899842354439,0.056013665646953995,0.0009888116764599996,-0.18283238799240997,-0.33753893768355503,1.6187368194893,6.8734440994099995,6.077353079240001,0.5033396605920397,0.14483037473228855,-0.3832979063189054,-0.7573919474696518,119.50261146716419,47.64249280029851,-9.548192791731344,-116.75598061243781,1000.2632140000001,2,Squat,3
10.0,-0.061485365964533994,-0.09363891601768,0.06804394100734,-0.063159705250212,0.4468096397258,-0.030942629075289996,0.8796876800534599,8.3491533462,5.55314617304,0.4951627077880597,0.20982376135492536,-0.4089304164835821,-0.7339880729368159,120.60974633582089,54.64641658726369,-5.5992964846819255,-114.61347938557215,1000.263786,2,Squat,3
12.0,0.10664805682602001,0.08004472003054,-0.0892694988431,0.01362603268026,0.4520369394157,-0.0390084947072,1.4596295362277227,8.19372047661386,5.550948327663366,0.4885883811795,0.17870357471665,-0.419948236799,-0.738213785297,121.46666755,54.031385925049996,-8.51844828107,-116.90515443550001,1000.272179,2,Squat,3
14.0,0.028116190740329994,-0.0040660446154299965,-0.01993027250497,-0.06760793835093999,-0.39665364475284,-0.47566568113913,2.1002764526199997,6.86928574675,5.632710218790001,0.5095377325169155,0.13292439054850747,-0.4092843383810945,-0.7418868113527363,118.71301657960198,49.88011015054726,-12.76563064467164,-116.72610222736319,1000.2828215,2,Squat,3
16.0,-0.13894873118992998,-0.08829048924964,0.07866453260303001,0.00908666960133,0.34504858690379997,-0.025477207373879998,1.384143159486,8.24431436006,5.41779912871,0.48632272997500003,0.18730464267115,-0.426740064879,-0.735040120601,121.7746479675,55.31629572975,-8.10321898401,-116.9436712425,1000.291138,2,Squat,3
18.0,0.05797406281286,0.04503184958286,-0.044113823462506,-0.005732157797820001,0.31794014669949,0.020577842921400004,1.4709087295469998,7.97352596742,5.904944604470001,0.5005394815875622,0.1747490366750746,-0.4091795023960199,-0.7410569053562189,119.92037955422884,52.41089251492537,-8.706592084955224,-116.11502506915423,1000.2871325000001,2,Squat,3
20.0,0.07606261193366,0.031371956656071995,-0.0345764832767,-0.040935948940848,-0.17003118979637002,-0.33031589265683003,2.222883430722772,7.0789930196831685,5.774666272138614,0.4955826806890547,0.11945275730452737,-0.4131277721417911,-0.7515304007741294,120.57184785074627,49.76730745044776,-13.394648824850746,-119.1772379079602,1000.2682115,2,Squat,3
22.0,-0.14928436548759,-0.07041939270481,0.09462935220046001,-0.02588663964455,0.19111315045827001,-0.0969331150438,2.21073625027673,7.37335053865,5.95507835084,0.5084557533445,0.12799703644465,-0.4102107166855,-0.7414176662865001,118.85076612,49.750117709449995,-13.24768874355,-116.88623172400001,1000.2449795,2,Squat,3
24.0,0.014965615672119,0.020435425218472,-0.0338024885927996,-0.12146270911089,0.25367665051349997,-0.225094267566,1.1161704117006002,8.133567159990001,5.3253618530599995,0.4908175029542289,0.19326725886089555,-0.41860457682238805,-0.735897860919403,121.18607460547264,54.70979956278607,-7.317206000238807,-116.1186091,1000.234299,2,Squat,3
26.0,0.09567003129882,0.077753172971286,-0.06362745024896001,0.037130701590429,0.13531466835315,-0.02985820446783,2.089055786120792,7.21213891350495,6.30791233180198,0.5080424907985001,0.12769305040349999,-0.394780179723,-0.7509410649660001,118.9078985725,47.97742570250001,-12.169929280785,-116.95303011600001,1000.2254485000001,2,Squat,3
28.0,-0.0839129944642,-0.072062407582699,0.02916373614735,-0.04717808261365,-0.20628086875971,-0.25913117886508,2.1997116760789996,6.7278897812,6.13873742982,0.5237833199800994,0.12308647228253732,-0.39281900589154234,-0.7427130857950249,116.80237027462687,47.276789970597015,-13.270977823925373,-115.19266392885572,1000.224075,2,Squat,3
30.0,-0.024382675399556995,-0.02740995925897,0.018024645483440002,-0.068746963905491,0.34184114942262,-0.09561105957253,1.060866416903,8.35860768589,5.359200485190001,0.4897809489721393,0.20336360918462684,-0.42152110308905477,-0.7334488533358209,121.34333804527363,55.67833982522388,-6.669040862258706,-115.87352732338307,1000.2329635000001,2,Squat,3
32.0,0.14244610572208,0.10784936578582,-0.06562851209373,-0.008146192475430001,0.35015704192870006,0.0058884034250170055,1.7481730712060395,7.864168160079208,5.8111132524950495,0.5129402128995,0.1666618690942,-0.41020478117549997,-0.7296418908665,118.2564736855,52.106966456500004,-10.410742542953502,-114.39368869100001,1000.2453995000001,2,Squat,3
34.0,-0.11111389320962001,-0.07306395515776,0.05289079313416,-0.04100754187982,-0.35835808935830005,-0.35515213409083,2.2812411346745,6.45168415375,6.10036322936,0.5265392305358209,0.11722293317507462,-0.3886315123905473,-0.7428606057920398,116.44197416567164,46.533104245671645,-13.73160948861194,-114.92685721044776,1000.253601,2,Squat,3
36.0,-0.0624546111027,-0.04129895056798,0.034550389977633,-0.07661700955899,0.3496912001552,-0.08814118897684001,1.35998339993586,8.14883990014,5.59048602451,0.513825353201,0.19240458135405,-0.412378498908,-0.7241629168835,118.152959504,53.83530963485,-8.447825688155,-113.33550867100001,1000.2563475,2,Squat,3
38.0,0.1421159758170373,0.087512688033607,-0.07787259111293,-0.002003180432020002,0.3986737641907,0.04250272063903001,1.9454894823445545,7.761250495227723,6.006424427554455,0.5176059675268656,0.15272831157402986,-0.4068768951920398,-0.7313698884761194,117.62848988606964,50.77209645402985,-11.556111075343283,-114.4444396119403,1000.252266,2,Squat,3
40.0,-0.074637746235705,-0.035343337554899004,0.02915785442021,-0.119638794808667,-0.49455285134476,-0.47497578862721,2.5914290954509998,6.20746101837,6.02552186281,0.5495990464557214,0.1065457827440796,-0.39222725417810944,-0.7271744019870647,113.29773186169155,45.86174895084577,-16.0769909529403,-112.46814189552238,1000.246315,2,Squat,3
