"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.819166545E-4,2.304008789E0,2.097288666E0,9.798923035E0
2.048591666E-2,2.183659058E0,2.199076996E0,9.471104736E0
4.039079166E-2,2.240540771E0,2.182760925E0,9.402996368E0
6.029479166E-2,2.150428162E0,2.090852051E0,9.420509949E0
8.019979166E-2,2.184257813E0,1.998045044E0,9.587861938E0
1.001037917E-1,1.913321228E0,1.931732941E0,9.407487030E0
1.200077917E-1,1.756447449E0,1.983525238E0,9.390272827E0
1.399117917E-1,1.910626831E0,2.219883728E0,9.344168701E0
1.598167917E-1,2.024090881E0,2.637814636E0,9.472002869E0
1.797207917E-1,2.066452789E0,2.590363312E0,9.286688232E0
1.996247917E-1,1.823957062E0,2.054178314E0,9.714648285E0
2.195297917E-1,2.066452789E0,1.657503204E0,9.393116913E0
2.394337917E-1,2.320175171E0,2.026336212E0,9.455537109E0
2.593377917E-1,2.209405518E0,2.503244476E0,9.583221588E0
2.792417917E-1,1.861079865E0,2.390977936E0,9.473350067E0
2.991467917E-1,1.798210602E0,1.859582977E0,9.189240875E0
3.190507917E-1,1.929786987E0,1.584006042E0,9.237440643E0
3.389547917E-1,1.832339630E0,1.780397644E0,9.157057800E0
3.588587917E-1,1.863175507E0,1.969005432E0,9.271270294E0
3.787637917E-1,2.063009949E0,1.817370758E0,9.377848663E0
3.986677917E-1,2.180365906E0,1.600471802E0,9.444011078E0
4.185717917E-1,1.860780487E0,1.608704681E0,9.172176361E0
4.384757917E-1,1.716779938E0,1.912273407E0,9.111402740E0
4.583807917E-1,1.797761536E0,2.037862244E0,9.217382355E0
4.782847917E-1,1.933080139E0,1.888173523E0,9.036259003E0
4.981887917E-1,2.328108673E0,1.832489319E0,9.291927338E0
5.180927917E-1,2.709365845E0,2.022593994E0,9.334289246E0
5.379977917E-1,3.203488312E0,2.394570465E0,9.346563721E0
5.579017917E-1,3.294948120E0,2.478396149E0,9.266031189E0
5.778057917E-1,3.124153290E0,2.437381439E0,8.717272339E0
5.977097917E-1,3.101250916E0,2.368674316E0,8.766819305E0
6.176147917E-1,3.064427490E0,2.261197815E0,8.685987396E0
6.375187917E-1,3.383114777E0,2.329006805E0,8.575816498E0
6.574227917E-1,3.732787628E0,2.712060242E0,8.860674133E0
6.773267917E-1,3.950285339E0,3.216062164E0,9.169481964E0
6.972307917E-1,4.587210846E0,3.405568085E0,8.809181213E0
7.171357917E-1,5.105433197E0,3.082090759E0,8.791667633E0
7.370397917E-1,5.435197449E0,2.489922180E0,9.038504333E0
7.569437917E-1,4.904251556E0,2.225721588E0,8.527017975E0
7.768477917E-1,4.544399872E0,2.697540436E0,8.348589020E0
7.967527917E-1,4.081861725E0,3.226839752E0,8.205187225E0
8.166567917E-1,3.226989441E0,3.171604614E0,8.592581635E0
8.365607917E-1,2.384241943E0,2.857258301E0,8.624615021E0
8.564647917E-1,2.375260620E0,2.986589355E0,8.671916656E0
8.763697917E-1,3.308420105E0,3.395239563E0,8.718170471E0
8.962737917E-1,4.275109863E0,3.375929718E0,9.137598267E0
9.161777917E-1,4.756059723E0,2.848127289E0,9.042096863E0
9.360817917E-1,4.890629883E0,2.510429535E0,9.056317291E0
9.559857917E-1,4.882397003E0,2.881058807E0,8.482560425E0
9.758907917E-1,4.457580414E0,3.182232513E0,8.870553589E0
9.957947917E-1,3.779789886E0,3.008294220E0,8.995244293E0
1.015698792E0,3.436403961E0,2.768642578E0,8.724457397E0
1.035602833E0,3.230581970E0,2.791694641E0,8.574469299E0
1.055507833E0,3.136727142E0,2.841840363E0,8.577313385E0
1.075411833E0,3.425177307E0,2.674638062E0,8.494535522E0
1.095315833E0,3.730392609E0,2.811902618E0,8.383316803E0
1.115219833E0,3.707939301E0,3.352278900E0,8.734037476E0
1.135123833E0,3.684887238E0,3.767365723E0,8.770411835E0
1.155028833E0,3.448828125E0,3.581751709E0,9.077872467E0
1.174932833E0,3.224744110E0,3.001408539E0,8.833730164E0
1.194836833E0,2.874622192E0,2.805765381E0,9.119635620E0
1.214740833E0,2.771786041E0,3.505709839E0,9.375004578E0
1.234644833E0,2.475552063E0,4.221521301E0,9.607321472E0
1.254549833E0,1.784439240E0,4.057761841E0,9.730664978E0
1.274453833E0,1.110540619E0,3.396736450E0,9.541009369E0
1.294357833E0,7.924520874E-1,3.167263641E0,9.366172943E0
1.314261833E0,1.712738342E0,3.458108826E0,9.266480255E0
1.334165833E0,2.675386505E0,3.572471008E0,8.957223358E0
1.354070833E0,2.787952423E0,3.227438507E0,8.992100830E0
1.373974833E0,2.407743073E0,2.774181061E0,8.844358063E0
1.393878833E0,2.502645721E0,2.683320007E0,8.808582458E0
1.413782833E0,2.753074951E0,2.700384521E0,8.877888336E0
1.433686833E0,2.822829895E0,2.575993195E0,8.805289307E0
1.453591833E0,2.317480774E0,2.353705444E0,8.789571991E0
1.473495833E0,1.498533783E0,2.175426178E0,8.641080780E0
1.493399833E0,9.051676941E-1,2.205214233E0,8.283324738E0
1.513303833E0,8.622070313E-1,2.325563965E0,8.527467041E0
1.533207833E0,1.002165985E0,2.419418793E0,8.298742676E0
1.553112833E0,1.461710358E0,2.360890503E0,8.565937042E0
1.573016833E0,1.552122345E0,2.243684235E0,8.898844757E0
1.592920833E0,1.280736694E0,2.305655365E0,8.577163696E0
1.612824833E0,1.903890839E0,2.852617950E0,8.614585876E0
1.632728833E0,2.860102386E0,3.453917542E0,9.041498108E0
1.652633833E0,3.068918152E0,3.692221985E0,8.842412109E0
1.672537833E0,3.447181549E0,3.611090698E0,8.643176422E0
1.692441833E0,3.873794403E0,3.492088165E0,8.294401703E0
1.712345833E0,4.510869598E0,3.443738708E0,8.633296967E0
1.732249833E0,4.951403503E0,3.496429138E0,8.110883331E0
1.752154833E0,4.974305878E0,3.427272949E0,8.438252563E0
1.772058833E0,4.679419098E0,3.373085632E0,8.139922943E0
1.791962833E0,4.067192230E0,3.332969055E0,7.844587097E0
1.811866833E0,3.362906799E0,3.304528198E0,7.612120514E0
1.831770833E0,2.975961456E0,3.174748077E0,7.833659821E0
1.851674833E0,3.412154388E0,3.635789337E0,7.648195496E0
1.871579833E0,4.285288696E0,4.214934998E0,8.070167999E0
1.891483833E0,5.393733673E0,3.960464172E0,8.245004425E0
1.911387833E0,5.816753998E0,3.146157532E0,7.711364136E0
1.931291833E0,6.126310272E0,2.698588257E0,7.429799652E0
1.951195833E0,5.984105988E0,2.672392731E0,6.779252472E0
1.971099833E0,5.912704468E0,2.841840363E0,5.874533844E0
1.991004833E0,5.782624969E0,2.604284363E0,6.392307129E0
2.010908833E0,5.183121643E0,2.619851990E0,5.784720612E0
2.030812042E0,4.931794281E0,3.161276093E0,5.468727722E0
2.050716042E0,5.265749817E0,4.001778259E0,6.287974091E0
2.070620042E0,5.132975922E0,3.119213562E0,7.241341553E0
2.090524042E0,4.498894501E0,2.912343750E0,6.452631683E0
2.110429042E0,5.475613403E0,3.058140564E0,6.924300842E0
2.130333042E0,6.294859772E0,3.603905640E0,6.577621765E0
2.150237042E0,6.231242065E0,4.021237793E0,6.381828918E0
2.170141042E0,5.861959991E0,3.924688568E0,7.350464630E0
2.190045042E0,5.262007599E0,3.357368317E0,7.200476532E0
2.209949042E0,6.051316223E0,3.072810059E0,7.449558563E0
