"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.289916663E-3,2.035750522E-1,5.597276419E-2,3.358517879E-1
1.924191666E-2,1.489458320E-1,1.062455164E-1,5.681330144E-2
2.919391666E-2,1.869432320E-1,1.216508831E-1,1.792569208E-1
5.914679166E-2,2.290554638E-1,1.248718219E-1,1.146381712E-1
7.914679166E-2,1.828307390E-1,-3.679506630E-3,1.235621917E-1
9.914679166E-2,2.337588179E-1,-9.804099575E-2,1.248976958E-1
1.191467917E-1,-4.688136712E-2,-1.530074541E-1,2.276905775E-3
1.391467917E-1,-9.952662706E-2,-2.901388407E-2,-2.301697969E-2
1.591467917E-1,1.219695564E-1,2.614819291E-1,-3.426994622E-2
1.791467917E-1,1.537202297E-1,6.430329233E-1,1.118835479E-1
1.991467917E-1,6.602339700E-2,4.214645268E-1,4.547730446E-2
2.191467917E-1,-1.513583931E-1,-1.754459980E-1,2.523406845E-1
2.391467917E-1,1.867257155E-1,-4.139824297E-1,5.134147704E-2
2.591467917E-1,3.398059675E-1,8.956487194E-2,4.015224516E-2
2.791467917E-1,2.118740053E-1,4.638853455E-1,2.568143892E-1
2.991467917E-1,-9.576043546E-2,1.606215522E-1,1.498173594E-2
3.191467917E-1,-5.408469826E-2,-3.509408203E-1,-2.546234375E-1
3.391467917E-1,6.574039176E-2,-4.891185661E-1,-1.192685813E-1
3.591467917E-1,-4.923969537E-2,-2.398918162E-1,-2.261030585E-1
3.791467917E-1,2.015476763E-2,-1.197194016E-1,-1.284124571E-1
3.991467917E-1,1.867530513E-1,-3.271351974E-1,-5.827919841E-3
4.191467917E-1,1.657159388E-1,-5.386438979E-1,7.115184367E-2
4.391467917E-1,-2.480030738E-1,-4.593205704E-1,-2.329940021E-1
4.591467917E-1,-4.154487652E-1,-1.601097746E-1,-2.542275810E-1
4.791467917E-1,-4.280840135E-1,-1.525939098E-1,-5.856571198E-2
4.991467917E-1,-3.493262579E-1,-3.217026955E-1,-2.225157917E-1
5.191467917E-1,-7.885321140E-2,-3.197760379E-1,1.225804442E-1
5.391467917E-1,2.365757141E-1,-3.628372729E-2,1.147720724E-1
5.591467917E-1,5.361054754E-1,2.866375279E-1,1.448764622E-1
5.791467917E-1,4.101365697E-1,2.910594848E-1,7.093549669E-2
5.991467917E-1,1.090950108E-1,2.037044218E-1,-4.216017902E-1
6.191467917E-1,-3.041721582E-3,7.692816183E-2,-1.823939520E-1
6.391467917E-1,-1.581186515E-1,-4.487752631E-2,-3.632150030E-1
6.591467917E-1,4.965192407E-2,3.082198933E-2,-2.354416466E-1
6.791467917E-1,1.332741246E-1,4.493699250E-1,1.396455431E-1
6.991467917E-1,2.975115949E-1,8.358471984E-1,4.377032679E-1
7.191467917E-1,8.662530121E-1,8.707857737E-1,7.545890272E-2
7.391467917E-1,1.293411996E0,4.022989619E-1,2.109687102E-1
7.591467917E-1,1.487158025E0,-2.205061036E-1,3.970966941E-1
7.791467917E-1,9.677621377E-1,-3.223195767E-1,-2.080819398E-1
7.991467917E-1,7.201489270E-1,2.471147355E-1,-4.104067111E-1
8.191467917E-1,2.906294221E-1,6.241385230E-1,-3.621478862E-1
8.391467917E-1,-5.777335578E-1,3.916046968E-1,-1.886118811E-1
8.591467917E-1,-1.243229437E0,9.391885489E-2,-4.360736489E-2
8.791467917E-1,-1.057821538E0,3.166635650E-1,-9.958217561E-2
