"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
9.289916663E-3,8.918869944E-1,1.417297468E-1,-4.822142110E-2,4.267612021E-1,5.377733615E1,1.249420405E1,-1.194576075E1,4.982917178E1
1.924191666E-2,8.919444195E-1,1.416760992E-1,-4.797312875E-2,4.266867496E-1,5.376278417E1,1.250119717E1,-1.191623006E1,4.982103550E1
2.919391666E-2,8.919398466E-1,1.416391996E-1,-4.776275276E-2,4.267322050E-1,5.376394312E1,1.250659923E1,-1.189313960E1,4.982800518E1
3.914679166E-2,8.919457893E-1,1.415341697E-1,-4.745876861E-2,4.267885554E-1,5.376243701E1,1.250902131E1,-1.185710893E1,4.983733514E1
4.909879166E-2,8.920263108E-1,1.412562059E-1,-4.690894717E-2,4.267730242E-1,5.374202594E1,1.250557928E1,-1.178599083E1,4.983991581E1
5.905079166E-2,8.921998716E-1,1.407741197E-1,-4.606399768E-2,4.266615880E-1,5.369800633E1,1.249558988E1,-1.167279989E1,4.983315563E1
6.900279166E-2,8.924446394E-1,1.402146677E-1,-4.501213352E-2,4.264462387E-1,5.363586987E1,1.248846400E1,-1.153284869E1,4.981462485E1
7.895579166E-2,8.927207855E-1,1.396824479E-1,-4.395444782E-2,4.261529809E-1,5.356568764E1,1.248546208E1,-1.139257364E1,4.978597938E1
8.890779167E-2,8.929805576E-1,1.391700792E-1,-4.303430836E-2,4.258702809E-1,5.349958903E1,1.247789581E1,-1.126776442E1,4.975801229E1
9.885979166E-2,8.931639596E-1,1.386528952E-1,-4.228445270E-2,4.257294472E-1,5.345287708E1,1.245998396E1,-1.116243361E1,4.974754196E1
1.088117917E-1,8.932358411E-1,1.381358798E-1,-4.172187657E-2,4.258023823E-1,5.343455877E1,1.243062997E1,-1.107957411E1,4.976360233E1
1.187637917E-1,8.931939261E-1,1.376447742E-1,-4.136022500E-2,4.260844501E-1,5.344524113E1,1.239202753E1,-1.102177236E1,4.980529169E1
1.287157917E-1,8.930663054E-1,1.372313399E-1,-4.123154540E-2,4.264975735E-1,5.347775403E1,1.234912392E1,-1.099379433E1,4.986206873E1
1.386677917E-1,8.928977391E-1,1.369652616E-1,-4.134814993E-2,4.269244157E-1,5.352067029E1,1.231012870E1,-1.099871429E1,4.991833154E1
1.486207917E-1,8.927361481E-1,1.369486979E-1,-4.169002409E-2,4.272342794E-1,5.356178077E1,1.228838901E1,-1.103769332E1,4.995665152E1
1.585727917E-1,8.925802890E-1,1.372892655E-1,-4.225097757E-2,4.273954489E-1,5.360140530E1,1.229600809E1,-1.111497269E1,4.997212816E1
1.685247917E-1,8.924477793E-1,1.379636151E-1,-4.302390862E-2,4.273780844E-1,5.363507234E1,1.233126299E1,-1.122827579E1,4.996112347E1
1.784767917E-1,8.923592709E-1,1.387739304E-1,-4.392882253E-2,4.272084012E-1,5.365754896E1,1.237668771E1,-1.135990814E1,4.992889529E1
1.884287917E-1,8.922961982E-1,1.396455957E-1,-4.477672756E-2,4.269680166E-1,5.367356092E1,1.243234790E1,-1.148764443E1,4.988728231E1
1.983807917E-1,8.922327250E-1,1.404545096E-1,-4.542874985E-2,4.267663861E-1,5.368967006E1,1.249021457E1,-1.159243380E1,4.985191084E1
2.083327917E-1,8.921711063E-1,1.410547545E-1,-4.587983703E-2,4.266490493E-1,5.370530426E1,1.253434490E1,-1.166722313E1,4.982989926E1
2.182847917E-1,8.921452914E-1,1.413699655E-1,-4.615807472E-2,4.265686542E-1,5.371185291E1,1.255582844E1,-1.171053897E1,4.981574833E1
2.282377917E-1,8.921779552E-1,1.414159583E-1,-4.619877804E-2,4.264807780E-1,5.370356674E1,1.255995015E1,-1.171580693E1,4.980391906E1
2.381897917E-1,8.922786862E-1,1.412162507E-1,-4.591847515E-2,4.263663914E-1,5.367800582E1,1.255338506E1,-1.167522644E1,4.979211444E1
2.481417917E-1,8.924265162E-1,1.408425399E-1,-4.532038503E-2,4.262446081E-1,5.364047287E1,1.254336778E1,-1.159292579E1,4.978217281E1
2.580937917E-1,8.925941764E-1,1.404204023E-1,-4.449484944E-2,4.261197692E-1,5.359787577E1,1.253895482E1,-1.148453940E1,4.977323064E1
2.680457917E-1,8.927612254E-1,1.400323247E-1,-4.353850584E-2,4.259961314E-1,5.355540273E1,1.254431336E1,-1.136423715E1,4.976476940E1
2.779977917E-1,8.929019959E-1,1.397088845E-1,-4.257556099E-2,4.259047570E-1,5.351958691E1,1.255645129E1,-1.124688292E1,4.976001427E1
2.879497917E-1,8.930104397E-1,1.394785467E-1,-4.172358878E-2,4.258371113E-1,5.349198072E1,1.257296074E1,-1.114598522E1,4.975710691E1
2.979017917E-1,8.931130673E-1,1.392914410E-1,-4.106343743E-2,4.257472964E-1,5.346584300E1,1.258529046E1,-1.106686825E1,4.975019005E1
3.078547917E-1,8.932310996E-1,1.391169162E-1,-4.062089025E-2,4.255992556E-1,5.343576728E1,1.258939877E1,-1.101020302E1,4.973474003E1
3.178067917E-1,8.933879069E-1,1.389610677E-1,-4.036882049E-2,4.253447518E-1,5.339578704E1,1.258779228E1,-1.097278759E1,4.970463378E1
3.277587917E-1,8.935868190E-1,1.388115781E-1,-4.027794661E-2,4.249843331E-1,5.334503167E1,1.258053837E1,-1.095098537E1,4.966018154E1
3.377107917E-1,8.938120728E-1,1.386091573E-1,-4.033938618E-2,4.245705142E-1,5.328750072E1,1.256111620E1,-1.094171859E1,4.960860740E1
3.476627917E-1,8.940382328E-1,1.384253865E-1,-4.059158239E-2,4.241302483E-1,5.322968035E1,1.253503328E1,-1.095287992E1,4.955261749E1
3.576147917E-1,8.942506318E-1,1.383785245E-1,-4.108789841E-2,4.236497110E-1,5.317532506E1,1.251256944E1,-1.099561113E1,4.948924988E1
3.675667917E-1,8.944480055E-1,1.385299634E-1,-4.187106588E-2,4.231064802E-1,5.312476870E1,1.249859935E1,-1.107704660E1,4.941496816E1
3.775187917E-1,8.946447681E-1,1.389263545E-1,-4.287711115E-2,4.224592522E-1,5.307432444E1,1.250170739E1,-1.119221212E1,4.932442089E1
3.874717917E-1,8.948606653E-1,1.395477834E-1,-4.398869740E-2,4.216820432E-1,5.301892338E1,1.252571962E1,-1.132751847E1,4.921495381E1
3.974237917E-1,8.951122820E-1,1.403884181E-1,-4.511343347E-2,4.207492491E-1,5.295428858E1,1.257479287E1,-1.147263087E1,4.908370058E1
4.073757917E-1,8.953949609E-1,1.414073867E-1,-4.625312113E-2,4.196815430E-1,5.288158715E1,1.264435519E1,-1.162596175E1,4.893356369E1
4.173277917E-1,8.956978703E-1,1.425224869E-1,-4.751377552E-2,4.185155505E-1,5.280357960E1,1.272037155E1,-1.179506441E1,4.876941450E1
4.272797917E-1,8.960152361E-1,1.437432756E-1,-4.904258396E-2,4.172402711E-1,5.272173423E1,1.279739240E1,-1.199561158E1,4.858909747E1
4.372317917E-1,8.963515679E-1,1.451245438E-1,-5.099211805E-2,4.158036536E-1,5.263486876E1,1.287528653E1,-1.224546723E1,4.838480936E1
4.471837917E-1,8.967126821E-1,1.466434530E-1,-5.341817494E-2,4.141841188E-1,5.254145422E1,1.294983326E1,-1.254910651E1,4.815376813E1
4.571367917E-1,8.970957127E-1,1.483005775E-1,-5.627034174E-2,4.123830997E-1,5.244220135E1,1.302397301E1,-1.290134912E1,4.789640806E1
4.670887917E-1,8.974956863E-1,1.500311798E-1,-5.946006792E-2,4.104346509E-1,5.233837148E1,1.309484477E1,-1.329037777E1,4.761810074E1
4.770407917E-1,8.979430540E-1,1.516251367E-1,-6.282350760E-2,4.083640395E-1,5.222201118E1,1.314717393E1,-1.368951620E1,4.732492988E1
4.869927917E-1,8.984765067E-1,1.529193611E-1,-6.614421565E-2,4.061778403E-1,5.208294429E1,1.317298364E1,-1.406857084E1,4.702043964E1
4.969447917E-1,8.991039890E-1,1.539268024E-1,-6.927593196E-2,4.038802470E-1,5.191892122E1,1.317995279E1,-1.441293364E1,4.670572007E1
5.068967917E-1,8.997894232E-1,1.547965554E-1,-7.224754820E-2,4.014938503E-1,5.173919672E1,1.318245625E1,-1.473299294E1,4.638199173E1
5.168487917E-1,9.006324655E-1,1.556329148E-1,-7.530688520E-2,3.987085969E-1,5.151734613E1,1.318612362E1,-1.505534802E1,4.600773957E1
5.268007917E-1,9.013491937E-1,1.566021000E-1,-7.852920406E-2,3.960791603E-1,5.132803327E1,1.319698845E1,-1.540368518E1,4.565166285E1
5.367527917E-1,9.020728973E-1,1.577608565E-1,-8.196702503E-2,3.932650574E-1,5.113621525E1,1.322509488E1,-1.578117740E1,4.526932703E1
5.467057917E-1,9.028177585E-1,1.590670795E-1,-8.546672284E-2,3.902731791E-1,5.093808597E1,1.327284933E1,-1.616956575E1,4.486234265E1
5.566577917E-1,9.035993718E-1,1.604991135E-1,-8.886322146E-2,3.871064756E-1,5.072940456E1,1.334519379E1,-1.655012134E1,4.443150583E1
