"Time (s)","X (hPa)"
-5.249284999E-1,1.018581009E3
5.067275000E-1,1.018584137E3
1.538367500E0,1.018587189E3
2.570036500E0,1.018594208E3
3.601672500E0,1.018594666E3
3.795455500E0,1.018594208E3
4.860355500E0,1.018594589E3
5.925262500E0,1.018594131E3
6.990194500E0,1.018591385E3
8.055136500E0,1.018589935E3
9.120091500E0,1.018588943E3
1.018506950E1,1.018587189E3
1.125002250E1,1.018586960E3
1.231500950E1,1.018585968E3
1.337996450E1,1.018584900E3
1.444493250E1,1.018584061E3
1.550987550E1,1.018583069E3
1.657488650E1,1.018581161E3
1.763986050E1,1.018579636E3
1.870487250E1,1.018577347E3
1.976987650E1,1.018574371E3
2.083488650E1,1.018572311E3
2.189995050E1,1.018567886E3
2.296497450E1,1.018567047E3
2.403001750E1,1.018562393E3
2.509506950E1,1.018560944E3
2.616007250E1,1.018557816E3
2.722508650E1,1.018557129E3
2.829008850E1,1.018556442E3
2.935513450E1,1.018556442E3
3.042016350E1,1.018555222E3
3.148520250E1,1.018556366E3
3.255030550E1,1.018555222E3
3.361533650E1,1.018555832E3
3.468039950E1,1.018555603E3
3.574539550E1,1.018555603E3
3.681045350E1,1.018555069E3
3.787547650E1,1.018553162E3
4.095557938E1,1.018520050E3
4.198732038E1,1.018517456E3
4.301911638E1,1.018520050E3
4.405085938E1,1.018517914E3
4.508257537E1,1.018520203E3
4.527625137E1,1.018518143E3
4.634123937E1,1.018520432E3
4.740624538E1,1.018519669E3
4.847125737E1,1.018520050E3
4.953624537E1,1.018519669E3
5.060129138E1,1.018519211E3
5.166636737E1,1.018519211E3
5.273142137E1,1.018519669E3
5.379651438E1,1.018520889E3
5.486156237E1,1.018519821E3
5.592662238E1,1.018520050E3
5.699167238E1,1.018519821E3
5.805674737E1,1.018519440E3
5.912180437E1,1.018519440E3
6.018686438E1,1.018518753E3
6.125192237E1,1.018518219E3
6.231704838E1,1.018517914E3
6.338218737E1,1.018516006E3
6.444729937E1,1.018515701E3
6.551236637E1,1.018513336E3
6.657744937E1,1.018513107E3
6.764252938E1,1.018512955E3
6.870754337E1,1.018512039E3
6.977255738E1,1.018512039E3
7.083759237E1,1.018512268E3
7.190266037E1,1.018512344E3
7.296772737E1,1.018513184E3
7.403280937E1,1.018513489E3
7.509787038E1,1.018514175E3
7.616294837E1,1.018514404E3
7.722798237E1,1.018514175E3
7.829298338E1,1.018513107E3
7.935799438E1,1.018511810E3
8.042301837E1,1.018509140E3
8.148804137E1,1.018504486E3
8.394819579E1,1.018442154E3
8.497980579E1,1.018442688E3
8.601142679E1,1.018443222E3
8.704302279E1,1.018445587E3
8.807468279E1,1.018456650E3
8.826856779E1,1.018457184E3
8.933348279E1,1.018461151E3
9.039837879E1,1.018461304E3
9.146328679E1,1.018464050E3
9.252819379E1,1.018464050E3
9.359310379E1,1.018464508E3
9.465809379E1,1.018464050E3
9.572307479E1,1.018464508E3
9.678804079E1,1.018464508E3
9.785295779E1,1.018464661E3
9.891790679E1,1.018465805E3
9.998290279E1,1.018467255E3
1.010479208E2,1.018468704E3
1.021128798E2,1.018471756E3
1.031778688E2,1.018472290E3
1.042428568E2,1.018472977E3
1.053078438E2,1.018473511E3
1.063728828E2,1.018473511E3
1.074378968E2,1.018473511E3
1.085028808E2,1.018472900E3
1.095678268E2,1.018472290E3
1.106328168E2,1.018472290E3
1.116977958E2,1.018471756E3
1.127627488E2,1.018470612E3
1.138277748E2,1.018470383E3
1.148927708E2,1.018470154E3
1.159577328E2,1.018469315E3
1.170226958E2,1.018468704E3
1.180876668E2,1.018467865E3
1.191526548E2,1.018467178E3
1.202176468E2,1.018467178E3
1.212825818E2,1.018467178E3
1.223475718E2,1.018468018E3
1.234125618E2,1.018469162E3
1.244775538E2,1.018469315E3
1.255425028E2,1.018469315E3
1.266074698E2,1.018468246E3
