"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.297125015E-3,3.825542331E-2,1.304139048E-1,1.956673712E-2
1.624712499E-2,3.895370290E-2,1.019010395E-1,2.196171694E-2
2.619712509E-2,1.249979995E-2,4.917050898E-2,2.155815251E-2
5.614812507E-2,-7.596944924E-3,-2.654209547E-2,2.916866727E-2
7.614812507E-2,-4.622326791E-2,-1.395484954E-1,6.010575965E-2
9.614812507E-2,-2.367656678E-2,3.035145113E-3,7.046378404E-2
1.161481251E-1,-3.796154633E-2,9.987781942E-2,2.419333160E-2
1.361481251E-1,-4.874256998E-2,1.016551256E-1,-3.930041566E-5
1.561481251E-1,-6.511203200E-2,1.233003512E-1,2.174956910E-2
1.761481251E-1,-6.554611027E-2,4.475431517E-2,2.053104714E-2
1.961481251E-1,-1.054904833E-1,-1.179250032E-1,-1.538378187E-3
2.161481251E-1,-1.224075034E-1,-5.269137770E-2,1.070599630E-2
2.361481251E-1,-7.758535445E-2,1.060490534E-1,4.665113613E-2
2.561481251E-1,-6.871101260E-2,6.238577142E-2,6.659894437E-2
2.761481251E-1,-1.197371557E-1,1.727651991E-2,1.596256942E-1
2.961481251E-1,-1.184461415E-1,-2.386804484E-2,1.840485632E-1
3.161481251E-1,-1.963723600E-1,-1.945468336E-1,1.011619419E-1
3.361481251E-1,-2.790046334E-1,-3.824711442E-1,-3.494159319E-5
3.561481251E-1,-3.496023715E-1,-7.044410110E-1,3.300473094E-2
3.761481251E-1,-3.817625642E-1,-1.008033037E0,1.022161096E-1
3.961481251E-1,-4.185706973E-1,-1.286937475E0,-2.076816186E-2
4.161481251E-1,-4.514820576E-1,-1.600963831E0,-2.199305296E-1
4.361481251E-1,-5.614571571E-1,-2.046830416E0,-2.902357876E-1
4.561481251E-1,-6.595737934E-1,-2.580425024E0,-1.685966551E-1
4.761481251E-1,-5.315157175E-1,-2.665605307E0,1.913821697E-2
4.961481251E-1,-4.665671289E-1,-2.657039881E0,6.988923252E-2
5.161481251E-1,-3.981941342E-1,-2.798373461E0,-1.752877235E-1
5.361481251E-1,-4.370310307E-1,-3.038461685E0,-3.420549929E-1
5.561481251E-1,-3.133939207E-1,-3.280407667E0,-1.527292430E-1
5.761481251E-1,-3.063764572E-1,-3.127297401E0,-1.603474654E-2
5.961481251E-1,-3.566915989E-1,-2.429681540E0,-5.455499887E-2
6.161481251E-1,-4.620766640E-1,-1.528014064E0,1.331735495E-2
6.361481251E-1,-5.012463927E-1,-8.174795508E-1,1.975513995E-1
6.561481251E-1,-5.513618588E-1,-3.196147382E-1,2.372114062E-1
6.761481251E-1,-6.024232507E-1,3.518850543E-3,9.631351382E-2
6.961481251E-1,-5.747038722E-1,-1.004810035E-1,-5.587489530E-2
7.161481251E-1,-5.510697961E-1,-2.975427806E-1,-1.360497028E-1
7.361481251E-1,-5.250763893E-1,-3.806600273E-1,-1.957668811E-1
7.561481251E-1,-4.253625572E-1,-3.557193279E-1,-2.317591012E-1
7.761481251E-1,-2.547609210E-1,-3.424949050E-1,-2.896252871E-1
7.961481251E-1,7.797009498E-2,-6.867249608E-1,-4.176847339E-1
8.161481251E-1,2.974156141E-1,-1.319710016E0,-4.807320237E-1
8.361481251E-1,3.425582051E-1,-1.756731272E0,-4.998079240E-1
8.561481251E-1,4.397890568E-1,-1.840769768E0,-4.543559253E-1
8.761481251E-1,5.881264210E-1,-2.105710745E0,-2.006621063E-1
8.961481251E-1,6.195760369E-1,-2.330402374E0,2.775860131E-1
9.161481251E-1,5.988089442E-1,-2.410181046E0,2.681240737E-1
9.361481251E-1,4.509461224E-1,-1.992370844E0,4.133407176E-1
9.561481251E-1,4.552825689E-1,-1.422030091E0,3.367751241E-1
9.761481251E-1,4.654554725E-1,-9.890018106E-1,1.704807431E-1
9.961481251E-1,3.340829015E-1,-4.572697878E-1,-2.127419412E-1
1.016148125E0,2.048408389E-1,2.203425765E-1,-4.010775983E-1
1.036148125E0,2.237890959E-1,5.467557907E-1,-2.791416347E-1
1.056148125E0,3.237814307E-1,3.278308511E-1,-1.475097239E-1
1.076148125E0,3.039422333E-1,-5.323982611E-2,-1.749310791E-1
1.096148125E0,2.449818850E-1,-2.674027681E-1,-2.604696155E-1
1.116148125E0,2.473579347E-1,-3.854417205E-1,-3.285998106E-1
1.136148125E0,2.714042366E-1,-4.631963372E-1,-3.165304661E-1
1.156148125E0,3.161655664E-1,-4.229282141E-1,-2.465514988E-1
1.176148125E0,3.177529275E-1,-4.303146005E-1,-2.306935340E-1
1.196148125E0,1.549191922E-1,-4.324462712E-1,-3.055348992E-1
1.216148125E0,8.452017605E-2,-3.859908879E-1,-4.223708510E-1
1.236148125E0,1.844069064E-1,-1.319947690E-1,-4.078676105E-1
1.256148125E0,2.525567114E-1,4.523193091E-2,-2.562782168E-1
1.276148125E0,2.049189806E-1,2.451532632E-1,-1.079174355E-1
1.296148125E0,9.988176823E-2,3.962426484E-1,-3.566882014E-2
1.316148125E0,-1.227661408E-2,3.693882525E-1,1.326442212E-1
1.336148125E0,-6.753695756E-2,4.082705081E-1,3.935601115E-1
1.356148125E0,-6.271984428E-2,5.676442981E-1,6.158660054E-1
1.376148125E0,-1.533080339E-1,7.259900570E-1,7.826563120E-1
1.396148125E0,-2.707773745E-1,6.776114702E-1,9.587714076E-1
1.416148125E0,-2.696349323E-1,5.943993926E-1,1.106875181E0
1.436148125E0,-2.530766428E-1,6.969881058E-1,1.217793226E0
1.456148125E0,-3.539529145E-1,8.482974768E-1,1.368677020E0
1.476148125E0,-4.872312844E-1,6.855878830E-1,1.557797551E0
1.496148125E0,-6.477892995E-1,3.665897846E-1,1.767304420E0
1.516148125E0,-7.373746634E-1,2.734306753E-1,1.862013578E0
1.536148125E0,-6.991885304E-1,2.011809200E-1,1.886935830E0
1.556148125E0,-6.743620038E-1,1.177192330E-1,1.932245731E0
1.576148125E0,-6.983776689E-1,1.980890036E-1,1.831780195E0
1.596148125E0,-7.490652204E-1,5.179216266E-1,1.633705974E0
1.616148125E0,-8.549488783E-1,6.957460642E-1,1.514659524E0
1.636148125E0,-1.035154462E0,7.661347389E-1,1.564365864E0
1.656148125E0,-1.041453362E0,1.043009162E0,1.468976855E0
1.676148125E0,-8.260453343E-1,1.099361420E0,1.085737228E0
1.696148125E0,-7.812566161E-1,8.739921451E-1,9.243810773E-1
1.716148125E0,-7.335355282E-1,8.700488806E-1,1.135396481E0
1.736148125E0,-7.038827538E-1,6.701371670E-1,1.471564770E0
1.756148125E0,-7.497954369E-1,3.202596009E-1,1.494464993E0
1.776148125E0,-6.840509772E-1,3.722788692E-1,1.195673347E0
