"Time (s)","X (hPa)"
-5.494663333E-1,9.992904663E2
4.819706667E-1,9.992887878E2
1.513418667E0,9.992870331E2
2.544900667E0,9.992837524E2
3.576413667E0,9.992830658E2
3.770528667E0,9.992786407E2
4.835257667E0,9.992785645E2
5.899988667E0,9.992785645E2
6.964789667E0,9.992897034E2
8.029559667E0,9.993061066E2
9.094334667E0,9.993236542E2
1.015911467E1,9.993422699E2
1.122387767E1,9.993575287E2
1.228863867E1,9.993652344E2
1.335338667E1,9.993683624E2
1.441813967E1,9.993709564E2
1.548294067E1,9.993762207E2
1.654773667E1,9.993800354E2
1.761256567E1,9.993850708E2
1.867743267E1,9.993872070E2
1.974224967E1,9.993912506E2
2.080709167E1,9.993925476E2
2.187200467E1,9.993954468E2
2.293686267E1,9.993976593E2
2.400169767E1,9.993984985E2
2.506655067E1,9.994011688E2
2.613141267E1,9.994026184E2
2.719625467E1,9.994051361E2
2.826108667E1,9.994067383E2
2.932590467E1,9.994097137E2
3.039075267E1,9.994127655E2
3.145556767E1,9.994145203E2
3.252036767E1,9.994176483E2
3.358516567E1,9.994186401E2
3.464996267E1,9.994188690E2
3.571474867E1,9.994191742E2
3.677954667E1,9.994194794E2
3.784432267E1,9.994198608E2
3.890913467E1,9.994208527E2
3.997393467E1,9.994230652E2
4.103876967E1,9.994258881E2
4.210359567E1,9.994286346E2
4.316841167E1,9.994305420E2
4.423327667E1,9.994319153E2
4.529808867E1,9.994321442E2
4.636292267E1,9.994321442E2
4.742774567E1,9.994316864E2
4.849256567E1,9.994304657E2
4.955743667E1,9.994274902E2
5.062229067E1,9.994270325E2
5.168718567E1,9.994258118E2
5.275203567E1,9.994249725E2
5.381689067E1,9.994247437E2
5.488175467E1,9.994247437E2
5.594664767E1,9.994213867E2
5.701152167E1,9.994193268E2
5.967566067E1,9.993870544E2
6.070732267E1,9.993881226E2
6.173899367E1,9.993891144E2
6.277066667E1,9.994036865E2
6.380235167E1,9.994432831E2
6.399618767E1,9.994602203E2
6.506112667E1,9.994697571E2
6.612603767E1,9.994832611E2
6.719096067E1,9.995027924E2
6.825590567E1,9.995090485E2
6.932086767E1,9.995165253E2
7.038586467E1,9.995246124E2
7.145081067E1,9.995368958E2
7.251578567E1,9.995481110E2
7.358072067E1,9.995636749E2
7.464566467E1,9.995735931E2
7.571061867E1,9.995769501E2
7.677553267E1,9.995769501E2
7.784044367E1,9.995725250E2
7.890542867E1,9.995635986E2
7.997041567E1,9.995564270E2
8.103539167E1,9.995514679E2
8.210036767E1,9.995488739E2
8.316531867E1,9.995488739E2
8.423022167E1,9.995501709E2
8.529515167E1,9.995531464E2
8.636011267E1,9.995564270E2
8.742506067E1,9.995579529E2
8.849001167E1,9.995579529E2
8.955493067E1,9.995566559E2
9.061987567E1,9.995524597E2
9.168481767E1,9.995446014E2
9.274976567E1,9.995378876E2
9.381469267E1,9.995321655E2
9.487959767E1,9.995253754E2
9.594447567E1,9.995201111E2
9.700939767E1,9.995168304E2
9.807436267E1,9.995126343E2
9.913933767E1,9.995098114E2
1.002042847E2,9.995083618E2
1.012692567E2,9.995031738E2
1.023341947E2,9.994973755E2
1.033990897E2,9.994928741E2
1.044639767E2,9.994891357E2
1.074804564E2,9.994298553E2
1.085121884E2,9.994319153E2
1.095438614E2,9.994341278E2
1.105755764E2,9.994341278E2
1.116073174E2,9.994304657E2
1.118011174E2,9.994245911E2
1.128661274E2,9.994224548E2
1.139311114E2,9.994197083E2
1.149961204E2,9.994100189E2
1.160611374E2,9.994100189E2
1.171261344E2,9.994157410E2
1.181911324E2,9.994264221E2
1.192561704E2,9.994390106E2
1.203211374E2,9.994577789E2
1.213861174E2,9.994763184E2
1.224511214E2,9.994798279E2
1.235160664E2,9.994804382E2
1.245810594E2,9.994811249E2
1.256460024E2,9.994811249E2
1.267110274E2,9.994777679E2
1.277760614E2,9.994736481E2
1.288410564E2,9.994704437E2
1.299061134E2,9.994657898E2
1.309711104E2,9.994608307E2
1.320361074E2,9.994608307E2
1.331011174E2,9.994627380E2
1.341660914E2,9.994699097E2
1.352310324E2,9.994785309E2
1.362960184E2,9.994889069E2
1.373609894E2,9.994965363E2
1.384259884E2,9.995044708E2
1.394909774E2,9.995087433E2
1.405559734E2,9.995140839E2
1.416209664E2,9.995143890E2
1.426859614E2,9.995143890E2
1.437509014E2,9.995103455E2
1.448158534E2,9.995056915E2
1.458808134E2,9.994979095E2
1.469457734E2,9.994927216E2
1.480107524E2,9.994927216E2
1.490757674E2,9.994940948E2
1.501408154E2,9.994995880E2
1.512058264E2,9.995031738E2
1.522708114E2,9.995034790E2
1.533357834E2,9.995040131E2
1.544007184E2,9.995040131E2
