"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.531274996E-2,4.488403134E-2,9.958743811E-2,3.670940459E-2
3.526375000E-2,5.254973106E-2,4.535802126E-2,1.242942631E-1
4.521474999E-2,1.254706498E-1,1.344801128E-2,1.645248610E-1
7.516474997E-2,1.816975486E-1,-1.612486660E-2,2.092338413E-1
9.516474997E-2,2.249670906E-1,-5.946676791E-2,2.278203857E-1
1.151647500E-1,1.787783262E-1,-7.207278013E-2,2.186846960E-1
1.351647500E-1,1.534636831E-1,-1.488069606E-1,2.262568402E-1
1.551647500E-1,1.244447558E-1,-1.327744800E-1,1.416721880E-1
1.751647500E-1,1.010523118E-1,-1.608919859E-2,2.017172456E-2
1.951647500E-1,1.149550172E-1,-4.564628899E-2,7.285747647E-2
2.151647500E-1,2.959809400E-2,-8.960448682E-2,2.490621507E-2
2.351647500E-1,-8.057039246E-2,-4.873946607E-2,-1.699493229E-2
2.551647500E-1,-1.470903642E-2,-9.005647659E-2,-1.663065076E-2
2.751647500E-1,1.560933953E-1,-2.254762369E-1,1.654995918E-1
2.951647500E-1,1.735605633E-1,-3.256051272E-1,2.355504048E-1
3.151647500E-1,3.314780706E-1,3.059906423E-2,7.950874275E-1
3.351647500E-1,8.219371840E-1,-2.399937040E-1,2.860229856E-1
3.551647500E-1,5.991466463E-2,-4.616002536E-1,3.412750804E-1
3.751647500E-1,-9.362685956E-1,-4.207749939E-1,1.619854152E-1
3.951647500E-1,-1.244968399E0,-6.509763658E-2,-3.299022460E-1
4.151647500E-1,-1.298998134E0,2.138081181E-1,-1.484765929E-1
4.351647500E-1,-1.177200339E0,-2.406351435E-1,9.364900589E-3
4.551647500E-1,-8.859611987E-1,-1.137990957E0,2.314836663E-1
4.751647500E-1,-3.787621282E-1,-1.168429808E0,2.405924588E-1
4.951647500E-1,5.484792801E-1,1.458096778E-1,1.182991129E-1
5.151647500E-1,1.472056713E0,7.472887784E-1,1.076542568E-1
5.351647500E-1,1.566872239E0,-6.784571099E-1,2.718908501E-1
5.551647500E-1,5.121777188E-1,-1.825577910E0,1.421592611E-1
5.751647500E-1,-7.672198901E-1,-1.520348575E0,-1.699826521E-1
5.951647500E-1,-1.290790689E0,-2.443533880E-1,-4.878963518E-1
6.151647500E-1,-9.569707357E-1,1.386269581E-1,-1.457126141E-1
6.351647500E-1,-3.360756632E-1,-6.270571607E-1,3.211197281E-1
6.551647500E-1,-4.319477074E-2,-9.639076531E-1,7.875790179E-1
