"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.168087497E-2,2.518812103E0,9.170380096E0,3.024310913E0
3.158187505E-2,2.048639832E0,9.163494415E0,3.141966248E0
5.148287502E-2,1.943708038E0,9.171128540E0,3.061882782E0
7.138387498E-2,2.153871002E0,9.204359436E0,3.016976166E0
9.128487506E-2,2.501597900E0,9.093889160E0,3.004851379E0
1.111858750E-1,2.539918213E0,9.125772858E0,3.208877106E0
1.310858750E-1,2.402503967E0,9.208700409E0,3.255430298E0
1.509868751E-1,2.201621704E0,9.215586090E0,3.124153290E0
1.708878750E-1,2.043251038E0,9.143735504E0,2.986439667E0
1.907888750E-1,2.163151703E0,9.030121765E0,2.833457794E0
2.106898751E-1,2.320923615E0,9.116342468E0,3.127446442E0
2.305908750E-1,2.498753815E0,9.108858032E0,3.237467651E0
2.504918750E-1,2.347268829E0,8.988059235E0,3.241509247E0
2.703928751E-1,2.173629913E0,8.986712036E0,3.124003601E0
2.902928750E-1,2.011217651E0,9.061706085E0,3.074306946E0
3.101938750E-1,2.124681702E0,9.066795502E0,3.089425507E0
3.300948751E-1,2.185006256E0,9.019942932E0,3.209775238E0
3.499958750E-1,2.008672943E0,8.924740906E0,3.461701355E0
3.698968750E-1,1.908830566E0,8.860075378E0,3.632196808E0
3.897978750E-1,1.948198700E0,8.804241486E0,3.565735016E0
4.096988750E-1,1.534758453E0,9.239087219E0,3.419189758E0
4.295998750E-1,1.764979706E0,9.193731537E0,3.190465393E0
4.494998750E-1,1.881736908E0,8.791517944E0,3.231480103E0
4.694008750E-1,1.504671021E0,8.523126068E0,3.442391510E0
4.893018750E-1,1.126407623E0,8.405021667E0,3.642225952E0
5.092028750E-1,9.151968384E-1,8.660091248E0,3.340004425E0
5.291038750E-1,1.370100861E0,9.013805695E0,3.462150421E0
5.490048750E-1,1.887874146E0,8.849597168E0,3.575614471E0
5.689058750E-1,1.779200134E0,8.516689453E0,3.706891479E0
5.888068751E-1,1.588646393E0,8.621172180E0,3.710933075E0
6.087068750E-1,1.956281891E0,8.804540863E0,3.927083588E0
6.286078750E-1,2.529889069E0,8.625213776E0,4.287833405E0
6.485088750E-1,2.111509094E0,8.357869720E0,4.502487030E0
6.684098750E-1,1.363514557E0,8.312214661E0,4.403243408E0
6.883108750E-1,1.269210663E0,8.302335205E0,4.496050415E0
7.082118751E-1,1.604962463E0,8.185727692E0,4.886288910E0
7.281128750E-1,1.861678619E0,8.283773804E0,5.155279541E0
7.480138750E-1,1.952988739E0,8.544381866E0,5.287155304E0
7.679138751E-1,2.315834198E0,8.722661133E0,5.256918182E0
7.878148750E-1,2.900668030E0,8.576265564E0,5.206622772E0
8.077158750E-1,2.807711334E0,7.917934570E0,5.255421295E0
8.276168751E-1,2.278561707E0,7.285649414E0,5.262905731E0
8.475178750E-1,1.753603363E0,7.360493774E0,4.796325989E0
8.674188750E-1,1.660197601E0,7.674840088E0,4.484973450E0
8.873198751E-1,1.663939819E0,7.472760315E0,4.567751312E0
9.072198750E-1,1.485660553E0,7.162305908E0,4.729564819E0
9.271208750E-1,1.488504639E0,7.278164978E0,4.947361908E0
9.470218751E-1,2.215093689E0,7.427853699E0,5.305417328E0
9.669225833E-1,2.723286896E0,7.078779602E0,5.360353088E0
9.868235834E-1,2.556383972E0,6.774911499E0,5.210664368E0
1.006724583E0,2.259102173E0,7.156318359E0,5.055736542E0
1.026625583E0,2.202819214E0,7.504344635E0,4.826862488E0
1.046526583E0,2.201921082E0,6.897057495E0,4.484524384E0
1.066426583E0,1.925146637E0,6.079008636E0,4.394112396E0
1.086327583E0,1.336121521E0,5.789211273E0,3.841611328E0
