"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.282587498E-2,1.919060573E-2,2.511817217E-2,-3.662412986E-2
4.277687497E-2,3.410031274E-2,-6.815527100E-3,-3.263152018E-2
5.272687506E-2,3.937536478E-2,-4.979365319E-2,-4.060218483E-2
8.267687504E-2,3.851622716E-2,-1.071416363E-1,-5.427831411E-2
1.026768750E-1,-8.262537420E-3,-1.429994553E-1,-5.727940425E-2
1.226768750E-1,-1.036219578E-2,-3.732116520E-2,-3.834649920E-2
1.426768750E-1,-8.989641210E-4,6.134907529E-2,-3.449431062E-2
1.626768750E-1,1.545876078E-2,8.175416291E-2,-3.468767181E-2
1.826768750E-1,1.229002327E-2,2.432215493E-3,-3.807779774E-2
2.026768750E-1,-2.211233601E-2,-9.757957608E-2,-6.456171721E-2
2.226768750E-1,-3.958875686E-2,-8.323059231E-2,-5.020427704E-2
2.426768750E-1,-3.344879672E-2,-6.429343950E-3,-4.498472065E-2
2.626768750E-1,-1.119098067E-2,3.217921406E-2,-4.323778674E-2
2.826768750E-1,-7.054345217E-3,1.287066261E-3,-3.415368497E-2
3.026768750E-1,-3.507178277E-2,-5.341311172E-2,-2.317629568E-2
3.226768750E-1,-9.272512794E-2,-8.022725582E-2,-4.411272705E-2
3.426768750E-1,-1.738298237E-1,-6.871900707E-2,-1.266573519E-1
3.626768750E-1,-2.499869168E-1,-1.722685248E-2,-1.926743686E-1
3.826768750E-1,-2.510519326E-1,4.883112386E-2,-2.009713054E-1
4.026768750E-1,-1.685275286E-1,5.556238815E-2,-2.104330659E-1
4.226768750E-1,-1.107511595E-1,-5.435148999E-2,-1.171326861E-1
4.426768750E-1,-1.213508248E-1,-1.586533338E-1,-1.459404081E-1
4.626768750E-1,-1.446704566E-1,-2.754910588E-1,-2.636872828E-1
4.826768750E-1,-1.559981406E-1,-3.352133036E-1,-3.431371450E-1
5.026768750E-1,-1.570547223E-1,-3.836151958E-1,-3.963925242E-1
5.226768750E-1,-2.315076292E-1,-5.288172960E-1,-3.591858745E-1
5.426768750E-1,-1.930585057E-1,-6.534817219E-1,-2.808322012E-1
5.626768750E-1,-1.440846473E-1,-7.827351689E-1,-3.272205889E-1
5.826768750E-1,-1.140833870E-1,-8.934419155E-1,-4.043092132E-1
6.026768750E-1,-9.584677964E-2,-1.072937608E0,-3.766044676E-1
6.226768750E-1,-8.902054280E-2,-1.130133510E0,-3.399580121E-1
6.426768750E-1,-9.232927859E-2,-1.019747138E0,-4.286780655E-1
6.626768750E-1,-6.030312181E-2,-8.568741679E-1,-4.851623178E-1
6.826768750E-1,-8.971317858E-2,-7.246172428E-1,-4.268958867E-1
7.026768750E-1,-1.607783884E-1,-7.430024147E-1,-3.603524268E-1
7.226768750E-1,-1.608841717E-1,-7.900721431E-1,-3.699163198E-1
7.426768750E-1,-1.444347203E-1,-7.742660642E-1,-4.074082673E-1
7.626768750E-1,-9.569911659E-2,-7.952358127E-1,-3.662136495E-1
7.826768750E-1,-1.973864064E-2,-7.958255410E-1,-3.330194950E-1
