"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.292487502E-2,3.002821343E-1,3.258206220E-1,4.857662579E-1,7.534605595E-1,1.450509009E2,7.120368119E1,-1.149322840E1,1.282993927E2
3.282587498E-2,3.004231366E-1,3.252286537E-1,4.861004560E-1,7.534445648E-1,1.450339611E2,7.120119770E1,-1.142072295E1,1.283325905E2
4.277687497E-2,3.004763048E-1,3.251547650E-1,4.862680793E-1,7.533470581E-1,1.450275733E2,7.121670325E1,-1.140159915E1,1.283319363E2
5.272687506E-2,3.006108376E-1,3.252271101E-1,4.864195340E-1,7.531643936E-1,1.450114097E2,7.124162893E1,-1.138805627E1,1.283107232E2
6.267687504E-2,3.009190575E-1,3.254676264E-1,4.865257177E-1,7.528686492E-1,1.449743756E2,7.127447102E1,-1.137671977E1,1.282579933E2
7.262787502E-2,3.013892688E-1,3.258867820E-1,4.865500312E-1,7.524834902E-1,1.449178701E2,7.131145088E1,-1.137133750E1,1.281743960E2
8.257787500E-2,3.019632456E-1,3.264001517E-1,4.864766746E-1,7.520781850E-1,1.448488831E2,7.134398440E1,-1.137097434E1,1.280731280E2
9.252887499E-2,3.025629742E-1,3.268451592E-1,4.863382433E-1,7.517333606E-1,1.447767870E2,7.136345409E1,-1.136771400E1,1.279756890E2
1.024788750E-1,3.030706962E-1,3.271544591E-1,4.862051172E-1,7.514803741E-1,1.447157401E2,7.137288549E1,-1.136107122E1,1.278991002E2
1.124298751E-1,3.034196511E-1,3.272870795E-1,4.861354643E-1,7.513268964E-1,1.446737769E2,7.137602180E1,-1.134948856E1,1.278531058E2
1.223798750E-1,3.035922635E-1,3.272040080E-1,4.861492463E-1,7.512844334E-1,1.446530177E2,7.137226769E1,-1.133027403E1,1.278426511E2
1.323298750E-1,3.036294370E-1,3.269477499E-1,4.862533543E-1,7.513135991E-1,1.446485469E2,7.136591372E1,-1.130308345E1,1.278598916E2
1.422808750E-1,3.035781021E-1,3.266115182E-1,4.864301866E-1,7.513660297E-1,1.446547209E2,7.136210221E1,-1.127220982E1,1.278922343E2
1.522308750E-1,3.034916800E-1,3.262435182E-1,4.866525271E-1,7.514168799E-1,1.446651145E2,7.136139453E1,-1.123886949E1,1.279304197E2
1.621818750E-1,3.034371631E-1,3.259252463E-1,4.868710795E-1,7.514354878E-1,1.446716708E2,7.136416989E1,-1.120699057E1,1.279611446E2
1.721318751E-1,3.034921226E-1,3.257473866E-1,4.870284559E-1,7.513883676E-1,1.446650613E2,7.137051665E1,-1.118088033E1,1.279693370E2
1.820828750E-1,3.036987896E-1,3.257596988E-1,4.870753179E-1,7.512691974E-1,1.446402058E2,7.137825639E1,-1.116400731E1,1.279469652E2
1.920328750E-1,3.041152427E-1,3.259028611E-1,4.869965560E-1,7.510896096E-1,1.445901146E2,7.138130554E1,-1.114883912E1,1.278933366E2
2.019838750E-1,3.046570193E-1,3.260966049E-1,4.868373726E-1,7.508890539E-1,1.445249389E2,7.137881522E1,-1.113304543E1,1.278234356E2
