"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.176375001E-3,1.938793454E-1,-4.461834848E-2,6.105838001E-2
8.773624999E-3,2.187136397E-1,-4.453824162E-2,1.762070131E-1
1.872262500E-2,2.128270650E-1,3.065636694E-2,1.369119698E-1
4.867262500E-2,2.112403864E-1,9.760172367E-2,7.401098594E-2
6.867262500E-2,2.231410417E-1,1.389830536E-1,3.398401737E-2
8.867262500E-2,1.617715533E-1,6.003160894E-2,3.613740072E-2
1.086726250E-1,6.693775535E-2,1.059047699E-2,-1.068017328E-1
1.286726250E-1,3.810286917E-2,6.691612065E-2,1.937726337E-1
1.486726250E-1,-4.027162338E-1,1.925558281E-1,-5.067596157E-1
1.686726250E-1,-3.692256118E-1,6.785044724E-1,-8.245264041E-1
1.886726250E-1,9.448742352E-2,1.469044520E0,-5.021223351E-1
2.086726250E-1,-4.595370635E-2,1.772356553E0,-3.741185984E-1
2.286726250E-1,-8.406285397E-1,1.749114456E0,-1.481327766E-1
2.486726250E-1,-6.054808619E-1,1.610614382E0,-3.216412997E-1
2.686726250E-1,5.437955873E-1,8.461575937E-1,7.805155814E-3
2.886726250E-1,8.072438619E-1,3.828154546E-1,-3.590278119E-2
3.086726250E-1,5.199538578E-1,5.309184104E-1,3.269657743E-1
3.286726250E-1,-3.571406230E-2,8.200795966E-1,-2.827821663E-1
3.486726250E-1,-1.510585772E-1,9.381816584E-1,-5.092299181E-1
3.686726250E-1,-1.115730608E-1,1.238366016E0,-6.788421491E-1
3.886726250E-1,9.713467732E-3,1.578496211E0,-4.755502483E-1
4.086726250E-1,8.907867596E-3,1.494625504E0,-1.693926680E-1
4.286726250E-1,-4.170614272E-2,1.190047549E0,-4.691455007E-1
4.486726250E-1,-3.776510476E-1,9.521272677E-1,-6.400525975E-1
4.686726250E-1,-6.063491734E-1,7.839794719E-1,-2.169714618E-1
4.886726250E-1,-3.411875915E-1,5.145795357E-1,-7.436488867E-2
5.086726250E-1,3.059800442E-1,2.098051143E-1,6.367857581E-1
5.286726250E-1,5.394585612E-1,-8.388123214E-2,3.884363830E-1
5.486726250E-1,1.891102101E-1,-4.403801233E-1,5.539289582E-1
5.686726250E-1,-1.207781862E-1,-6.632572728E-1,4.359274685E-1
5.886726250E-1,1.923080523E-1,-6.718836701E-1,9.509589940E-1
6.086726250E-1,4.138105215E-1,-4.757961237E-1,1.008627158E0
6.286726250E-1,4.066770646E-1,-5.984239304E-1,9.019897324E-1
6.486726250E-1,3.729438928E-1,-1.211934262E0,6.103668684E-1
6.686726250E-1,5.817215051E-1,-1.756230517E0,3.235603559E-1
6.886726250E-1,5.862662534E-1,-1.597694959E0,8.828243136E-2
7.086726250E-1,5.608906531E-1,-1.244017934E0,3.609404361E-1
7.286726250E-1,7.013669394E-1,-8.107831085E-1,6.455051261E-1
7.486726250E-1,4.962666410E-1,-5.133229691E-1,2.067394191E-1
7.686726250E-1,1.242337444E-1,-7.893483853E-1,-5.726646066E-2
7.886726250E-1,5.665920538E-1,-1.029587088E0,5.451499486E-1
8.086726250E-1,6.686819541E-1,-5.756072178E-1,2.124866474E-1
8.286726250E-1,2.414563119E-1,-6.389717397E-1,-3.477830315E-1
8.486726250E-1,4.215598364E-1,-1.386704322E0,-2.503356743E-1
8.686726250E-1,1.018112365E0,-1.523692890E0,-5.606760603E-1
8.886726250E-1,5.803371402E-1,-1.239422607E0,-9.876800931E-1
9.086726250E-1,8.653930329E-2,-1.431627895E0,-1.268441754E0
9.286726250E-1,-2.391673371E-2,-1.757881771E0,-1.319455787E0
9.486726250E-1,-1.779156609E-1,-1.859407268E0,-1.242570748E0
9.686726250E-1,7.576075609E-2,-1.678414309E0,-4.595408642E-1
9.886726250E-1,1.137349043E-1,-1.536535422E0,-7.795502061E-1
1.008672625E0,4.082768628E-1,-2.135883505E0,-1.856391567E-1
1.028672625E0,5.318653670E-1,-2.591997316E0,8.656919718E-2
1.048672625E0,2.304065361E-1,-2.477110054E0,2.821825343E-1
1.068672625E0,2.860253976E-1,-2.244613357E0,6.657639742E-1
1.088672625E0,2.912203928E-1,-2.150163867E0,6.797622085E-1
1.108672625E0,2.980590039E-1,-2.232427175E0,1.246240461E0
1.128672625E0,7.143563828E-1,-1.865274365E0,1.047616977E0
1.148672625E0,1.123119661E0,-1.610960245E0,8.712877572E-1
1.168672625E0,1.576379081E0,-1.657476892E0,1.250128859E0
1.188672625E0,2.597365060E0,-8.063997433E-1,2.011074395E0
1.208672625E0,2.961966438E0,3.627861097E-1,1.430757537E0
1.228672625E0,2.885846800E0,-2.632396021E-1,1.337883287E0
1.248672625E0,2.056217823E0,-1.199674990E0,7.308393914E-1
1.268672625E0,2.485723295E0,-9.663909656E-1,4.778011340E-1
1.288672625E0,2.387132514E0,6.467464900E-1,3.540962702E-1
1.308672625E0,1.736244149E0,1.270653171E0,-5.061940438E-1
1.328672625E0,1.441734222E0,9.695931932E-1,7.734211546E-1
1.348672625E0,5.000202611E-2,2.556006827E0,-4.991423017E-1
1.368672625E0,-7.939653468E-1,3.417138847E0,6.263970101E-1
1.388672625E0,-2.501731217E-1,3.447862165E0,1.373102821E0
1.408672625E0,-2.667325534E0,3.555953794E0,9.682386857E-1
1.428672625E0,-2.814849323E0,3.382387383E0,1.484868840E0
1.448672625E0,-2.601871217E0,4.376073736E0,1.664684755E0
1.468672625E0,-3.216943632E0,4.752693773E0,2.302762163E0
1.488672625E0,-2.420529033E0,3.632839709E0,2.785083779E0
1.508672625E0,-9.947311042E-1,2.908359457E0,2.513947220E0
1.528672625E0,-1.140541221E0,2.578868271E0,2.228845755E0
1.548672625E0,-4.921887928E-1,2.550717435E0,3.207029970E0
1.568672625E0,-1.139116547E-1,3.535990522E0,2.991409800E0
1.588672625E0,-8.686889622E-1,2.861599566E0,2.191182670E0
1.608672625E0,-6.398790814E-1,1.481354956E0,1.207354138E0
1.628672625E0,4.736934650E-1,2.212643998E0,2.206670775E0
1.648672625E0,-1.184214659E-1,3.559139064E0,1.837642470E0
1.668672625E0,-2.074638891E-1,2.692548668E0,1.589963186E0
1.688672625E0,-3.431429735E-1,1.140937662E0,2.072536232E0
1.708672625E0,-1.438485217E0,1.242810777E0,8.194282168E-1
1.728672625E0,-1.045559927E0,1.517513553E0,-3.183925867E-2
1.748672625E0,-1.004562174E0,1.499312924E0,-8.013258219E-2
1.768672625E0,-6.498101386E-1,2.005989071E0,7.101688993E-1
1.788672625E0,-9.320768729E-1,2.368220280E0,-3.498441750E-1
1.808672625E0,-7.590060139E-1,1.367766652E0,-3.417855424E-1
1.828672625E0,-5.492549863E-1,7.533751452E-1,-1.061347409E0
1.848672625E0,-1.138554337E0,7.870980844E-1,-1.587772234E0
1.868672625E0,-5.722900924E-1,7.009598270E-1,-6.827460426E-1
1.888672625E0,-1.139522928E-1,7.300465089E-1,-6.549051100E-1
1.908672625E0,-2.226657727E-1,7.276716623E-1,-3.428637689E-1
1.928672625E0,-5.482137434E-1,5.986800385E-1,-1.563671765E0
1.948672625E0,-9.253344485E-1,-3.430757305E-1,-1.640350982E0
1.968672625E0,-6.586433811E-1,-7.982206580E-1,-1.634275725E0
1.988672625E0,-2.337202263E-1,-4.791000929E-1,-9.080000854E-1
2.008672625E0,-1.723308939E-1,-2.099042246E-1,-1.765525251E0
2.028672625E0,4.121654074E-1,-3.309465587E-1,-2.061969144E0
2.048672625E0,3.348983263E-1,-1.618170154E-1,-1.469990015E0
2.068672625E0,2.618968622E-1,3.842643946E-2,-2.642873062E0
2.088672625E0,1.088632929E0,-2.527532056E-1,-3.273849612E0
2.108672625E0,1.566356661E0,-1.970312870E-1,-2.792909693E0
2.128672625E0,1.300648364E0,8.469914067E-1,-2.611484624E0
2.148672625E0,5.577270536E-1,1.221677185E0,-2.588168852E0
2.168672625E0,1.496421622E-1,-2.507943884E-1,-2.946856356E0
2.188672625E0,5.030114774E-1,-1.724739460E0,-1.966243792E0
2.208672625E0,4.379999776E-1,-1.389275343E0,-1.624758797E0
2.228672625E0,1.675252501E-1,-5.463766944E-1,-1.269172071E0
2.248672625E0,5.093561814E-1,-1.121222897E0,-9.722586465E-1
2.268672625E0,3.859744859E-1,-1.888706497E0,-1.787695554E0
2.288672625E0,1.100986926E0,-1.770188406E0,-1.259735250E0
2.308672625E0,1.111465210E0,-5.838687488E-1,-7.591141874E-1
2.328672625E0,3.842643946E-1,1.498992205E-1,-1.358275452E0
2.348672625E0,3.579392796E-1,-4.519318825E-1,-1.803912807E0
2.368672625E0,8.597709350E-2,-1.649825225E0,-2.281949583E0
2.388672625E0,9.360875512E-1,-1.450715546E0,-2.062293080E0
2.408672625E0,1.425279719E0,4.429031968E-2,-1.691795955E0
2.428672625E0,1.255144162E0,1.076780842E0,-2.053292461E0
2.448672625E0,9.862940106E-1,4.281071100E-1,-2.284043471E0
2.468672625E0,1.192103284E0,-7.045906556E-1,-2.743936923E0
2.488672625E0,1.238767865E0,-6.092373325E-1,-2.424353843E0
2.508672625E0,1.468388609E0,3.328444187E-1,-1.496768509E0
2.528672625E0,1.511045801E0,7.003050850E-1,-9.728942388E-1
2.548672625E0,1.477765935E0,-5.808331668E-3,-8.263343632E-1
