"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
9.018249999E-3,-2.723382790E0,6.473253644E0,6.849544775E0
2.891825000E-2,-2.745396972E0,6.472934970E0,6.841053448E0
4.881825000E-2,-2.759368309E0,6.476698238E0,6.831864549E0
6.871725000E-2,-2.759465958E0,6.482002248E0,6.826792089E0
8.861725000E-2,-2.738738748E0,6.482237306E0,6.834910948E0
1.085172500E-1,-2.707541513E0,6.479707215E0,6.849723700E0
1.284172500E-1,-2.682320133E0,6.476844419E0,6.862343161E0
1.483172500E-1,-2.663011750E0,6.475670298E0,6.870964880E0
1.682172500E-1,-2.644945900E0,6.476075510E0,6.877558200E0
1.881162500E-1,-2.635560827E0,6.476119949E0,6.881117985E0
2.080162500E-1,-2.641705081E0,6.474049450E0,6.880711019E0
2.279162500E-1,-2.653872260E0,6.470993695E0,6.878903060E0
2.478162500E-1,-2.660600943E0,6.469216726E0,6.877975107E0
2.677162500E-1,-2.659475647E0,6.468651300E0,6.878942236E0
2.876152500E-1,-2.651492443E0,6.470088546E0,6.880671843E0
3.075152500E-1,-2.637024385E0,6.472992273E0,6.883500141E0
3.274152500E-1,-2.624939067E0,6.476121118E0,6.885175953E0
3.473152500E-1,-2.621669597E0,6.479933503E0,6.882834143E0
3.672152500E-1,-2.620327368E0,6.483200927E0,6.880267215E0
3.871142500E-1,-2.613352810E0,6.485015903E0,6.881210956E0
4.070142500E-1,-2.597463001E0,6.487355958E0,6.885019832E0
4.269142500E-1,-2.565200112E0,6.488497919E0,6.896030724E0
4.468142500E-1,-2.516701258E0,6.482544284E0,6.919459932E0
4.667132500E-1,-2.462405183E0,6.470132985E0,6.950542561E0
4.866132500E-1,-2.405218537E0,6.455593298E0,6.984006177E0
5.065132500E-1,-2.346633529E0,6.438593103E0,7.019538537E0
5.264132500E-1,-2.287682924E0,6.421549639E0,7.054523597E0
5.463122500E-1,-2.227091883E0,6.403609797E0,7.090129632E0
5.662122500E-1,-2.168469746E0,6.378993019E0,7.130377772E0
5.861122500E-1,-2.104645633E0,6.350738103E0,7.174587400E0
6.060122500E-1,-2.020870527E0,6.320300422E0,7.225370468E0
6.259112500E-1,-1.921619450E0,6.282007592E0,7.285592696E0
6.458112500E-1,-1.818731990E0,6.234374419E0,7.352611728E0
6.657112500E-1,-1.713074411E0,6.181447762E0,7.422343283E0
6.856112500E-1,-1.602972364E0,6.126505569E0,7.492163131E0
7.055112500E-1,-1.476401048E0,6.064790547E0,7.568002687E0
7.254112500E-1,-1.315227227E0,5.983577984E0,7.661792611E0
7.453102500E-1,-1.121790443E0,5.886790777E0,7.766813282E0
7.652102500E-1,-9.129309692E-1,5.794987738E0,7.862618741E0
7.851102500E-1,-7.044267873E-1,5.703609790E0,7.950391295E0
