"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-5.429167068E-4,1.655108185E0,8.152347107E0,4.893324280E0
1.935708331E-2,1.437909851E0,8.299341431E0,5.459297333E0
3.925808333E-2,1.289418640E0,8.233628082E0,5.363197174E0
5.915808334E-2,1.277293854E0,8.205336914E0,5.540877686E0
7.905908331E-2,1.302890625E0,8.123756561E0,5.574557648E0
9.895908332E-2,1.393452301E0,8.088879089E0,5.588927765E0
1.188600833E-1,1.446891174E0,8.030799866E0,5.461243286E0
1.387600833E-1,1.322200470E0,8.069569244E0,5.513035583E0
1.586610833E-1,1.178798676E0,8.153544617E0,5.634732513E0
1.785610833E-1,1.230141907E0,8.148006134E0,5.694158936E0
1.984620833E-1,1.389261017E0,8.169112244E0,5.932762756E0
2.183620833E-1,1.199904785E0,7.845934296E0,6.035149841E0
2.382630833E-1,3.689826965E-1,7.645800476E0,6.361471252E0
2.581630833E-1,-5.089416504E-2,7.960745544E0,6.161936188E0
2.780640833E-1,4.203259277E-1,8.454418945E0,6.094276886E0
2.979640833E-1,9.262738037E-1,8.385262756E0,6.294859772E0
3.178640833E-1,9.665400696E-1,7.848928070E0,6.623576202E0
3.377650833E-1,9.792636108E-1,7.901768188E0,6.463109894E0
3.576650833E-1,1.416953430E0,8.158035278E0,6.426885223E0
3.775660833E-1,1.890718231E0,7.676037598E0,6.549180908E0
3.974660833E-1,1.808090057E0,7.101532288E0,6.580316162E0
4.173670833E-1,1.379231873E0,6.973847809E0,6.605463867E0
4.372670833E-1,1.215322723E0,7.275769958E0,6.634503479E0
4.571680833E-1,1.578916626E0,7.499255219E0,6.581663361E0
4.770680833E-1,1.870659943E0,6.963369598E0,6.783743134E0
4.969690833E-1,1.624421997E0,6.713838501E0,7.067852325E0
5.168690833E-1,1.644779663E0,6.644532623E0,7.021299133E0
5.367700833E-1,2.042652283E0,6.709647217E0,7.083719330E0
5.566700833E-1,2.537523193E0,6.862928467E0,6.987170105E0
5.765710833E-1,3.119512939E0,6.653214569E0,7.000791779E0
5.964710833E-1,3.483256531E0,6.365063782E0,7.057074738E0
6.163720833E-1,3.915557556E0,6.193520508E0,7.189998322E0
6.362720833E-1,4.176464996E0,6.083199921E0,6.786138153E0
6.561730833E-1,3.970942383E0,6.118376770E0,6.906038818E0
6.760730833E-1,4.137246552E0,5.979914703E0,6.853198700E0
6.959740833E-1,4.643493805E0,5.790857849E0,6.952292633E0
7.158740833E-1,5.084925842E0,5.705235901E0,7.018305359E0
7.357750833E-1,4.913681946E0,5.784570923E0,6.912176056E0
7.556750833E-1,4.453538818E0,5.884712677E0,7.328460388E0
7.755760833E-1,4.362079010E0,5.566025391E0,7.288493500E0
7.954760833E-1,4.452790375E0,5.234015808E0,7.073839874E0
8.153770833E-1,4.271966400E0,5.038821716E0,7.050937500E0
8.352770833E-1,4.065246277E0,4.621190186E0,7.469916229E0
8.551770833E-1,4.268523560E0,3.962559814E0,7.671846313E0
8.750780833E-1,4.233945465E0,3.287313995E0,7.521409149E0
8.949780833E-1,3.945944366E0,2.957998810E0,7.609725494E0
9.148790833E-1,4.091890869E0,2.974314880E0,7.862998810E0
9.347790833E-1,4.366869049E0,2.983146515E0,8.175698547E0
9.546799583E-1,4.806504822E0,2.943479004E0,8.185428314E0
9.745799583E-1,5.300776978E0,2.759960632E0,7.807314606E0
9.944809583E-1,5.797294464E0,2.312541046E0,7.604037323E0
1.014380958E0,6.138584747E0,2.157463531E0,7.331454163E0
1.034281958E0,6.479575653E0,2.508333893E0,7.109465790E0
1.054181958E0,6.427633667E0,3.303779755E0,7.037615204E0
1.074082958E0,6.751260681E0,3.974534912E0,7.335944824E0
1.093982958E0,7.275769958E0,3.760929108E0,7.122189331E0
1.113883958E0,7.099885712E0,2.778671722E0,6.051166534E0
