"Time (s)","X (hPa)"
-5.387214167E-1,1.018285904E3
4.930735833E-1,1.018282394E3
1.524892583E0,1.018285904E3
2.556711583E0,1.018286057E3
3.588557583E0,1.018292313E3
3.782169583E0,1.018290253E3
4.847300583E0,1.018292313E3
5.912420583E0,1.018292923E3
6.977529583E0,1.018292923E3
8.042611583E0,1.018293304E3
9.107670583E0,1.018290863E3
1.017271858E1,1.018291702E3
1.123783358E1,1.018289337E3
1.230294258E1,1.018287277E3
1.336800458E1,1.018287277E3
1.443307558E1,1.018287277E3
1.549811958E1,1.018290558E3
1.656313058E1,1.018291702E3
1.762818858E1,1.018291855E3
1.869325958E1,1.018292084E3
1.975832858E1,1.018292084E3
2.082338958E1,1.018292084E3
2.188845258E1,1.018294601E3
2.295353558E1,1.018294601E3
2.401864058E1,1.018294601E3
2.508377458E1,1.018295212E3
2.614891258E1,1.018294449E3
2.721400658E1,1.018294449E3
2.827912558E1,1.018294449E3
2.934425758E1,1.018292923E3
3.040938158E1,1.018292923E3
3.147444958E1,1.018292923E3
3.253947458E1,1.018291016E3
3.360450758E1,1.018290176E3
3.466958658E1,1.018290176E3
3.573467558E1,1.018288345E3
3.679972958E1,1.018291626E3
3.786487858E1,1.018291626E3
3.892996658E1,1.018291626E3
3.999503758E1,1.018295212E3
4.106009958E1,1.018295212E3
4.212516658E1,1.018295212E3
4.319022258E1,1.018296738E3
4.425529258E1,1.018296738E3
4.532037558E1,1.018296738E3
4.638545358E1,1.018299713E3
4.745054858E1,1.018299713E3
4.851562958E1,1.018299713E3
4.958077658E1,1.018299255E3
5.064588658E1,1.018296890E3
5.171095758E1,1.018296890E3
5.277603658E1,1.018296890E3
5.384105058E1,1.018296509E3
5.490615658E1,1.018296509E3
5.739393054E1,1.018307571E3
5.842573354E1,1.018305130E3
5.945751754E1,1.018302689E3
6.048931954E1,1.018302689E3
6.152110354E1,1.018303375E3
6.171469354E1,1.018308258E3
6.277972854E1,1.018305969E3
6.384475554E1,1.018308258E3
6.490980854E1,1.018307724E3
6.597485154E1,1.018314362E3
6.703991954E1,1.018309174E3
6.810500054E1,1.018313828E3
6.917002954E1,1.018311234E3
7.023508554E1,1.018311234E3
7.130010654E1,1.018311234E3
7.236513354E1,1.018311234E3
7.343019554E1,1.018313980E3
7.449521154E1,1.018311386E3
7.556024854E1,1.018318558E3
7.662532754E1,1.018311691E3
7.769043454E1,1.018320923E3
7.875559654E1,1.018314362E3
7.982066354E1,1.018318863E3
8.088573154E1,1.018318863E3
8.195079754E1,1.018318863E3
8.301583654E1,1.018319016E3
8.408087754E1,1.018317184E3
8.514590054E1,1.018320312E3
8.621095654E1,1.018315659E3
8.727600154E1,1.018318787E3
8.834109754E1,1.018318787E3
8.940623954E1,1.018318787E3
9.047130254E1,1.018318863E3
9.153632454E1,1.018317184E3
9.260133554E1,1.018322449E3
9.366639654E1,1.018317184E3
9.498112054E1,1.018318024E3
9.742334512E1,1.018299332E3
9.845513112E1,1.018299637E3
9.948688412E1,1.018299942E3
1.005186891E2,1.018307495E3
1.015505211E2,1.018316650E3
1.017442051E2,1.018312683E3
1.028093371E2,1.018319931E3
1.038744381E2,1.018312759E3
1.049394781E2,1.018319931E3
1.060045861E2,1.018313828E3
1.070696461E2,1.018322601E3
1.081346971E2,1.018315506E3
1.091997931E2,1.018322983E3
1.102649581E2,1.018318405E3
1.113300771E2,1.018318405E3
1.123951701E2,1.018318405E3
1.134603091E2,1.018319016E3
1.145254031E2,1.018319016E3
1.155904711E2,1.018319702E3
1.166556051E2,1.018319244E3
1.177207721E2,1.018319702E3
1.187858971E2,1.018320236E3
1.198510161E2,1.018321304E3
1.209161441E2,1.018322601E3
1.219812721E2,1.018322601E3
1.230463741E2,1.018322601E3
1.241114421E2,1.018321991E3
1.251765031E2,1.018320541E3
1.262416011E2,1.018320465E3
1.273067311E2,1.018319092E3
1.283719301E2,1.018319092E3
1.294371141E2,1.018319092E3
1.305022441E2,1.018318405E3
1.315673491E2,1.018317719E3
1.326324621E2,1.018316345E3
1.336975991E2,1.018316345E3
1.347626751E2,1.018316269E3
1.358277871E2,1.018316269E3
