"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.407083329E-3,6.412918679E-3,4.869568348E-2,-4.643970728E-2
1.935708331E-2,4.231294151E-4,7.679394912E-6,-5.439087376E-2
2.930708328E-2,-1.408444066E-2,-2.450405620E-2,-4.821420461E-2
5.925808333E-2,-2.433559857E-2,-4.305971414E-2,-4.241750017E-2
7.925808333E-2,-2.807358839E-2,-2.507792041E-2,-1.089091599E-2
9.925808333E-2,-6.340959668E-2,7.101644576E-2,1.886928454E-2
1.192580833E-1,-6.933747232E-2,1.313647181E-1,1.847109012E-2
1.392580833E-1,-7.107602060E-2,7.952218503E-2,-2.336117253E-2
1.592580833E-1,-1.008928195E-1,-4.756587092E-3,-4.839095101E-2
1.792580833E-1,-1.528485566E-1,-1.722917147E-2,-3.832322732E-2
1.992580833E-1,-1.951792985E-1,-5.513632204E-3,-5.352495983E-2
2.192580833E-1,-2.731731534E-1,6.252227724E-2,-1.951070428E-1
2.392580833E-1,-4.276466072E-1,1.777079850E-1,-3.001396954E-1
2.592580833E-1,-4.532988369E-1,2.342754602E-1,-2.368852049E-1
2.792580833E-1,-4.949485958E-1,2.890912816E-2,-1.526424885E-1
2.992580833E-1,-5.588320494E-1,-3.203998208E-1,-2.235754281E-1
3.192580833E-1,-6.548843384E-1,-4.950039387E-1,-3.400895894E-1
3.392580833E-1,-7.268470526E-1,-5.248566866E-1,-3.457191288E-1
3.592580833E-1,-7.692911029E-1,-6.962215900E-1,-2.001147717E-1
3.792580833E-1,-8.027833700E-1,-7.192609310E-1,-1.317947954E-1
3.992580833E-1,-8.158774972E-1,-5.987887979E-1,-1.662925631E-1
4.192580833E-1,-8.303234577E-1,-6.426139474E-1,-1.710607409E-1
4.392580833E-1,-8.416925669E-1,-7.283992171E-1,-6.961584091E-2
4.592580833E-1,-7.871164083E-1,-8.627522588E-1,1.035388336E-1
4.792580833E-1,-8.205499649E-1,-1.010972977E0,1.337490827E-1
4.992580833E-1,-8.624556065E-1,-1.154832721E0,9.796605259E-2
5.192580833E-1,-8.658075929E-1,-1.235800743E0,1.611638963E-1
5.392580833E-1,-8.275530338E-1,-1.232718110E0,2.664208710E-1
5.592580833E-1,-7.807337642E-1,-1.313158393E0,3.764894307E-1
5.792580833E-1,-8.341717720E-1,-1.480490923E0,3.579364419E-1
5.992580833E-1,-8.275127411E-1,-1.535924315E0,3.221928179E-1
6.192580833E-1,-7.751746178E-1,-1.509240627E0,3.667472303E-1
6.392580833E-1,-7.353589535E-1,-1.418761611E0,3.403737545E-1
6.592580833E-1,-7.987730503E-1,-1.428279996E0,3.015812039E-1
6.792580833E-1,-7.980257869E-1,-1.350190520E0,3.519724905E-1
6.992580833E-1,-7.678601146E-1,-1.196960330E0,3.786656857E-1
7.192580833E-1,-7.696772218E-1,-1.034331203E0,2.993860841E-1
7.392580833E-1,-7.869383097E-1,-8.118079901E-1,1.719937325E-1
7.592580833E-1,-7.858139277E-1,-6.771610379E-1,1.808047146E-1
7.792580833E-1,-7.487030625E-1,-5.227069855E-1,2.741482854E-1
7.992580833E-1,-7.188410163E-1,-3.799168468E-1,2.882286608E-1
8.192580833E-1,-6.679666638E-1,-4.458491504E-1,2.359913588E-1
8.392580833E-1,-6.133494377E-1,-6.044926047E-1,2.641888261E-1
8.592580833E-1,-5.710911155E-1,-7.262547612E-1,3.183166981E-1
8.792580833E-1,-5.323898196E-1,-5.922260880E-1,3.471808732E-1
8.992580833E-1,-5.227566361E-1,-4.761828780E-1,4.520840943E-1
9.192580833E-1,-4.338203669E-1,-5.920494199E-1,5.640918016E-1
9.392580833E-1,-3.028129935E-1,-9.180938601E-1,5.823135376E-1
9.592580833E-1,-1.930850446E-1,-1.273586869E0,5.679789782E-1
9.792580833E-1,-1.543338448E-1,-1.387447953E0,5.741834641E-1
9.992580833E-1,-1.942695379E-1,-1.126507163E0,6.057607532E-1
1.019258083E0,-2.050829977E-1,-7.436317801E-1,7.012268901E-1
1.039258083E0,-1.607139707E-1,-4.779368341E-1,8.373996019E-1
1.059258083E0,-5.290706456E-2,-3.581502736E-1,9.247019887E-1
1.079258083E0,6.860035658E-2,-4.613201022E-1,9.306232333E-1
1.099258083E0,2.855287790E-1,-9.418360591E-1,7.207243443E-1
1.119258083E0,3.280642629E-1,-1.312585235E0,4.417562187E-1
1.139258083E0,2.119402736E-1,-1.156546712E0,3.333368301E-1
1.159258083E0,1.216889098E-1,-6.816499829E-1,4.189185202E-1
1.179258083E0,7.862621546E-2,-2.224113345E-1,5.434434414E-1
1.199258083E0,1.494912356E-1,6.487920135E-2,4.878177941E-1
1.219258083E0,2.111934274E-1,1.169160753E-1,2.486324310E-1
1.239258083E0,1.440072060E-1,4.955528304E-2,7.811247557E-2
1.259258083E0,-1.124929450E-2,1.068725213E-1,1.210860461E-1
1.279258083E0,-1.830986291E-1,3.318141997E-1,2.842323184E-1
1.299258083E0,-1.777823716E-1,5.762870312E-1,4.039549232E-1
1.319258083E0,-2.708088793E-2,5.286834836E-1,3.148107529E-1
1.339258083E0,2.855380811E-2,3.120968938E-1,7.721778750E-2
1.359258083E0,9.134753048E-2,-4.092873260E-2,-7.238042541E-3
1.379258083E0,6.670270860E-2,-3.882116377E-1,1.067145020E-1
1.399258083E0,4.458436370E-2,-5.217958093E-1,1.312842816E-1
1.419258083E0,-1.137951948E-2,-4.083741903E-1,3.457793593E-2
1.439258083E0,-3.482282534E-2,-2.072236091E-1,-3.879786655E-2
1.459258083E0,-1.346905679E-1,6.470444053E-2,-4.043928906E-2
1.479258083E0,-2.273731679E-1,1.993714720E-1,-9.421862662E-3
1.499258083E0,-1.999481916E-1,6.177033857E-2,4.567836411E-3
1.519258083E0,-2.125503719E-1,-8.679047227E-2,-5.340674892E-2
1.539258083E0,-2.562895417E-1,-9.879879653E-2,-5.311857164E-2
1.559258083E0,-2.120408267E-1,-2.068513930E-1,-2.926637977E-2
1.579258083E0,-4.801696539E-2,-6.248762012E-1,-1.535560489E-1
1.599258083E0,1.767911911E-1,-1.196399927E0,-3.234637082E-1
1.619258083E0,2.066733390E-1,-1.334204912E0,-3.585914373E-1
1.639258083E0,8.673429489E-2,-8.783204556E-1,-2.514780760E-1
1.659258083E0,-3.566564247E-2,-2.505231798E-1,-4.597227275E-2
1.679258083E0,-9.200537205E-2,2.542513013E-1,1.283665746E-1
1.699258083E0,-1.339215934E-1,4.653001428E-1,1.295992136E-1
1.719258083E0,-1.275285929E-1,3.391578496E-1,3.236659616E-2
1.739258083E0,-9.482621402E-2,1.088086981E-2,1.729668491E-2
1.759258083E0,-1.108194422E-2,-4.135510325E-1,-3.869307786E-2
1.779258083E0,5.455230176E-2,-6.244133711E-1,-1.067044511E-1
1.799258083E0,6.930872053E-2,-5.067040920E-1,-9.549185634E-2
1.819258083E0,3.550272062E-2,-1.578360945E-1,2.395346202E-2
1.839258083E0,5.686051771E-2,2.654376626E-1,1.357882917E-1
1.859258083E0,7.620461285E-2,4.683859944E-1,1.258398741E-1
1.879258083E0,1.978292614E-1,2.008977234E-1,-2.561521344E-2
1.899258083E0,2.642528713E-1,-1.201256141E-1,-7.935422659E-2
1.919258083E0,2.460875213E-1,-9.215752780E-2,1.574136317E-2
1.939258083E0,1.623396873E-1,2.490745932E-1,1.601954252E-1
1.959258083E0,1.245890409E-1,3.246801794E-1,1.919505447E-1
1.979258083E0,5.284773558E-2,2.509948015E-1,2.115441859E-1
1.999258083E0,-1.538655907E-2,4.323907197E-1,1.842334121E-1
2.019258083E0,-9.920805693E-2,6.675992608E-1,1.393177509E-1
2.039258083E0,-1.850291640E-1,7.344378233E-1,1.497070640E-1
2.059258083E0,-2.392826974E-1,7.988134027E-1,2.526917160E-1
2.079258083E0,-1.970755011E-1,7.582283616E-1,2.338832617E-1
2.099258083E0,-6.150177866E-2,3.971154988E-1,1.220269501E-1
2.119258083E0,9.239406139E-2,-1.447649300E-1,-4.215091467E-3
2.139258083E0,1.853836328E-1,-6.016704440E-1,-9.171663970E-2
2.159258083E0,1.515323818E-1,-8.778665662E-1,-8.200588077E-2
