"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.245149993E-2,4.560930905E-1,3.276738664E-1,4.758002509E-1,6.769218405E-1,1.257294246E2,7.057921903E1,-5.500925990E-1,1.116684496E2
2.240150003E-2,4.562549134E-1,3.278549556E-1,4.753668707E-1,6.770295889E-1,1.257085867E2,7.054343960E1,-5.820245928E-1,1.116357366E2
3.235250001E-2,4.564629713E-1,3.280293224E-1,4.748533061E-1,6.771651964E-1,1.256817921E2,7.049789458E1,-6.161809435E-1,1.115983634E2
4.230249999E-2,4.565990845E-1,3.280681870E-1,4.743376763E-1,6.774159069E-1,1.256642611E2,7.044135704E1,-6.481963619E-1,1.115800396E2
5.225249997E-2,4.566264378E-1,3.279398499E-1,4.738703099E-1,6.777865885E-1,1.256607380E2,7.037709863E1,-6.751341384E-1,1.115874578E2
6.220249995E-2,4.565579597E-1,3.276687139E-1,4.734714795E-1,6.782424804E-1,1.256695580E2,7.030940129E1,-6.957790702E-1,1.116171808E2
7.215249992E-2,4.563563187E-1,3.272976425E-1,4.731649982E-1,6.787709281E-1,1.256955277E2,7.024441147E1,-7.137276781E-1,1.116699168E2
8.210350003E-2,4.559712335E-1,3.268810420E-1,4.729552122E-1,6.793765256E-1,1.257451149E2,7.018694831E1,-7.358510310E-1,1.117469941E2
9.205350000E-2,4.554236089E-1,3.264434945E-1,4.728084358E-1,6.800559855E-1,1.258156134E2,7.013507218E1,-7.645464234E-1,1.118440188E2
1.020035000E-1,4.547670348E-1,3.260523612E-1,4.726308395E-1,6.808061257E-1,1.259001083E2,7.008329660E1,-8.069253547E-1,1.119495970E2
1.119535000E-1,4.541156552E-1,3.257523705E-1,4.723073941E-1,6.816084752E-1,1.259839033E2,7.002188305E1,-8.655882109E-1,1.120472818E2
1.219034999E-1,4.535887143E-1,3.255590165E-1,4.717324110E-1,6.824493259E-1,1.260516673E2,6.993988298E1,-9.402697972E-1,1.121224849E2
1.318544999E-1,4.532345438E-1,3.254604193E-1,4.708675313E-1,6.833283090E-1,1.260972018E2,6.983198440E1,-1.029418432E0,1.121707830E2
1.418045000E-1,4.530678108E-1,3.254120874E-1,4.697290922E-1,6.842450029E-1,1.261186349E2,6.969666048E1,-1.127936052E0,1.121941607E2
1.517545000E-1,4.531424002E-1,3.253193169E-1,4.683335732E-1,6.851955935E-1,1.261090469E2,6.952847167E1,-1.224568543E0,1.121940683E2
1.617045000E-1,4.534939576E-1,3.250094006E-1,4.668079100E-1,6.861505041E-1,1.260638508E2,6.932853871E1,-1.296232489E0,1.121802043E2
