"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.924500033E-3,-3.282673645E0,1.281036072E0,9.463021545E0
2.293849993E-2,-3.798351288E0,8.964857483E-1,8.145611115E0
4.295349983E-2,-3.703149261E0,1.262324982E0,6.968608704E0
6.296749995E-2,-2.979254608E0,1.623224487E0,6.645730133E0
8.298249985E-2,-2.619851990E0,1.784289551E0,7.482340393E0
1.029965000E-1,-2.227966919E0,1.242715759E0,7.936196594E0
1.230114999E-1,-1.893412628E0,1.074765015E0,7.526797943E0
1.430255000E-1,-1.864223328E0,9.958790588E-1,7.185208282E0
1.630404999E-1,-1.278341675E0,8.461903381E-1,6.159690857E0
1.830545000E-1,-1.009201355E0,1.004111938E0,5.616171112E0
2.030694999E-1,-1.425036621E0,1.109792175E0,6.808591461E0
2.230834998E-1,-2.636766815E0,2.668949890E-1,9.218280487E0
2.430985000E-1,-2.850971375E0,-6.122268677E-1,1.070453979E1
2.631124998E-1,-7.581733704E-1,-8.448431396E-1,9.018146667E0
2.831275000E-1,-9.903405762E-1,-7.679031372E-2,9.419312439E0
3.031414999E-1,-3.720662842E0,6.436614990E-3,1.022658371E1
3.231565000E-1,-3.595822449E0,-1.477128296E0,9.291029205E0
3.431704999E-1,-3.869752808E0,-4.716392212E0,-1.345851288E0
3.631855000E-1,-3.808530121E0,-6.896758118E0,6.285429382E-1
3.831994999E-1,-4.289180603E0,-7.925868073E0,4.111799469E0
4.032144998E-1,-2.548151093E0,-8.471932526E0,5.069507904E0
4.232284999E-1,-1.408421173E0,-6.692133636E0,4.654121704E0
4.432434998E-1,-1.194665680E0,-6.321055298E0,6.343209229E0
4.632575000E-1,-3.524720306E0,-6.855893097E0,9.760602722E0
4.832722500E-1,-6.772815857E0,-8.661139069E0,1.011132339E1
5.032862499E-1,-8.819060669E0,-8.593928833E0,9.010063477E0
5.233012498E-1,-1.059930862E1,-7.389234009E0,1.248927841E1
5.433152500E-1,-1.378902557E1,-8.175698547E0,1.526016632E1
5.633302499E-1,-1.639884842E1,-9.392069092E0,1.277338760E1
5.833442500E-1,-1.850422028E1,-1.065529221E1,1.016221756E1
6.033592499E-1,-1.814077606E1,-9.289232941E0,8.695268097E0
6.233732500E-1,-1.575578568E1,-7.906408539E0,7.268884277E0
6.433882499E-1,-1.383063904E1,-6.677613831E0,5.759423218E0
6.634022500E-1,-1.315045349E1,-6.326294403E0,7.072642365E0
6.834172499E-1,-7.548353119E0,-4.578828278E0,1.005893234E1
7.034312498E-1,-3.428919525E0,-1.059646454E0,1.259016861E1
7.234462500E-1,1.049617310E0,-3.240461426E0,7.866591339E0
7.434602499E-1,2.856060791E-1,-6.972051544E0,2.922672272E0
7.634752500E-1,1.140328674E0,-1.147319138E1,-3.278332672E0
7.834892499E-1,2.502496033E0,-7.506889343E0,-3.658242645E0
8.035042500E-1,-4.106260986E0,-3.775897980E0,7.112758942E0
8.235182499E-1,-2.756966858E0,-1.827250214E0,3.791315918E0
8.435332500E-1,-6.334826660E0,-3.726650391E0,4.051624603E0
8.635472499E-1,-8.820707245E0,-6.920109558E0,1.424886932E0
8.835622498E-1,-9.737850037E0,-7.136260071E0,-2.232756958E0
9.035762500E-1,-6.719227295E0,-5.523962860E0,-1.284329224E-1
9.235912499E-1,-5.828280029E0,-4.012406158E0,1.390458527E0
9.436052500E-1,-5.707032166E0,-6.524332581E0,1.379171997E1
9.636202499E-1,-3.014431458E0,-3.623514862E0,7.927065582E0
9.836342500E-1,-6.403234406E0,-5.275479584E0,-1.173559570E0
1.003649250E0,-4.930297394E0,-5.038372650E0,1.167721710E0
1.023663250E0,-3.884721680E0,-4.597988434E0,4.505031738E0
1.043678250E0,-2.884950714E0,-4.210294647E0,3.744163971E0
1.063692250E0,-2.478246460E0,-4.464466095E0,2.989583130E0
1.083707250E0,-2.491269379E0,-5.292843475E0,9.806108093E-1
1.103721250E0,-3.987258453E0,-6.472390594E0,-4.923262024E-1
1.123736250E0,-2.442470856E0,-5.090164948E0,-1.160386963E0
1.143750250E0,-9.985734558E-1,-3.648063812E0,-8.234376526E-1
1.163765250E0,-3.347039795E-1,-2.974464569E0,3.667373657E-1
