"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.128858328E-2,-3.654186428E-1,4.556719363E-1,-1.047304273E-1
2.129658335E-2,-4.027585685E-1,5.065374970E-1,-7.900615036E-2
3.130458319E-2,-4.458059967E-1,4.934291840E-1,-3.018048964E-2
6.131258326E-2,-4.769205153E-1,4.299285114E-1,1.304980554E-2
8.131258326E-2,-4.763281345E-1,2.270175964E-1,8.530905843E-2
1.013125833E-1,-5.313506126E-1,1.581371874E-1,1.564536542E-1
1.213125833E-1,-6.674581170E-1,1.167691797E-1,1.951457262E-1
1.413125833E-1,-7.557923794E-1,3.624245524E-2,2.502093017E-1
1.613125833E-1,-6.341873407E-1,2.057191730E-2,3.278010190E-1
1.813125833E-1,-5.279873610E-1,7.320695370E-2,4.553892910E-1
2.013125833E-1,-3.983219564E-1,-9.397169203E-2,5.111784339E-1
2.213125833E-1,-3.110562861E-1,-2.872998714E-1,4.880843163E-1
2.413125833E-1,-3.867596090E-1,-3.191383183E-1,4.422681034E-1
2.613125833E-1,-5.759726763E-1,-1.976979822E-1,5.267941952E-1
2.813125833E-1,-7.302153111E-1,-9.272193909E-2,7.651507258E-1
3.013125833E-1,-8.025991917E-1,-8.748069406E-2,9.981629252E-1
3.213125833E-1,-8.812157512E-1,6.609545648E-2,1.110675216E0
3.413125833E-1,-1.033089042E0,2.520664632E-1,1.196387410E0
3.613125833E-1,-1.250749111E0,4.988188446E-1,1.331149578E0
3.813125833E-1,-1.574430227E0,6.208853126E-1,1.575711727E0
4.013125833E-1,-2.049670219E0,7.913456559E-1,2.000809669E0
4.213125833E-1,-2.919456959E0,5.479814410E-1,2.614627600E0
4.413125833E-1,-3.270489216E0,5.272001028E-1,2.924340725E0
4.613125833E-1,-2.646146536E0,1.010737777E0,2.755908251E0
4.813125833E-1,-2.366846323E0,1.287230134E0,2.709067822E0
5.013125833E-1,-2.548742533E0,1.752785087E0,2.466453314E0
5.213125833E-1,-2.379529953E0,2.869191647E0,2.056699514E0
5.413125833E-1,-2.108639240E0,3.431670189E0,1.840192437E0
5.613125833E-1,-1.478720307E0,3.626661062E0,1.033942342E0
5.813125833E-1,-1.000905156E0,3.430238485E0,-9.514972568E-2
6.013125833E-1,-7.758610249E-1,3.341067076E0,-2.241151333E-1
6.213125833E-1,-5.090667009E-1,3.285667658E0,7.767017931E-2
6.413125833E-1,2.232258767E-1,3.860528231E0,4.287166297E-1
6.613125833E-1,3.136554062E-1,4.412251949E0,5.332331657E-1
6.813125833E-1,8.541646414E-3,4.614820480E0,7.381875515E-1
7.013125833E-1,-2.522237003E-1,4.715816021E0,1.051516652E0
7.213125833E-1,-5.372459888E-1,4.343575001E0,1.344699621E0
7.413125833E-1,-8.699762821E-1,3.303435564E0,1.402383089E0
7.613125833E-1,-1.002206802E0,1.840910435E0,1.268561721E0
7.813125833E-1,-8.692722321E-1,1.663278043E-1,1.126009345E0
8.013125833E-1,-2.646976113E-1,-1.299493194E0,9.406770468E-1
8.213125833E-1,1.378967166E-1,-1.332540035E0,7.610263824E-1
8.413125833E-1,-2.009736001E-1,-1.521659732E0,-5.507104844E-2
8.613125833E-1,-4.168108702E-1,-1.849397063E0,-8.171913624E-1
8.813125833E-1,-6.386118531E-1,-1.609937429E0,-8.184464574E-1
9.013125833E-1,-6.802809238E-1,-1.587671876E0,-6.038503051E-1
9.213125833E-1,-1.208830848E-1,-1.888766766E0,-5.370955467E-1
9.413125833E-1,5.907464623E-1,-2.155994654E0,-7.277438045E-1
9.613125833E-1,7.633172274E-1,-1.982278228E0,-1.494317770E0
9.813125833E-1,3.181613386E-1,-1.349065423E0,-2.131777763E0
1.001312583E0,-2.525430918E-1,-6.806767583E-1,-2.407181501E0
1.021312583E0,-7.330664992E-1,-3.166063428E-1,-2.736286640E0
1.041312583E0,-1.099388003E0,-2.702228129E-1,-3.719224930E0
1.061312583E0,-1.057090163E0,-2.154724747E-1,-4.147394180E0
1.081312583E0,-9.888408184E-1,2.624616921E-1,-3.456933975E0
1.101312583E0,-1.312129974E0,3.165749907E-1,-2.230940580E0
1.121312583E0,-1.864187121E0,1.682937592E-1,-9.733411670E-1
1.141312583E0,-2.283395290E0,-1.122616529E-1,-3.428856432E-1
1.161312583E0,-2.422400236E0,-1.898001283E-1,-5.848128200E-1
1.181312583E0,-2.270222902E0,-1.368276328E-1,-1.424937844E0
1.201312583E0,-1.941452861E0,1.438999325E-1,-2.349817991E0
1.221312583E0,-1.824282050E0,7.743687630E-1,-3.097339392E0
1.241312583E0,-1.956046104E0,9.334025383E-1,-3.432984829E0
1.261312583E0,-2.122776031E0,7.172673345E-1,-3.604663610E0
1.281312583E0,-2.176501036E0,2.518293560E-1,-3.944938898E0
1.301312583E0,-2.325690746E0,-8.688708395E-2,-4.625700951E0
1.321312583E0,-2.331563473E0,-5.225470662E-1,-4.751400948E0
1.341312583E0,-1.674353719E0,-2.792824984E0,-2.757987022E0
1.361312583E0,-2.553833127E-1,-5.124529839E0,5.487667918E-1
1.381312583E0,6.168871522E-1,-3.096292734E0,1.726599574E0
1.401312583E0,3.410158157E-1,-4.469724298E-1,1.054563761E0
1.421312583E0,2.371730208E-1,5.452030897E-1,5.322851539E-1
1.441312583E0,1.159977794E0,8.265770674E-1,-1.788446605E-1
1.461312583E0,1.177390337E0,6.890060902E-1,-4.199920595E-1
1.481312583E0,5.529677868E-1,7.296277881E-1,-3.283850253E-1
1.501312583E0,1.315162182E-1,7.874481678E-1,-7.673067600E-2
1.521312583E0,-6.179432385E-3,6.023617387E-1,3.113140762E-1
1.541312583E0,3.535629064E-2,3.868685365E-1,4.063197970E-1
1.561312583E0,2.258444875E-1,1.320632547E-1,2.989441752E-1
1.581312583E0,4.439333975E-1,-1.282318085E-1,1.344062537E-1
1.601312583E0,5.291257501E-1,-2.789169848E-1,2.693826333E-3
1.621312583E0,4.578738809E-1,-2.616646886E-1,-5.650372058E-2
1.641312583E0,3.001969457E-1,-1.320418268E-1,-3.778071702E-2
1.661312583E0,2.290587425E-1,3.053707182E-1,4.362416454E-3
1.681312583E0,4.563916624E-1,1.119814515E0,1.166362986E-1
1.701312583E0,7.221432924E-1,1.126065731E0,1.699655503E-1
1.721312583E0,8.544893861E-1,6.399242282E-1,1.353019923E-1
1.741312583E0,8.473370075E-1,1.803404540E-1,1.168867648E-1
1.761312583E0,8.460442424E-1,-1.034519868E-3,1.031851619E-1
1.781312583E0,9.045456648E-1,5.105755478E-2,1.148435324E-1
1.801312583E0,1.014976621E0,2.280476987E-1,1.552944481E-1
