"Time (s)","X (hPa)"
-5.361614586E-1,1.012283783E3
4.949295414E-1,1.012288818E3
1.526008541E0,1.012292099E3
2.557066541E0,1.012292099E3
3.588134541E0,1.012279663E3
3.782802542E0,1.012276154E3
4.847215541E0,1.012272873E3
5.911622541E0,1.012270279E3
6.976033541E0,1.012264099E3
8.040382541E0,1.012264099E3
9.104776541E0,1.012264099E3
1.016915654E1,1.012263336E3
1.123349954E1,1.012263336E3
1.229785754E1,1.012261581E3
1.336221254E1,1.012259674E3
1.442654754E1,1.012259674E3
1.549091154E1,1.012267761E3
1.655527154E1,1.012275543E3
