"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.511908323E-2,9.301315927E-1,9.481976707E-3,1.748461484E-2,-3.666872337E-1,4.308932567E1,2.761644288E-1,2.262615376E0,-4.302639190E1
2.512808330E-2,9.299213220E-1,1.130679201E-2,1.778877909E-2,-3.671539257E-1,4.315489229E1,4.568381479E-1,2.371977685E0,-4.308099142E1
3.513708338E-2,9.298718206E-1,1.207485643E-2,1.912057868E-2,-3.671880015E-1,4.317031405E1,4.825942838E-1,2.546309638E0,-4.308544316E1
4.514608323E-2,9.299814024E-1,1.190169412E-2,2.135341795E-2,-3.667927483E-1,4.313616771E1,3.712654780E-1,2.776922786E0,-4.304041348E1
5.515508330E-2,9.301729387E-1,1.093461130E-2,2.388353245E-2,-3.661807550E-1,4.307642195E1,1.635628843E-1,3.005953377E0,-4.297180725E1
6.516408338E-2,9.303856117E-1,9.512801200E-3,2.616653438E-2,-3.655235170E-1,4.300999045E1,-8.193506893E-2,3.189827613E0,-4.289934245E1
7.517308323E-2,9.305712686E-1,7.910920002E-3,2.811676455E-2,-3.649438714E-1,4.295191782E1,-3.328069975E-1,3.330955041E0,-4.283710787E1
8.518162509E-2,9.307535537E-1,6.326115521E-3,2.986246463E-2,-3.643708850E-1,4.289482698E1,-5.731999721E-1,3.451252195E0,-4.277591693E1
9.519062494E-2,9.310223452E-1,4.822010401E-3,3.148723617E-2,-3.635695259E-1,4.281051040E1,-7.989436066E-1,3.562477832E0,-4.268670690E1
1.051996250E-1,9.314631170E-1,3.603084030E-3,3.338612555E-2,-3.622826140E-1,4.267190212E1,-1.003584894E0,3.715746346E0,-4.253857743E1
1.152086251E-1,9.321426085E-1,2.699201400E-3,3.582399279E-2,-3.603046624E-1,4.245737930E1,-1.193688410E0,3.941115367E0,-4.230747738E1
1.252176249E-1,9.331594223E-1,2.059335848E-3,3.892423594E-2,-3.573431931E-1,4.213441477E1,-1.377601671E0,4.250478253E0,-4.195871437E1
1.352256250E-1,9.346125613E-1,1.661744870E-3,4.297024515E-2,-3.530582916E-1,4.166871713E1,-1.565900751E0,4.674471787E0,-4.145293320E1
1.452346251E-1,9.365495673E-1,1.384176262E-3,4.813814947E-2,-3.472113225E-1,4.104010444E1,-1.774410808E0,5.228545385E0,-4.076399614E1
1.552436249E-1,9.390304361E-1,1.017195750E-3,5.449701572E-2,-3.394863741E-1,4.022127371E1,-2.021781154E0,5.914217484E0,-3.985720121E1
1.652526250E-1,9.420006299E-1,3.208270792E-4,6.229900061E-2,-3.297780794E-1,3.921940630E1,-2.336485103E0,6.752631026E0,-3.872639384E1
1.752616251E-1,9.453356890E-1,-9.168072248E-4,7.166382225E-2,-3.181256770E-1,3.806431894E1,-2.737847317E0,7.753381989E0,-3.738394001E1
1.852706249E-1,9.488946110E-1,-2.877325835E-3,8.259852180E-2,-3.045787948E-1,3.679324719E1,-3.236550221E0,8.916902941E0,-3.584389558E1
1.952796250E-1,9.524967125E-1,-5.777421505E-3,9.497967748E-2,-2.893018477E-1,3.546204953E1,-3.843245582E0,1.022957988E1,-3.413435212E1
2.052886251E-1,9.559397307E-1,-9.726781408E-3,1.083598689E-1,-2.726585208E-1,3.414277636E1,-4.549473318E0,1.164614733E1,-3.230322477E1
2.152976249E-1,9.590542563E-1,-1.472929096E-2,1.219739700E-1,-2.551867555E-1,3.290524545E1,-5.331513877E0,1.308767982E1,-3.041225616E1
2.253066250E-1,9.617265562E-1,-2.061451883E-2,1.353343735E-1,-2.373640123E-1,3.180617044E1,-6.160874799E0,1.450846468E1,-2.851318558E1
2.353156251E-1,9.639085828E-1,-2.737014235E-2,1.483395949E-1,-2.193773389E-1,3.088051363E1,-7.038575997E0,1.590021571E1,-2.662742750E1
2.453246249E-1,9.654516211E-1,-3.485986914E-2,1.618210336E-1,-2.012507802E-1,3.020924047E1,-7.976542734E0,1.736330606E1,-2.476955510E1
2.553336250E-1,9.661258442E-1,-4.295435052E-2,1.768194638E-1,-1.830046930E-1,2.991131441E1,-8.989227738E0,1.902241385E1,-2.296100943E1
