"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.237366674E-2,-1.538297773E0,-2.160607579E-1,-3.513691288E-1
4.237366674E-2,-2.395770606E0,-4.977445248E-1,-2.992376930E-1
6.237366674E-2,-2.697888345E0,-5.753775685E-1,1.833593858E0
8.237366674E-2,-3.077029117E0,-1.035213571E0,1.619529047E0
1.023736667E-1,-1.502813945E0,-7.938791004E-1,-4.941856170E-1
1.223736667E-1,-3.535624194E-1,7.897303547E-1,-2.073232636E0
1.423736667E-1,2.984804785E-1,1.969041539E0,-1.776493458E0
1.623736667E-1,4.688077655E0,1.990809407E0,2.895983241E0
1.823736667E-1,5.149182065E0,1.363186674E0,2.242114257E0
2.023736667E-1,4.641713912E0,1.075103715E0,-5.035370690E-1
2.223736667E-1,4.663900588E0,5.399285312E-1,-3.342454408E0
2.423736667E-1,2.423136452E0,1.190557280E0,-2.176327819E0
2.623736667E-1,-1.577347233E0,-1.275461629E0,1.327682235E0
2.823736667E-1,-2.169197724E0,-1.761400040E0,1.498151960E0
3.023736667E-1,-1.482479668E0,-9.410742760E-1,4.472523558E-1
3.223736667E-1,9.952686095E-1,3.529241958E-1,-5.251010156E-1
3.423736667E-1,2.150448042E0,1.248018599E0,-1.516935555E0
3.623736667E-1,2.181492079E0,1.764017546E0,-1.081530243E-1
3.823736667E-1,1.458631214E0,9.807262918E-1,7.909628016E-1
4.023736667E-1,-1.128495079E-1,-5.175712636E-1,2.308913434E-1
4.223736667E-1,-2.674352717E-1,-1.039280309E0,-1.849386603E0
4.423736667E-1,4.122240257E-1,2.164399499E-1,-3.462412376E0
4.623736667E-1,3.697176915E-1,1.394510647E0,-2.844648196E0
4.823736667E-1,7.989155996E-1,2.028984416E0,-2.963534954E0
5.023736667E-1,1.381760793E0,2.154252241E0,-3.785138335E0
5.223736667E-1,6.613309076E-1,1.058368837E0,-3.504031103E0
5.423736667E-1,2.992268756E-1,1.245561014E0,-3.242448894E0
5.623736667E-1,1.401358321E-1,1.669736164E0,-3.020082207E0
5.823736667E-1,4.567991048E-1,2.516276166E0,-2.319571738E0
6.023736667E-1,1.405131530E0,3.523062036E0,-4.045536482E-1
6.223736667E-1,2.542896492E0,4.779873678E0,2.685062185E0
6.423736667E-1,2.139591809E0,5.860858961E0,1.295998512E0
6.623736667E-1,2.465727279E0,6.606062037E0,1.131072751E0
6.823736667E-1,1.342939082E0,5.065799015E0,8.023368055E-1
7.023736667E-1,-9.620002913E-1,-6.760458351E0,1.758172377E0
7.223736667E-1,-9.266864417E0,-1.372584992E1,-4.962162380E0
7.423736667E-1,-9.979322501E0,-2.311607129E1,-5.538597271E0
7.623736667E-1,-2.535801188E0,-1.563806017E1,-4.566200631E0
7.823736667E-1,2.414751399E0,-2.675544965E0,-1.616700164E0
8.023736667E-1,5.040137925E0,3.102844867E0,7.721832991E0
8.223736667E-1,5.040349594E0,5.621626564E0,8.849769076E0
8.423736667E-1,2.817378828E0,4.030587491E0,2.922575208E0
8.623736667E-1,1.847239797E0,4.700752079E-2,-6.738321085E-1
8.823736667E-1,-5.589814641E-1,-2.795412886E0,-1.931237097E0
9.023736667E-1,-5.623804140E-1,-2.752148167E0,-2.070821829E0
9.223736667E-1,3.721014186E-1,-1.053021559E0,-1.193642417E0
9.423736667E-1,5.138179724E-1,4.526183456E-1,-6.704032282E-1
9.623736667E-1,-4.185790355E-1,7.132287472E-1,-4.138589072E-1
9.823736667E-1,-1.128210832E0,2.852996850E-1,-2.483885515E-1
1.002373667E0,-1.782151516E0,-6.165538073E-2,-2.401895491E-1
1.022373667E0,-2.190706414E0,-7.886233306E-1,-2.389277565E-1
1.042373667E0,-2.225035564E0,-1.156223745E0,-7.252652407E-2
1.062373667E0,-3.099141825E0,-1.187110493E0,3.263926741E-1
1.082373667E0,-3.414011756E0,-9.625838435E-1,9.695525551E-1
1.102373667E0,-3.357811243E0,-3.187972140E-1,1.210257865E0
1.122373667E0,-2.702229318E0,-1.042541009E-1,9.275344634E-1
1.142373667E0,-1.800111532E0,-1.751194310E-1,4.979803868E-1
1.162373667E0,-6.721416785E-1,-4.546882600E-1,1.357348522E-1
1.182373667E0,1.050512299E0,-1.095229100E0,7.071388721E-1
1.202373667E0,2.432304009E0,-1.116243408E0,2.160174301E0
1.222373667E0,2.920757893E0,-1.347713041E-1,2.640236553E0
1.242373667E0,2.518946297E0,6.320044899E-1,9.326589632E-1
1.262373667E0,1.571711248E0,5.104326904E-2,-4.967386940E-2
1.282373667E0,1.595868435E0,-6.696769309E-1,2.070002415E-1
1.302373667E0,1.011668807E0,-1.191974791E0,-1.068653943E-1
1.322373667E0,4.338599662E-1,-1.266937265E0,1.650791039E-1
1.342373667E0,6.224578140E-1,-5.887210608E-1,-3.131277537E-1
1.362373667E0,9.635992856E-1,-1.758649510E-1,-2.504708619E0
1.382373667E0,9.538685685E-1,3.083874160E-1,-2.965197317E0
1.402373667E0,9.507178695E-1,1.030152513E0,-2.812704856E0
1.422373667E0,9.615393846E-1,1.617302427E0,-2.278958148E0
1.442373667E0,9.052219270E-1,1.794739695E0,-1.967985678E0
1.462373667E0,1.057761750E0,1.536300949E0,-1.930440706E0
1.482373667E0,1.041136362E0,1.385777246E0,-1.758416937E0
1.502373667E0,1.099955551E0,1.369126714E0,-1.335384772E0
1.522373667E0,1.307774220E0,1.179171143E0,-5.989425784E-1
1.542373667E0,1.674078014E0,6.644816798E-1,-2.615598433E-1
1.562373667E0,1.775724842E0,-1.817302930E-1,3.774266607E-1
1.582373667E0,1.925204524E0,-6.317296708E-1,2.255113787E0
1.602373667E0,1.680799389E0,-1.352787840E0,4.652036002E0
1.622373667E0,1.334781485E0,-1.797706572E0,2.147816795E0
1.642373667E0,1.618876205E0,-8.102896035E-2,1.925387981E-1
1.662373667E0,1.830550090E0,1.469118195E0,-8.718982796E-1
1.682373667E0,1.339558953E0,9.182525933E-1,-4.577112705E-1
1.702373667E0,1.463796206E0,5.477671623E-3,-6.376248336E-1
1.722373667E0,3.636561023E-1,-5.950407314E-1,-3.966926515E-1
1.742373667E0,-8.963058733E-1,-4.995311415E-1,-1.476486272E-1
1.762373667E0,-2.097199788E0,-2.565430784E-1,-2.736227588E-1
1.782373667E0,-2.420229071E0,-4.821181333E-1,1.309933816E-1
1.802373667E0,-2.364005022E0,-6.113065159E-1,2.024802889E-1
1.822373667E0,-2.154414062E0,-6.111843091E-1,2.953358459E-1
1.842373667E0,-1.542662427E0,-3.384076059E-2,2.756617194E-1
1.862373667E0,-5.858392605E-1,2.758119929E-1,3.228633678E-1
1.882373667E0,7.204694275E-1,4.682046837E-1,4.839319396E-1
