"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.248250017E-2,-4.285899438E-1,-2.481491080E-1,7.991787243E-1
2.248950000E-2,-6.879632208E-1,-3.878335351E-1,3.790217811E-1
3.249650006E-2,-1.133083097E0,-4.703506118E-1,-3.191000998E-2
6.250450013E-2,-1.189386960E0,-3.385453078E-1,-3.393285424E-1
8.250450013E-2,-3.825453132E-1,1.814858794E-1,-4.044571692E-1
1.025045001E-1,5.587599277E-2,3.327337602E-1,-4.543105298E-1
1.225045001E-1,5.412549721E-1,-1.106866229E-1,-5.502434582E-1
1.425045001E-1,4.604477674E-1,-5.907880515E-1,-1.354092938E0
1.625045001E-1,1.454879348E-1,-4.644229969E-1,-1.070161502E0
1.825045001E-1,1.230926603E-1,-5.463959903E-1,-4.536030167E-1
2.025045001E-1,1.326975891E-1,-6.328349407E-1,-2.727188158E-1
2.225045001E-1,3.424163108E-1,-5.595240127E-1,-5.003754795E-1
2.425045001E-1,6.002969398E-1,-3.556466594E-2,-1.312068415E-1
2.625045001E-1,5.544452673E-1,1.640597150E-1,-9.056810796E-2
2.825045001E-1,1.063857034E-2,-1.802911471E-1,-4.339154416E-1
3.025045001E-1,-6.390217334E-2,-7.862493610E-1,-5.115810835E-1
3.225045001E-1,5.895382091E-2,-9.565327062E-1,-5.834503806E-1
3.425045001E-1,2.999282491E-1,-4.136206332E-1,-7.921784377E-1
3.625045001E-1,7.865741739E-1,-8.629890963E-2,-9.138864774E-1
3.825045001E-1,2.055414708E0,-8.073660687E-1,-1.530765975E0
4.025045001E-1,1.228290824E0,-8.589550292E-1,-9.663330781E-1
4.225045001E-1,-1.106806441E0,-1.048358477E0,5.021705747E-2
4.425045001E-1,-1.518500416E0,-1.707424831E0,7.373356479E-1
4.625045001E-1,-7.758768390E-1,-1.850115604E0,8.215104103E-2
4.825045001E-1,-6.002467999E-1,-1.855934169E0,-9.999329334E-1
5.025045001E-1,-7.152866748E-1,-1.204428557E0,-1.403324740E0
5.225045001E-1,-4.138328871E-1,-9.278958944E-1,-1.890588423E0
5.425045001E-1,-1.666588023E-1,-1.208642133E0,-2.371105004E0
5.625045001E-1,-4.968323591E-1,-1.186951595E0,-1.945709540E0
5.825045001E-1,-5.173604715E-1,-1.018046000E0,-7.206646514E-1
6.025045001E-1,-7.346587926E-1,-1.062383536E0,-1.888358295E-1
6.225045001E-1,-1.625140912E0,-1.362306522E0,-6.075648826E-1
6.425045001E-1,-1.519096686E0,5.754955360E-1,5.847581688E0
6.625045001E-1,6.736109376E-1,4.254396394E0,2.248695532E1
6.825045001E-1,-2.790513504E0,3.672709826E0,5.852996795E0
7.025045001E-1,-1.597832953E0,3.243930871E0,-3.900054249E0
7.225045001E-1,9.077650273E-1,3.823147283E0,4.393597841E-3
7.425045001E-1,4.349556613E-1,3.123458641E0,2.553452178E0
7.625045001E-1,1.644698972E0,1.546576846E0,1.351193304E0
7.825045001E-1,2.938748022E0,-5.168301290E-1,1.051077359E0
8.025045001E-1,3.594745392E0,-2.837719245E0,3.485455084E-1
8.225045001E-1,3.039821822E0,-3.629336935E0,9.208662987E-2
8.425045001E-1,1.507589951E0,-2.171167066E0,1.543255627E0
8.625045001E-1,1.373905059E0,-1.026134599E0,1.168358764E0
8.825045001E-1,2.266962000E0,3.516837090E-2,-3.355030015E-1
9.025045001E-1,3.646285089E0,8.171615437E-1,-1.218452738E0
9.225045001E-1,1.010814017E0,-2.700366980E-1,-1.371873152E0
9.425045001E-1,-3.749293149E-1,-1.476860201E0,7.952973425E-2
9.625045001E-1,-3.604510242E-1,-2.050184958E0,-6.479884386E-3
9.825045001E-1,-9.320321417E-1,-2.487425711E0,-7.722131199E-1
1.002504500E0,-1.000089054E0,-2.348573051E0,-2.042576854E0
1.022504500E0,-1.811076815E0,-7.105907759E-1,-3.696659729E0
1.042504500E0,-1.588311347E0,-1.036693794E-1,-4.858318754E0
1.062504500E0,-2.628538029E0,8.739716291E-1,-4.012867504E0
1.082504500E0,-2.765260549E0,1.797519169E0,-6.307075775E-1
