"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.780166756E-3,-3.628155212E0,-7.244934082E-2,9.454489288E0
2.179516666E-2,-3.020718384E0,-4.819976807E-2,7.809410248E0
4.180916655E-2,-2.334395599E0,3.177891541E-1,7.283553772E0
6.182416668E-2,-1.787283325E0,6.087840271E-1,8.217910767E0
8.183916658E-2,-1.150507507E0,5.691165161E-1,9.088350677E0
1.018531667E-1,-1.111588440E0,2.127076721E-1,8.939111023E0
1.218681666E-1,-1.337468719E0,-4.114942932E-1,8.967851257E0
1.418821667E-1,-1.043330383E0,-1.048419800E0,8.228688354E0
1.618971666E-1,-9.333091736E-1,-1.147364044E0,7.016509094E0
1.819111668E-1,-8.759783936E-1,-7.858657837E-1,7.434889069E0
2.019261667E-1,-2.951861572E-1,-8.116122437E-1,9.013805695E0
2.219401665E-1,-1.281036072E0,-9.190887451E-1,1.036399796E1
2.419551667E-1,-1.518592072E0,-1.874402161E0,1.108759323E1
2.619701666E-1,-1.062490540E0,-2.712509308E0,9.349108429E0
2.819841667E-1,-9.589059448E-1,-2.960543518E0,7.713759155E0
3.019991666E-1,-8.134085083E-1,-2.863844604E0,7.145241394E0
3.220131667E-1,7.334747314E-3,-3.130440216E0,6.042185211E0
3.420281666E-1,-2.809058533E0,-5.431155853E0,4.488865356E0
3.620421668E-1,-6.206094360E-1,-5.370681610E0,6.217770081E0
3.820571667E-1,-8.631051636E-1,-6.170767822E0,5.891298981E0
4.020711666E-1,-2.737956390E0,-6.362519073E0,4.790637817E0
4.220861667E-1,-3.658092957E0,-7.417076111E0,4.284540253E0
4.421011666E-1,-3.913910980E0,-8.508606262E0,5.581443329E0
4.621151667E-1,-4.998256073E0,-8.599467316E0,7.784711609E0
4.821301666E-1,-6.209537201E0,-8.220904541E0,1.177346695E1
5.021441667E-1,-7.744145966E0,-7.333549805E0,1.637100632E1
5.221591666E-1,-8.004155273E0,-5.116510162E0,1.921419388E1
5.421731668E-1,-8.196804657E0,-3.812571716E0,2.007325745E1
