"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.282166716E-3,1.716017574E-1,-6.685367227E-2,3.471226096E-1
1.429016655E-2,-1.103220806E-1,-9.675549716E-2,4.794716835E-1
2.429716662E-2,-3.820151091E-1,-1.754945219E-1,6.054400206E-1
5.430416668E-2,-5.828895569E-1,-2.857086360E-1,6.859469414E-1
7.430416668E-2,-7.216741443E-1,-5.264241099E-1,6.379071474E-1
9.430416668E-2,-6.927246451E-1,-5.490939617E-1,4.439626634E-1
1.143041667E-1,-6.859012246E-1,-4.314120710E-1,3.064251542E-1
1.343041667E-1,-6.082215905E-1,-3.058024049E-1,3.381229937E-1
1.543041667E-1,-5.665284395E-1,-2.119840533E-1,3.732278943E-1
1.743041667E-1,-8.296695352E-1,-3.709797263E-1,4.444733858E-1
1.943041667E-1,-1.098798037E0,-3.402998447E-1,5.397160649E-1
2.143041667E-1,-1.167299628E0,-5.232777596E-1,3.170806766E-1
2.343041667E-1,-8.969308734E-1,-7.308882475E-1,7.010369748E-2
2.543041667E-1,-5.736581683E-1,-5.017913580E-1,5.240757391E-2
2.743041667E-1,-5.926470160E-1,5.033260584E-2,1.849983782E-1
2.943041667E-1,-8.734687567E-1,3.378793299E-1,2.831346989E-1
3.143041667E-1,-1.146179676E0,4.228936732E-1,2.989196479E-1
3.343041667E-1,-1.507092834E0,4.968105555E-1,1.109507605E-1
3.543041667E-1,-2.213928699E0,5.471232533E-1,2.127234638E-1
3.743041667E-1,-2.649373293E0,2.932972610E-1,3.008493483E-1
3.943041667E-1,-2.708237648E0,3.742777109E-1,2.422504574E-1
4.143041667E-1,-2.850511312E0,1.658194065E-1,2.368465364E-1
4.343041667E-1,-3.314513445E0,-1.047245413E-1,2.358938307E-1
4.543041667E-1,-3.591004133E0,-4.474797845E-1,2.382953614E-1
4.743041667E-1,-3.602538586E0,-8.579680920E-1,3.298012912E-1
4.943041667E-1,-3.457785606E0,-9.360266924E-1,4.950424731E-1
5.143041667E-1,-3.048296452E0,-2.270076424E-1,8.208869696E-1
5.343041667E-1,-2.562553644E0,9.292154312E-1,9.584093094E-1
5.543041667E-1,-2.368569613E0,2.466950417E0,8.202507496E-1
5.743041667E-1,-1.931915402E0,3.713218212E0,8.576276898E-1
5.943041667E-1,-9.073919654E-1,4.805729389E0,7.889432907E-1
