"Time (s)","X (hPa)"
-5.511463333E-1,1.012341232E3
4.799206667E-1,1.012342224E3
1.510977667E0,1.012343292E3
2.542040667E0,1.012345963E3
3.573044667E0,1.012347336E3
3.767688667E0,1.012347336E3
4.832007667E0,1.012347870E3
5.896323667E0,1.012347870E3
6.960616667E0,1.012351685E3
8.024907667E0,1.012356720E3
9.089157667E0,1.012358475E3
1.015338767E1,1.012363510E3
1.121758267E1,1.012366409E3
1.228178667E1,1.012366409E3
1.334607167E1,1.012366409E3
1.441034567E1,1.012366486E3
1.547460467E1,1.012367020E3
1.653885567E1,1.012367020E3
1.760318967E1,1.012365189E3
1.866751767E1,1.012364578E3
1.973182267E1,1.012363968E3
2.079613867E1,1.012363281E3
2.186048167E1,1.012363281E3
2.292479867E1,1.012361603E3
2.398911567E1,1.012360153E3
2.505342267E1,1.012358932E3
