"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.283404185E-2,6.049820091E-1,-3.892145029E-1,-1.167128106E-1,6.847532808E-1,1.055449055E2,-4.328211601E1,2.306738872E1,8.782096298E1
2.284104167E-2,6.031879705E-1,-3.916228371E-1,-1.151150025E-1,6.852330963E-1,1.058028759E2,-4.338556302E1,2.344283408E1,8.785067791E1
3.284804174E-2,6.010461599E-1,-3.942980135E-1,-1.137542598E-1,6.858078871E-1,1.061102797E2,-4.353077084E1,2.383362916E1,8.790399931E1
4.285504180E-2,5.985394155E-1,-3.970168645E-1,-1.119909200E-1,6.867213963E-1,1.064692751E2,-4.363992582E1,2.428137012E1,8.800431901E1
5.286204186E-2,5.956233198E-1,-3.996938637E-1,-1.094973017E-1,6.881046954E-1,1.068858402E2,-4.367491458E1,2.481086117E1,8.816633556E1
6.286904169E-2,5.922615133E-1,-4.025155320E-1,-1.062693799E-1,6.898655960E-1,1.073646864E2,-4.365561281E1,2.543486282E1,8.837656409E1
7.287604176E-2,5.890792366E-1,-4.055761413E-1,-1.022962071E-1,6.913964749E-1,1.078166095E2,-4.361007422E1,2.612345053E1,8.853128627E1
8.288304182E-2,5.858308473E-1,-4.093012168E-1,-9.725922666E-2,6.926869745E-1,1.082765855E2,-4.355813015E1,2.694148733E1,8.862119943E1
9.289004165E-2,5.815595908E-1,-4.135414532E-1,-9.146136920E-2,6.945550177E-1,1.088793783E2,-4.347823022E1,2.790935528E1,8.880326193E1
1.028970417E-1,5.757465710E-1,-4.187587378E-1,-8.457688170E-2,6.971396732E-1,1.096961364E2,-4.338355695E1,2.910928420E1,8.910244801E1
1.129040418E-1,5.677473626E-1,-4.254827722E-1,-7.668752903E-2,7.005328211E-1,1.108134172E2,-4.332460520E1,3.060063857E1,8.955096910E1
1.229120418E-1,5.570361836E-1,-4.334041144E-1,-6.874191032E-2,7.050859241E-1,1.122978462E2,-4.331758894E1,3.231616597E1,9.025377904E1
1.329190417E-1,5.439647231E-1,-4.420485173E-1,-6.126206696E-2,7.105931211E-1,1.140921104E2,-4.334977721E1,3.416544500E1,9.120436908E1
1.429260417E-1,5.294252457E-1,-4.512689201E-1,-5.410045339E-2,7.163368040E-1,1.160667416E2,-4.341904526E1,3.610286651E1,9.227910991E1
1.529330418E-1,5.143139147E-1,-4.609607776E-1,-4.662901834E-2,7.216800129E-1,1.180967858E2,-4.349486193E1,3.812421867E1,9.335168815E1
1.629400419E-1,4.997405038E-1,-4.704885152E-1,-3.884114474E-2,7.262171633E-1,1.200343333E2,-4.353706118E1,4.013064671E1,9.433554741E1
1.729470417E-1,4.863786990E-1,-4.794945381E-1,-3.146262241E-2,7.297471199E-1,1.217943189E2,-4.359105414E1,4.200643126E1,9.517639998E1
1.829540418E-1,4.742201551E-1,-4.873549675E-1,-2.530096390E-2,7.327758135E-1,1.233828269E2,-4.363461945E1,4.364969683E1,9.596552702E1
1.929610418E-1,4.629456729E-1,-4.940181946E-1,-2.028614220E-2,7.356737781E-1,1.248452993E2,-4.363353530E1,4.507969985E1,9.677116694E1
2.029680416E-1,4.521021844E-1,-4.995647199E-1,-1.582856506E-2,7.387748063E-1,1.262427238E2,-4.351587478E1,4.637072429E1,9.766886716E1
2.129750417E-1,4.419482710E-1,-5.043073572E-1,-1.105372752E-2,7.417773267E-1,1.275434906E2,-4.326052064E1,4.759505787E1,9.858883097E1
2.229820418E-1,4.332370126E-1,-5.082057510E-1,-6.011973986E-3,7.443093513E-1,1.286536696E2,-4.290704496E1,4.870444781E1,9.942457429E1
2.329890418E-1,4.260354755E-1,-5.110577861E-1,-1.724501527E-3,7.465324184E-1,1.295675535E2,-4.252355835E1,4.960306811E1,1.001876358E2
2.429960417E-1,4.201208291E-1,-5.123295041E-1,9.970258484E-4,7.490099893E-1,1.303155677E2,-4.208405928E1,5.020304805E1,1.009911574E2
2.530040417E-1,4.153427673E-1,-5.123165650E-1,2.192479060E-3,7.516763254E-1,1.309181919E2,-4.163406433E1,5.053506573E1,1.018060161E2
2.630110418E-1,4.117995134E-1,-5.116047469E-1,2.087828435E-3,7.541069868E-1,1.313641447E2,-4.127161173E1,5.065377516E1,1.025129256E2
